date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值
2013-05-03,1,2013,,,,2413,4600,5744,,,5744,0.66,0.66,,10400,,,,36793,2013年01月01日至2013年03月31日,45897,51641,,45897,51641,51283,5014,433840,566434,132594,132594,81311,,15562,,,0.66,0.66,28956,45897,56297,,,,,1999,
2013-08-09,2,2013,,,,7781,1027,3214,,,3214,0.66,0.66,,6953,,,,43041,2013年04月01日至2013年06月30日,48524,51738,,48524,51738,48924,6553,458796,595928,137132,137132,88208,,18238,,,0.66,0.66,26929,48524,55477,,,,,2255,
2013-11-08,3,2013,,,,4323,4565,-2890,,,-2890,0.51,0.51,,6741,,,,31576,2013年07月01日至2013年09月30日,37584,34694,,37584,34694,37992,6333,494571,623669,129098,129098,91106,,21142,,,0.51,0.51,38388,37584,44325,,,,,2555,
2014-03-21,4,2013,,,,9608,9801,10716,,,10188,2.08,2.08,,30463,,,,137964,2013年01月01日至2013年12月31日,155442,166158,,155442,166158,175825,10080,1811833,2323851,512018,512018,336193,,75208,,636.0,2.08,2.08,123021,155442,185905,,108.0,,,9329,
2014-04-25,1,2014,,,,892,2348,-228,,,-228,0.64,0.64,,10635,,,,26966,2014年01月01日至2014年03月31日,49295,49067,,49295,49067,59158,772,412617,553507,140890,140890,81732,,20060,,,0.64,0.64,34706,49295,59930,,,,,2468,
2014-08-06,2,2014,,,,-3202,1113,-3965,,,-3965,0.93,0.93,,12479,,,,25663,2014年第2季,75933,71968,,75933,71968,93023,-4611,463538,641353,177815,177815,84792,,25422,,,0.93,0.93,33707,75933,88412,,,,,2522,
2014-11-07,3,2014,,,,-909,2338,5556,,,5556,0.54,0.54,,6890,,,,39785,2014年第3季,44038,49594,,44038,49594,52332,-1404,471131,617924,146793,146793,94461,,22884,,,0.54,0.54,31792,44038,50928,,,,,2833,
2015-03-23,4,2014,,,,12835,8191,3403,,,8577,2.45,,,40027,,,,112537,2014年度,198870,202273,,198870,202273,228690,10207,1758778,2334681,575903,575903,347213,,97861,,-6233.0,2.44,,136815,198870,238897,,-1059.0,,,10819,
2015-05-08,1,2015,0.0,0.0,,-15986,1748,-2229,,,-2229,0.44,0.44,-2229.0,5000,0.0,0.0,,26537,2015年01月01日至2015年03月31日,35391,33162,0.0,35391,33162,57410,-17019,412165,551191,139026,139026,81616,,20141,0.0,,0.44,0.44,34938,35391,40391,0.0,,,0.0,2781,0.0
2015-08-07,2,2015,,0.0,0.0,-6046,2438,-3106,0.0,0.0,-3106,0.17,0.17,-3106.0,-643,0.0,,0.0,42561,2015年第2季,14941,11835,0.0,14941,11835,21062,-6764,376613,490690,114077,114077,93015,0.0,19960,0.0,,0.17,0.17,30494,14941,14298,,,0.0,,3156,0.0
2015-11-09,3,2015,,,,27131,2330,9720,,,9720,0.31,0.31,9720.0,4772,,,,75409,2015年第3季,27963,37683,,27963,37683,6851,25884,402963,539950,136987,136987,130136,,20096,,,0.31,0.31,34631,27963,32735,,,,,3577,
2016-03-25,4,2015,,-7478.0,,8529,14895,-10512,,,-4305,2.07,2.07,-3034.0,30213,,,,102760,2015年度,185371,174859,,185371,174859,206366,9218,1638510,2178024,539514,539514,333148,,81158,-7478.0,,2.07,2.07,149230,185371,215584,,,-1271.0,,14206,
2016-05-06,1,2016,,,,-10094,3140,-1136,,,-1136,0.83,0.83,-1136.0,12242,,,,26494,2016年01月01日至2016年03月31日,74383,73247,,74383,73247,97133,-10508,439760,624510,184750,184750,87617,,19581,,,0.83,0.83,41542,74383,86625,,,,,3554,
2016-08-05,2,2016,,,,-411,-609,-6198,,,-6198,1.12,1.12,-6198.0,16827,,,,33481,2016年第2季,100491,94293,,100491,94293,121095,-3777,502811,720833,218022,218022,96927,,21630,,,1.11,1.11,41816,100491,117318,,,,,2757,
2016-11-04,3,2016,,,494.0,-32654,1777,-6969,,,-7463,0.7,0.7,-6969.0,10413,,,,31821,2016年第3季,62930,55961,,62930,55961,107910,-34567,469541,661366,191825,191825,83915,,17380,,,0.7,0.7,34714,62930,73343,,,,,3690,
