date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,,39468,2668,7191,,,7191,0.18,,5029,,,,,,,,,3720,2013年01月01日至2013年03月31日,,30653,37844,,29974,37165,-4356,40038,123624,160379,36755,36755,41111,,,9000,,0.14,28391,30653,35682,,0.0,,,2098,,679,679
2013-08-12,2,2013,,,,30214,5432,-1305,,,-1305,0.16,,5978,,,,,,,,,4653,2013年04月01日至2013年06月30日,,26177,24872,,25893,24588,-1034,33189,151709,192402,40693,40693,41727,,,9806,,0.13,27268,26177,32155,,0.0,,,2457,,284,284
2013-11-08,3,2013,,,,11628,4221,-6963,,,-6963,0.14,,-4155,,,,,,,,,3899,2013年07月01日至2013年09月30日,,24433,17470,,23731,16685,8970,11308,157440,207292,49852,49852,40882,,,9381,,0.12,27602,24433,20278,,0.0,,,4541,,702,785
2014-03-24,4,2013,,,,123335,18477,-2862,,,-3482,0.64,,16436,,,,,,,,,16111,2013年01月01日至2013年12月31日,,112399,109537,,110320,107293,1275,127560,609169,794394,185225,185225,183950,,,38998,,0.51,128841,112399,128835,,-620.0,,,14252,,2079,2244
2014-05-12,1,2014,,,,27848,7589,6540,,,6540,0.15,,3832,,,,,,,,,6307,2014年01月01日至2014年03月31日,,26415,32955,,25748,32319,-3964,34211,161048,208177,47129,47129,51093,,,10528,,0.12,34258,26415,30247,,0.0,,,1226,,667,636
2014-08-11,2,2014,,,,9175,7605,-4995,,,-4995,0.02,,12691,,,,,,,,,2900,2014年第2季,,4453,-542,,3981,-968,1758,15386,149790,199744,49954,49954,48196,,,11493,,0.02,33803,4453,17144,,0.0,,,1394,,472,426
2014-11-11,3,2014,,,,32125,11587,4917,,,4917,0.39,,10074,,,,,,,,,9283,2014年第3季,,72329,77246,,70906,75759,40222,42181,240270,329109,88839,88839,48617,,10074.0,10404,,0.31,28930,72329,82403,,0.0,,,1531,,1423,1487
2015-02-13,4,2014,,,,88808,36597,10599,,,12752,0.72,,18779,,,,,,,,,24915,2014年度,,135667,146266,,132062,142572,34619,119827,730062,964511,234449,234449,199830,,18779.0,49301,,0.61,125614,135667,154446,,2153.0,,,5578,,3605,3694
2015-04-28,1,2015,0.0,0.0,0.0,-7306,12071,-6665,0.0,0.0,-6665,0.23,-6665.0,0,0.0,0.0,0.0,,,,,,7702,2015年01月01日至2015年03月31日,0.0,43250,36585,0.0,42412,35781,40201,3049,279698,374695,94997,94997,54796,0.0,,13958,0.0,0.19,33136,43250,43250,0.0,,0.0,,1716,0.0,838,804
2015-07-29,2,2015,,,,25520,12087,-12742,,,-12742,0.09,-12742,12100,,,,,,,,,13146,2015年第2季,12100,17783,5041,,17222,4529,-6051,35934,171138,236425,65287,65287,71338,,,15593,,0.07,42599,17783,29883,,,0,,1673,,561,512
2015-10-29,3,2015,,,-1887.0,-43900,14364,3826,,,5713,-0.12,3826.0,0,,,,,,,,,5197,2015年第3季,0.0,-21663,-17837,,-23859,-20082,9358,-31021,228147,299280,71133,71133,61775,,,19899,,0.0,36679,-21663,-21663,,,0.0,,1485,,2196,2245
2016-02-23,4,2015,,,-430.0,-16719,51545,-11369,,,-13145,0.25,-11369.0,8488,,,,,,,,,40140,2015年度,8488.0,51464,40095,,48055,36891,31506,28446,907690,1233440,325750,325750,294244,,,84687,,0.21,169417,51464,59952,,,-2206.0,,6380,,3409,3204
2016-05-03,1,2016,,,866.0,-74764,12386,3951,,,3085,-0.36,3951.0,1272,,,,,,,,,27349,2016年01月01日至2016年03月31日,1272.0,-72051,-68100,,-72574,-68603,-6092,-64687,319741,402791,83050,83050,89142,,,18086,,0.0,43707,-72051,-70779,,,0.0,,2309,,523,503
2016-08-05,2,2016,,,1342.0,29183,11558,-3966,,,-5699,0.12,-3966.0,2353,,,,,,,,,26457,2016年第2季,2353.0,24681,20715,,24515,20660,-11636,38670,376192,469415,93223,93223,104859,,,25220,,0.0,53182,24681,27034,,,-391.0,,2071,,166,55
