date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,4749,5924,28055,28055,0.14,,,4920,40091,2013年01月01日至2013年03月31日,,12467,40522,12467,40522,11168,6219,706704,857713,151009,151009,139841,29857,,,,69893,12467,17387,,,,4454,857713.0,0.0,0.0
2013-08-08,2,2013,,,3870,6314,19310,19310,0.19,,,7987,41311,2013年04月01日至2013年06月30日,,16855,36165,16855,36165,18763,6079,572259,725351,153092,153092,134329,27387,,,,65631,16855,24842,,,,4105,,0.0,0.0
2013-11-07,3,2013,,,-5370,9734,-8756,-8756,-0.29,,,1652,38563,2013年07月01日至2013年09月30日,,-25522,-34278,-25522,-34278,-24151,281,633761,744263,110502,110502,134653,30414,,,,65676,-25522,-23870,,,,4083,,0.0,0.0
2014-03-25,4,2013,,,11559,19849,62822,54475,0.23,0.0,,24214,160267,2013年01月01日至2013年12月31日,0.0,20475,83297,20475,83297,29907,14782,2578204,3152587,574383,574383,544476,115746,,10057.0,0.23,268463,20475,44689,,1710.0,,16626,,0.0,0.0
2014-05-02,1,2014,,,813,6594,15163,15163,0.38,,,9185,38172,2014年01月01日至2014年03月31日,,33806,48969,33806,48969,39760,3231,685951,861561,175610,175610,135850,29404,,,0.38,68274,33806,42991,,,,4176,861561.0,,
2014-08-07,2,2014,,,-3326,6161,-21028,-21028,0.47,,,8765,44928,2014年第2季,,41949,20921,41949,20921,52204,-1490,712075,914843,202768,202768,150564,34295,,,0.47,71341,41949,50714,,,,4325,,0.0,0.0
2014-11-05,3,2014,,,4536,10066,15913,15913,-0.19,,,-3457,39106,2014年第3季,,-16704,-791,-16704,-791,-30471,10310,562290,665941,103651,103651,134122,31701,,,-0.19,63315,-16704,-20161,,,,4292,,,
2015-03-27,4,2014,,,14187,30987,53478,53378,0.43,0.0,,15135,158073,2014年度,0.0,37982,91460,37982,91460,25185,27932,2416516,2987845,571329,571329,546144,127035,,121.0,0.43,261036,37982,53117,,21.0,,17242,,0.0,0.0
2015-05-07,1,2015,,,-9105,9488,-19487,-19487,-0.6,,-19487.0,-4049,33181,2015年01月01日至2015年03月31日,,-53212,-72699,-53212,-72699,-53050,-4211,381277,456753,75476,75476,128526,31926,,,-0.6,63419,-53212,-57261,,,0.0,4594,456753.0,,
2015-08-06,2,2015,,-27442.0,-4901,9987,-31103,-8326,-0.84,,-31103.0,-13173,40561,2015年第2季,,-74351,-105454,-74351,-105454,-88367,843,428158,479171,51013,51013,139380,33364,,,-0.84,65455,-74351,-87524,,,-4665.0,4243,,0.0,0.0
2015-11-12,3,2015,,786.0,7469,5978,29998,29346,-0.49,,29998.0,-4221,41443,2015年第3季,,-43452,-13454,-43452,-13454,-57285,9612,475665,558169,82504,82504,139789,32312,,,-0.49,66034,-43452,-47673,,,134.0,3835,,0.0,0.0
2016-03-24,4,2015,-5885.0,,-56153,33041,-21906,-16021,-2.63,0.0,-16021.0,-28654,158771,2015年度,0.0,-233331,-255237,-233331,-255237,-222241,-39744,1789280,2120515,331235,331235,553476,131485,-7090.0,,-2.63,263220,-233331,-261985,-1205.0,,,16632,,0.0,0.0
2016-05-12,1,2016,,,-9359,9241,-12904,-12904,-0.47,,-12904.0,-4083,39242,2016年01月01日至2016年03月31日,,-44716,-57620,-41556,-54460,-45601,-3198,430138,523479,93341,93341,138942,32917,,,-0.47,66783,-44716,-48799,,,0.0,3080,523479.0,-3160.0,-3160.0
2016-08-11,2,2016,,0.0,-6003,8881,-16499,-16499,-0.38,,-16499.0,-8964,62389,2016年第2季,,-37774,-54273,-34021,-50520,-45892,-846,427692,539430,111738,111738,157630,30942,,,-0.38,64299,-37774,-46738,,,0.0,3724,,-3753.0,-3753.0
2016-11-10,3,2016,,0.0,-14841,7874,-29976,-29976,-0.11,,-29976.0,388,46456,2016年第3季,,-13550,-43526,-9833,-39809,-3639,-9523,526474,659900,133426,133426,137065,29784,,,-0.11,60825,-13550,-13162,,,0.0,2556,,-3717.0,-3717.0
