date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,100492,4988,2788,114092,-0.07,-0.07,,0.0,,,13600.0,-14689,,12370,2013年01月01日至2013年03月31日,-10953,103139,,-10931,94082,-1251,-9702,118095,138366,20271,20271,21522,,,,,9152,-10953,,-10953,,,2789,,-22,9057
2013-07-31,2,2013,,,154243,213,48415,170592,0.23,0.23,,0.0,,,16349.0,-8129,,15082,2013年04月01日至2013年06月30日,38091,208683,,33866,190520,152,37939,143971,166836,22865,22865,22713,,,,,7631,38091,,38091,,,2560,,4225,18163
2013-11-11,3,2013,,,75953,-2466,1488,79160,-0.11,-0.11,,0.0,,,3207.0,-12460,,11677,2013年07月01日至2013年09月30日,-15910,63250,,-15883,56415,73,-15983,94465,113923,19458,19458,19385,,,,,7708,-15910,,-15910,,,2545,,-27,6835
2014-03-21,4,2013,,,968016,2311,54180,1037840,0.0,0.0,,0.0,,,68329.0,-40012,,47424,2013年01月01日至2013年12月31日,4319,1042159,,157,965886,-314,4633,424044,503879,79835,79835,80149,,1495.0,,,32725,4319,,4319,,,11846,,4162,76273
2014-05-09,1,2014,,,-99100,160416,2374,-100581,0.82,0.82,,,,,-1481.0,-25689,,9751,2014年01月01日至2014年03月31日,131316,30735,,121874,37569,-1237,132553,79565,97274,17709,17709,18946,,,,,9195,131316,,131316,,,4548,,9442,-6834
2014-07-30,2,2014,,,178582,-5571,120608,183819,0.61,0.61,,10808.0,,,5237.0,-330,,12623,2014年第2季,97924,281743,,91432,264123,-1308,110040,100896,121555,20659,20659,21967,,,,,9344,97924,,108732,,,4667,,6492,17620
2014-11-11,3,2014,,,62041,3636,1499,73557,-0.12,-0.12,,-89.0,,,11516.0,-18538,,12999,2014年第3季,-17256,56301,,-17916,53520,731,-18076,88546,109047,20501,20501,19770,,,,,6771,-17256,,-17345,,,4673,,660,2781
2015-03-20,4,2014,,,-76053,161699,126121,-64531,1.18,,,10713.0,,,10265.0,-64746,,46652,2014年度,192319,127788,,175758,127236,-1664,204696,355950,434047,78097,78097,79761,,1257.0,1.17,,33109,192319,1.18,203032,,,18378,,16561,552
2015-05-08,1,2015,0.0,0.0,-202034,-2240,1339,-216978,-0.14,,-216978.0,,0.0,0.0,,-14968,-14944.0,9840,2015年01月01日至2015年03月31日,-21554,-238532,0.0,-21514,-226437,-1086,-20468,70396,87271,16875,16875,17961,0.0,,-0.14,,8121,-21554,-0.14,-21554,0.0,0.0,4599,0.0,-40,-12095
2015-08-11,2,2015,0.0,0.0,-69937,-3083,141195,-79599,0.72,,-79599.0,15882.0,0.0,0.0,,-533,-9662.0,7033,2015年第2季,115555,35956,0.0,107285,31860,-1546,132983,51726,66274,14548,14548,16094,0.0,,0.72,,9061,115555,0.72,131437,0.0,0.0,4596,0.0,8270,4096
2015-11-11,3,2015,0.0,0.0,-350704,10416,1368,-358109,-0.04,-0.04,-358109.0,0.0,0.0,0.0,,-15403,-7405.0,9942,2015年第3季,-6489,-364598,0.0,-6463,-343222,1619,-8108,72183,91061,18878,18878,17259,0.0,,,,7317,-6489,,-6489,0.0,0.0,4489,0.0,-26,-21376
