date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-11-13,3,2013,,,1375,7920,4429,1036,-78097,939,2808,-78097,0.68,0.68,,10456,,11501,1038,,70238,2013年07月01日至2013年09月30日,101625,23528,103521,24958,102547,10579,2000502,2396288,395786,395786,293239,39880,2454,0.67,0.67,183121,101625,113126,19751,,0,2808,,,-1896,-1430
2014-03-21,4,2013,,,3844,-6197,34600,18664,214572,6074,10872,214572,2.55,2.55,0,25897,,4801,5352,,291178,2013年01月01日至2013年12月31日,386413,600985,394886,606530,368331,22883,7096914,8552616,1455702,1455702,1087371,151430,9862,2.54,2.54,644763,386413,391214,23544,,0,10872,,,-8473,-5545
2014-05-09,1,2014,,,829,-6251,3878,22,113565,1357,2041,113565,0.60,0.60,,5219,,2785,1764,,57347,2014年01月01日至2014年03月31日,102886,216451,103995,218412,108321,-2650,1607133,1932101,324968,324968,216647,46011,2499,0.60,0.60,113289,102886,105671,,203,,2041,,,-1109,-1961
2014-08-13,2,2014,,,341,7285,6206,1051,-124109,2678,2745,-124109,0.77,0.77,7929,0,,15547,1362,,90725,2014年第2季,129092,4983,132613,17267,132531,12108,2179347,2617004,437657,437657,305126,55901,2477,0.77,0.77,158500,129092,144639,0,303,,2745,,,-3521,-12284
2014-11-04,3,2014,,,705,-14034,33990,28293,97671,3235,1831,97671,0.89,0.89,,7436,,24655,1525,,69180,2014年第3季,154695,252366,160461,256788,159700,19650,2333680,2744528,410848,410848,251148,42871,2462,0.89,0.89,139097,154695,179350,0,5893,,1831,,,-5766,-4422
2015-03-19,4,2014,,,2743,-49881,57941,38807,317086,10111,8095,317086,3.01,3.01,,38044,,45332,9680,,264839,2014年度,532981,850067,544199,865793,568668,9645,8313292,9845780,1532488,1532488,963820,197969,9023,2.99,2.99,501012,532981,578313,0,9094,,8095,,,-11218,-15726
2015-05-05,1,2015,-75504,-75504,3066,-20449,8091,285,-100409,5514,1620,-24905,0.40,0.40,,15363,-24905,6446,3915,,52442,2015年01月01日至2015年03月31日,67230,-33179,71399,-27846,83739,-10063,1680578,1935163,254585,254585,170846,37273,2292,0.39,0.39,81131,67230,73676,,2020,,1620,1680578,1935163,-4169,-5333
2015-08-10,2,2015,-95114,-95114,154,7011,6243,469,-97422,3680,1667,-2308,0.41,0.41,5000,0,-2308,8171,4235,,64752,2015年第2季,68779,-28643,73525,-23031,61128,15822,1611193,1877731,266538,266538,205410,38259,2094,0.40,0.40,102399,68779,76950,2165,0,,1667,,,-4746,-5612
2016-03-17,4,2015,224626,224626,5537,48248,39665,15463,-110657,14852,6568,-335283,1.73,1.73,46678,0,-335283,35731,11695,0,216113,2015年度,285224,174567,307551,197436,227915,93040,7361579,8470040,1108461,1108461,880546,175095,9350,1.72,1.72,489338,285224,320955,,13807,20914,6568,,,-22327,-22869
2016-05-10,1,2016,-131738,-131738,248,-7044,7038,4049,-76944,1347,1568,54794,0.48,0.48,,4578,54794,9705,0,0,51995,2016年01月01日至2016年03月31日,78142,1198,82510,6515,89421,-1574,1791070,2071101,280031,280031,190610,46673,1642,0.47,0.47,91942,78142,87847,,2218,,1568,,,-4368,-5317
2016-08-09,2,2016,17521,17521,162,9049,9132,2765,-113943,2917,1724,-131464,0.50,,18453,0,-131464,-858,0,0,53459,2016年第2季,82933,-31010,87489,-25743,65618,16457,2217865,2539346,321481,321481,255863,65135,3450,0.50,,137269,82933,82075,0,9242,,1724,,,-4556,-5267
2016-11-09,3,2016,-184494,-184494,1637,-12769,8795,4746,-230217,3294,3237,-45723,0.62,0.62,0,2383,-45723,45951,0,0,68472,2016年第3季,103167,-127050,107852,-120719,156329,-7211,2678288,3123289,445001,445001,288672,87209,755,0.62,0.62,132991,103167,149118,0,8749,,3237,,,-4685,-6331
