date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-03-28,4,2013,,,,0,0,0,18791,5798,37818,5798,4158,35732,2.18,,,31279,71513,2013年01月01日至2013年12月31日,,117506,155324,117506,155324,128354,20431,2771227,3276152,504925,504925,376571,73775,,9832,2.16,231283,117506,148785,,7746,,4158,2771227,3276152,,
2014-08-14,2,2014,,,,,0,0,7022,2011,-5260,,1733,-6337,1.02,0,,23496,41880,2014年上半年度,0,54909,49649,54909,49649,71105,7300,1510541,1827974,317433,317433,246328,39948,,,1.01,164500,54909,78405,,-1077,,1733,1510541,1827974,0,0
2015-02-26,4,2014,,,,,0,0,63730,4638,41163,,3534,54677,3.88,,,66777,89205,2014年度,,232921,274084,232921,274084,234864,64834,3196382,3919141,722759,722759,487895,83763,,-5083,3.83,314927,232921,299698,,8431,,3534,3196382,3919141,0,0
2015-05-15,1,2015,0,0,0,,,,-11371,1197,-12485,,840,-15042,1.22,0,-12485,18318,18292,2015年01月01日至2015年03月31日,0,73273,60788,73273,60788,102605,-11014,837950,1051359,213409,213409,110804,23049,,,1.20,69463,73273,91591,0,,-2557,840,837950,1051359,,
2015-08-12,2,2015,,,,6,,,-13678,861,-7448,,997,-8980,0.65,,-7448,31976,22109,2015年第2季,,38921,31473,38921,31473,84711,-13814,870246,1070831,200585,200585,115874,24966,,,0.64,68799,38921,70897,,,-1526,997,,1070831,,
2015-11-06,3,2015,,,,-443,,,78409,309,23524,,468,28875,1.81,,23524,34431,21330,2015年第3季,,117945,141469,117945,141469,74126,78250,835654,1027822,192168,192168,118042,24894,,,1.80,71818,117945,152376,,,4908,468,,1027822,,
2016-03-28,4,2015,,-2259,,,,,62499,2703,-17845,,2441,-18778,5.05,,-15586,115394,82584,2015年度,,317565,299720,317565,299720,370198,62761,3463131,4312879,849748,849748,479550,102475,-2722,,5.00,294491,317565,432959,-463,,-3192,2441,,4312879,,
2016-05-06,1,2016,,,,,,,-23913,419,-13267,,104,-15984,0.96,,-13267,24230,20372,2016年01月01日至2016年03月31日,,63235,49968,63235,49968,111063,-23598,881221,1112702,231481,231481,120418,25091,,,0.95,74955,63235,87465,,,-2717,104,,1112702,,
2016-08-12,2,2016,,,,0,,,13221,7161,-21917,,282,-26407,1.49,,-21917,47078,20690,2016年第2季,,98449,76532,98449,76532,125427,20100,853179,1099785,246606,246606,121179,24172,,,1.48,76317,98449,145527,,,-4490,282,,1099785,,
2016-11-11,3,2016,,,,0,,,-35850,1998,-33113,,579,-39895,0.84,,-33113,21316,22733,2016年第3季,,55439,22326,55439,22326,111186,-34431,969640,1195471,225831,225831,114645,25823,,,0.84,66089,55439,76755,,,-6782,579,,1195471,,
