date,season,year,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,,10663,18459,82792,82792,0.48,0.48,,59817,-20.0,188858,2013年01月01日至2013年03月31日,186433,269225,186433,269225,229312,16938,1625977,2088364,462387,462387,233075,,,0.48,0.48,44217,186433,246250,12164,0.0,0.0
2013-08-13,2,2013,,,,8128,6241,47801,47801,0.5,0.5,,68503,-12.0,205509,2013年04月01日至2013年06月30日,205146,252947,205146,252947,273490,159,1721709,2257545,535836,535836,262346,,,0.5,0.5,56837,205146,273649,14198,0.0,0.0
2013-11-13,3,2013,,,,-11056,19595,-35168,-35168,0.44,0.44,,29981,105.0,202445,2013年07月01日至2013年09月30日,179942,144774,179942,144774,213381,-3458,1649855,2122421,472566,472566,259185,,,0.44,0.44,56740,179942,209923,12102,0.0,0.0
2014-03-24,4,2013,,,,15873,58909,158633,150029,1.55,1.55,,175801,60.0,795595,2013年01月01日至2013年12月31日,638175,796808,638175,796808,787891,26085,6490116,8288301,1798185,1798185,1010294,,8604.0,1.55,1.55,214699,638175,813976,48757,0.0,0.0
2014-04-30,1,2014,,,,5293,9980,-5022,-5022,0.39,0.39,,43442,-6.0,213200,2014年01月01日至2014年03月31日,160689,155667,160689,155667,197954,6177,1609693,2079326,469633,469633,271679,,,0.39,0.39,58479,160689,204131,9090,0.0,0.0
2014-08-07,2,2014,,,,-14543,11345,-57497,-57497,0.24,0.24,,49190,-1.0,213652,2014年第2季,106961,49464,106961,49464,170347,-14196,1522505,1977761,455256,455256,284909,,,0.24,0.24,71257,106961,156151,10997,0.0,0.0
2014-11-13,3,2014,,,,6832,8741,85909,85909,0.16,0.16,,24051,-1.0,222903,2014年第3季,70166,156075,70166,156075,87886,6331,1432770,1793288,360518,360518,272632,,0.0,0.16,0.16,49729,70166,94217,9241,0.0,0.0
2015-03-19,4,2014,,,,29960,44507,123762,123086,0.95,0.95,,143273,-7.0,851349,2014年度,423036,546798,423036,546798,528153,38156,6032144,7664605,1632461,1632461,1104308,,676.0,0.95,0.95,252959,423036,566309,36304,,
2015-05-04,1,2015,,,,-11334,2635,-40675,-40675,0.22,0.22,-40675.0,18319,0.0,255810,2015年01月01日至2015年03月31日,96833,56158,96833,56158,131743,-16591,1531901,1978212,446311,446311,314568,,,0.22,0.22,58758,96833,115152,7892,,
2015-08-13,2,2015,,,,-14059,4857,-44837,-44837,0.27,0.27,-44837.0,58581,0.0,230511,2015年第2季,122905,78068,122905,78068,198778,-17292,1491383,1982531,491148,491148,292370,,,0.27,0.27,61859,122905,181486,8090,,
2015-11-10,3,2015,0.0,,,43768,21949,135953,135953,0.47,0.47,135953.0,39005,0.0,226503,2015年第3季,213775,349728,213775,349728,195117,57663,1338409,1831665,493256,493256,298139,0.0,,0.47,0.47,71636,213775,252780,8054,0.0,0.0
2016-03-18,4,2015,-4856.0,4616.0,4616.0,29238,47720,-20470,-15614,1.22,1.21,-15614.0,152850,0.0,915075,2015年度,549968,529498,545352,524882,654561,48257,5666519,7535941,1869422,1869422,1214861,-4856.0,,1.22,1.21,299786,549968,702818,28701,,
2016-04-25,1,2016,,0.0,0.0,-20608,2813,-50928,-50928,0.25,0.25,-50928.0,26486,,194216,2016年01月01日至2016年03月31日,112191,61263,112191,61263,161285,-22608,1203426,1618783,415357,415357,254072,,,0.25,0.25,59856,112191,138677,4813,,0.0
2016-08-11,2,2016,,0.0,0.0,-1146,23915,-65812,-65812,0.01,0.01,-65812.0,45248,,182032,2016年第2季,3327,-62485,3327,-62485,28912,19663,1136800,1403312,266512,266512,237600,,,0.01,0.01,55568,3327,48575,3106,,
2016-11-11,3,2016,,0.0,0.0,-28396,17026,-89645,-89645,-0.23,-0.23,-89645.0,-19320,,157794,2016年第3季,-105274,-194919,-105274,-194919,-110482,-14112,940679,1046389,105710,105710,216192,,,-0.23,-0.23,58398,-105274,-124594,2742,,
