date,season,year,不重分類至損益之項目總額（稅後）,保險業務淨收益,保險負債準備淨變動合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,共同控制下前手權益,其他利息以外淨損益,其他業務及管理費用,其他綜合損益－其他,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-05-24,1,2013,,8250420,8295097,617416,-1820368.0,,1377542,,-1089806,3289806,,17195718,11311801,7877297,3434504,-245250,5605018,821279,0.52,,-1188269,6462223,3978,494155,95,,,75964.0,,,21770,2013年01月01日至2013年03月31日,,-671682.0,6445920,5774238,25073015,9388979,,,6445920,7634189.0,,,251443.0,,10326.0,,1541754,2022,3666
2013-08-23,2,2013,,10782629,10880197,1153893,-6397197.0,,1379533,,-193768,3679531,,20166656,11729759,8118450,3611309,48268,5338335,-172279,0.53,,-998726,5648033,3997,482590,127,,,-64150.0,,,9324,2013年04月01日至2013年06月30日,,-5908466.0,6857459,948993,28285106,9500456,,,6857459,7856185.0,,,725160.0,,-3380.0,,1386268,1045,-886
2013-11-27,3,2013,,14711737,14300518,1110356,-760372.0,,-472951,,-47035,3698929,,22724931,12079973,8352073,3727900,1147063,5920168,-1531590,0.34,,-555137,5244986,4033,482618,64,,,-18844.0,,,31711,2013年07月01日至2013年09月30日,,-2071074.0,4972571,2901497,31077004,10101715,,,4972571,5527708.0,,,239732.0,,4053.0,,2137977,2667,-7658
2014-02-27,4,2013,,60870646,60001187,3377680,-7323009.0,,3353101,0.0,-1613523,14980341,,94006397,47789311,33160222,14629089,6415749,22270993,-863175,1.5,,-41875,22249981,15723,1946234,382,,,-68159.0,,,75806,2013年01月01日至2013年12月31日,,-7090337.0,21510240,14419903,127166619,39197568,,7514.0,21510240,21552115.0,,,1156492.0,,-41563.0,,5718164,7455,-5330
2014-05-23,1,2014,,20378963,20288726,1660950,1592620.0,,-5238222,,-1089375,3570522,,30033962,13875631,9556603,4319028,511326,5857120,1056823,0.53,,-1106089,6527056,3110,459397,97,,,-24360.0,,,19882,2014年01月01日至2014年03月31日,,2365329.0,7797385,10162714,39590565,9887039,,725.0,7797385,8903474.0,,,-260479.0,,,49.0,7771452,2208,7602
2014-08-20,2,2014,,19254456,18922789,1049858,927803.0,,-977101,,15035166,4298733,,41552174,15788783,10832025,4956758,359074,6552784,-956007,1.41,,-1063700,5364061,2021,502340,65,,,18921.0,,,23804,2014年第2季,,-79162.0,20684779,20605617,52384199,11353857,,-4005.0,20684779,21748479.0,,,-65874.0,,,904.0,1798940,2059,-1462
2014-11-28,3,2014,,37227259,36160869,1865992,-3008737.0,,2706371,,208013,5492659,,46933423,19070414,13220041,5850373,-737961,7877793,-563137,0.58,,-1949018,5580369,-1592,598982,66812,,,21907.0,,,-70306,2014年第3季,,-3267506.0,8812104,5544598,60153464,13969434,,7.0,8812104,10761122.0,,,282454.0,,,8682.0,-658177,1549,729
2015-03-31,4,2014,,105653900,104063750,5262394,2388355.0,,-897655,,13769458,19538441,464012.0,154865396,67442151,46561291,20880860,3644750,26826683,495747,2.58,,-5717634,22160700,4708,2191849,67073,,,45772.0,,,-11428,2014年度,,2739684.0,39443580,42183264,201426687,48556973,,-304687.0,39443580,45161214.0,,,-349515.0,,,-66099.0,8922345,6573,9987
2015-05-26,1,2015,90217.0,30107785,29679011,1762384,,941146.0,-1461706,,-526688,5201475,,41167570,18565890,13043373,5522517,-239094,7437696,-1087312,0.64,-137177.0,-1711094,7196312,4226,645248,101,85731.0,,,956.0,9967.0,14684,2015年01月01日至2015年03月31日,-46960.0,,9775513,9728553,54210943,13284419,2286.0,,9775513,,11486607.0,1244.0,,-978.0,,-56312.0,4126784,1121,-2807
2015-08-28,2,2015,60381.0,21908967,22192728,2565579,,-5338973.0,-97875,,91755,5495691,,32640989,18699059,13408440,5290619,-367614,9118993,-1076400,0.45,-5413053.0,-1302368,5938455,3061,857689,99,57105.0,0.0,,,-2635.0,-5512,2015年第2季,-5352672.0,,7449574,2096902,46049429,15472373,3276.0,,7449574,,8751942.0,0.0,,1004955.0,,-40725.0,2277185,982,-1129
2015-11-27,3,2015,2102371.0,25043933,25658749,813037,,-3719254.0,2295007,,23054,5889864,,34037051,19640659,14316487,5324172,1444698,5155542,3968993,0.47,268490.0,-1683469,6273054,3870,796767,104,2102415.0,,,0.0,14600.0,38972,2015年第3季,2370861.0,,7724449,10095310,48353538,11842173,-44.0,,7724449,,9407918.0,0.0,,4151.0,,-401.0,-453579,1652,215
2016-03-29,4,2015,619049.0,112736151,117725465,5503314,,-6427914.0,1079439,,6599848,22859226,,156419816,80541643,59152111,21389532,1504991,29293524,1942611,2.1,-3351093.0,-5648279,25551640,56469,3138400,409,1150729.0,,,-2119.0,112130.0,74167,2015年度,-2732044.0,,35402042,32669998,215571927,55291150,-636502.0,,35402042,,41050321.0,106941.0,,1022080.0,,-902178.0,5720557,4466,467
2016-05-26,1,2016,1239114.0,46347533,49897210,2228296,,884799.0,-9753161,,562037,5745194,,55836888,24890367,19718617,5171750,2483219,7981954,-110797,0.36,744424.0,-2000575,5996780,7050,880377,107,1244492.0,,,-4248.0,19535.0,60849,2016年01月01日至2016年03月31日,1983538.0,,6566976,8550514,75555505,14607525,1346.0,,6566976,,8567551.0,-2476.0,,-49113.0,,-7166.0,10394563,1675,1839
2016-08-25,2,2016,-14489.0,45475942,50660419,2642947,,1485606.0,-1824521,,1360741,5991504,,54946983,25033877,20431694,4602183,897506,7685283,1602057,0.43,2266703.0,-1517605,4386803,113394,886839,104,-11429.0,,,0.0,-7733.0,69386,2016年第2季,2252214.0,,7739521,9991735,75378677,14563626,-4079.0,,7739521,,9257126.0,1019.0,,-813227.0,,-65614.0,2787801,1962,1964
2016-11-29,3,2016,-777498.0,51575765,56721865,4835961,,1368631.0,-10666022,,2551039,6009851,,63104323,25977242,21555240,4422002,1485303,8964149,-2366718,0.5,-846498.0,-1562710,3743048,121431,888443,-3079,-777507.0,,,0.0,2549.0,78174,2016年第3季,-1623996.0,,9027242,7403246,84659563,15862443,13.0,,9027242,,10589952.0,-4.0,,149040.0,,11488.0,10856518,928,-1203
