date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,0.0,-5284,10995,6646,,47548,52832,0.09,0.0,,8544,,51310,2013年01月01日至2013年03月31日,0.0,35090,82638,37666,85214,35919,7715,789963,916242,126279,126279,90360,,,0.09,39050,35090,43634,,,,9926,,-2576,-2576
2013-08-13,2,2013,,,-8767,26923,4866,,31459,38731,0.16,,,9337,,79363,2013年04月01日至2013年06月30日,,71699,103158,68919,87470,56667,24369,830137,1010171,180034,180034,123367,,,0.16,44004,71699,81036,,-1495.0,,7420,,2780,15688
2013-11-13,3,2013,,,5383,6257,7652,,-20650,-25999,0.05,,,6022,,47038,2013年07月01日至2013年09月30日,,14151,-6499,21072,9088,14575,5598,881793,985555,103762,103762,89187,,,0.05,42149,14151,20173,,34.0,,8311,,-6921,-15587
2014-03-28,4,2013,,0.0,1845,56577,29505,0.0,101176,134350,0.65,,,48325,,292224,2013年01月01日至2013年12月31日,,322700,423876,274532,330324,322866,48159,3746125,4551240,805115,805115,482249,,-42341.0,0.65,190025,322700,371025,,-7322.0,,37923,,48168,93552
2014-05-12,1,2014,,0.0,778,-3570,8916,,-10317,-10439,0.2,,,28994,,51308,2014年01月01日至2014年03月31日,,107003,96686,85720,78882,141243,-5246,932059,1192024,259965,259965,118722,,,0.2,67414,107003,135997,,656.0,,10592,,21283,17804
2014-08-14,2,2014,,,-13582,-5267,11686,,-60390,-46863,0.26,,,51681,,63785,2014年第2季,,145231,84841,111497,66727,202994,-6082,1151011,1493124,342113,342113,139119,,,0.26,75334,145231,196912,,-55.0,,12501,,33734,18114
2014-11-14,3,2014,,0.0,7561,7811,8366,,74358,66281,0.08,,,698,-370.0,56382,2014年第3季,,23008,97366,33449,85716,15883,7823,810630,944057,133427,133427,117544,,0.0,0.08,61162,23008,23706,,-516.0,,7984,,-10441,11650
2015-03-30,4,2014,,0.0,-13885,-9803,41973,0.0,74194,92415,0.67,,,90056,-1012.0,227098,2014年度,,336764,410958,283540,326958,433979,-7159,4055891,5000089,944198,944198,510219,,-5330.0,0.67,283121,336764,426820,,-994.0,,38317,,53224,84000
2015-05-15,1,2015,,0.0,-501,-9071,3474,,-26012,-25622,0.02,,-26012.0,6327,-220.0,41888,2015年01月01日至2015年03月31日,,1507,-24505,10502,-6970,20166,-12332,836497,951789,115292,115292,95126,,,0.02,53238,1507,7834,,,-111.0,6515,,-8995,-17535
2015-08-14,2,2015,,,-9713,1513,7437,,-45984,-36532,-0.03,,-45984.0,28323,-216.0,43834,2015年第2季,,-30732,-76716,-14026,-47834,-5833,3424,1010507,1100452,89945,89945,95778,,,-0.03,51944,-30732,-2409,,,-261.0,5310,,-16706,-28882
2015-11-13,3,2015,,,-1876,-42099,8738,,98238,99681,-0.08,,98238.0,12483,-205.0,48522,2015年第3季,,-72270,25968,-32430,32584,-20464,-39323,1070819,1152722,81903,81903,102367,,,-0.08,53845,-72270,-59787,,,-433.0,5757,,-39840,-6616
2016-03-31,4,2015,-8192.0,0.0,-15246,-48496,27575,,-72042,-49429,0.04,,-63850.0,68462,-916.0,178586,2015年度,,-57407,-129449,17977,-38346,57798,-46743,3911089,4350645,439556,439556,381758,-9869.0,,0.04,203172,-57407,11055,-1677.0,,-825.0,24906,,-75384,-91103
2016-05-13,1,2016,,0.0,9118,1086,5711,,-923,-10053,-0.03,,-923.0,6626,-96.0,41576,2016年01月01日至2016年03月31日,,-33204,-34127,-11582,-9154,-26416,-162,807187,875999,68812,68812,95228,,,-0.03,53652,-33204,-26578,,,-12.0,6863,,-21622,-24973
2016-08-11,2,2016,,,-13278,-31021,6710,,-74365,-60844,0.17,,-74365.0,8472,-178.0,43917,2016年第2季,,77164,2799,64650,10564,117288,-31652,924153,1130525,206372,206372,89084,,,0.17,45167,77164,85636,,,243.0,7163,,12514,-7765
2016-11-14,3,2016,,,26253,-23768,19058,,-46898,-72882,0.08,,-46898.0,7170,-267.0,37141,2016年第3季,,32507,-14391,30526,7920,51964,-12287,883120,1019178,136058,136058,84094,,,0.08,46953,32507,39677,,,269.0,7310,1019178.0,1981,-22311
