date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,-2648,483,,20653,20653,-0.1,0.0,,780,3256,2013年01月01日至2013年03月31日,0.0,-16186,4467,-16186,4467,-12682,-2724,109478,140715,31237,31237,43919,419,,,,,40244,-16186,-15406,,,559,,109478.0,140715.0,140715.0,0.0,0.0
2013-08-13,2,2013,,,,13464,7666,,8808,8808,0.11,,,-91,3793,2013年04月01日至2013年06月30日,,17819,26627,17819,26627,-2772,20500,129937,163812,33875,33875,36647,365,,,,,32489,17819,17728,,,630,,129937.0,163812.0,163812.0,0.0,0.0
2013-11-13,3,2013,,,,856,2751,0.0,-5722,-5722,-0.11,0.0,,-486,3955,2013年07月01日至2013年09月30日,0.0,-16957,-22679,-16957,-22679,-20401,2958,145875,169645,23770,23770,44171,366,,,,,39850,-16957,-17443,0.0,,649,,,,,,
2014-03-28,4,2013,,,,30768,16814,72516.0,31415,30630,0.16,,,2201,15469,2013年01月01日至2013年12月31日,,25759,57174,25759,57174,-17099,45059,536164,624596,88432,88432,178047,1533,,785.0,,,161045,25759,27960,0.0,,2523,,536164.0,624596.0,624596.0,,
2014-05-14,1,2014,,0.0,,-1365,-45,,10187,10187,-0.12,0.0,,-49,3541,2014年01月01日至2014年03月31日,0.0,-19396,-9209,-19396,-9209,-17340,-2105,141270,169528,28258,28258,45598,458,,,,,41599,-19396,-19445,,,695,,141270.0,,169528.0,0.0,0.0
2014-08-13,2,2014,,,,3972,-471,,-13117,-13117,-0.04,,,73,4023,2014年第2季,,-6244,-19361,-6244,-19361,-8981,2810,95816,132560,36744,36744,45725,367,,,,,41335,-6244,-6171,,,691,,95816.0,132560.0,132560.0,0.0,0.0
2014-11-13,3,2014,,0.0,,-1031,-2703,,12059,12059,0.06,,,-9,3694,2014年第3季,,9944,22003,9944,22003,14365,-4430,120257,174573,54316,54316,39951,407,,,,,35850,9944,9935,0.0,,696,120257.0,120257.0,174573.0,174573.0,0.0,0.0
2015-03-30,4,2014,,,-300.0,57242,-3876,111360.0,37468,36872,0.74,,,4427,14967,2014年度,,119634,157102,119634,157102,73467,50594,462256,614311,152055,152055,189948,1722,,896.0,,,173259,119634,124061,0.0,,2772,,462256.0,614311.0,614311.0,0.0,0.0
2015-05-13,1,2015,,0.0,,-673,20,,-6883,-6883,-0.1,0.0,-6883.0,1189,3385,2015年01月01日至2015年03月31日,0.0,-15993,-22876,-15993,-22876,-13499,-1305,86111,116558,30447,30447,43946,517,,,,,40044,-15993,-14804,,0.0,652,,86111.0,,116558.0,0.0,0.0
2015-08-13,2,2015,,0.0,150.0,5451,-2056,,13445,13295,0.0,,13445.0,-120,3092,2015年第2季,,48,13493,48,13493,-2825,2753,88198,129060,40862,40862,43687,919,,,,,39676,48,-72,,0.0,642,,88198.0,,129060.0,,
2015-11-04,3,2015,,,52.0,3099,5011,,22457,22405,0.11,,22457.0,2,3771,2015年第3季,,18016,40473,18016,40473,10425,7593,92627,135375,42748,42748,32323,1049,,,,0.11,27503,18016,18018,,0.0,517,,92627.0,135375.0,135375.0,,
2016-03-10,4,2015,2745.0,,300.0,12758,11397,0.0,-4497,-7542,0.03,,-7242.0,3502,13550,2015年度,,5003,506,5003,506,-13026,21531,358835,511704,152869,152869,165895,3927,2745.0,,,,148418,5003,8505,,,2624,,358835.0,511704.0,511704.0,0.0,0.0
2016-05-13,1,2016,,0.0,-29.0,24468,156,,-9360,-9331,0.05,,-9360.0,183,3693,2016年01月01日至2016年03月31日,,8812,-548,8812,-548,-15022,24017,92607,126865,34258,34258,49280,779,,,3985.0,0.05,44808,8812,8995,,0.0,607,,92607.0,,122880.0,0.0,0.0
2016-08-10,2,2016,,,-106.0,11334,183,,-20262,-20156,0.06,,-20262.0,697,4604,2016年第2季,,9664,-10598,9664,-10598,-516,10877,93029,137559,44530,44530,45046,807,,,,0.06,39635,9664,10361,,,640,,93029.0,137559.0,137559.0,,
2016-11-14,3,2016,,,96.0,9752,147,,-22981,-23077,-0.01,0.0,-22981.0,2523,4273,2016年第3季,0.0,-2337,-25318,-2337,-25318,-9162,9348,94871,129181,34310,34310,43472,901,,,,-0.01,38298,-2337,186,,,551,,94871.0,129181.0,129181.0,,
