date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,4317,14941,16038,33298,28981,0.15,0.15,,6195,-762,72696,2013年01月01日至2013年03月31日,31283,64581,27269,54811,8368,29110,1183972,1359461,175489,175489,167121,11094,,,,,83331,31283,37478,,,,1107,4014,9770
2013-08-12,2,2013,,107232,-41459,25957,125053,17821,0.12,0.12,,54132,-471,74029,2013年04月01日至2013年06月30日,24585,149638,21954,143394,95870,-17153,1412452,1670200,257748,257748,161878,13479,,,,,74370,24585,78717,,,,1180,2631,6244
2013-11-13,3,2013,,-13026,-9310,16283,-29351,-16325,0.13,0.13,,4000,-390,76575,2013年07月01日至2013年09月30日,28025,-1326,24765,-2094,28045,3980,1147452,1340416,192964,192964,164919,12679,,,0.13,0.13,75665,28025,32025,,,,2603,3260,768
2014-03-25,4,2013,,132900,-68219,82486,192268,50075,0.47,0.47,,70002,-1505,294771,2013年01月01日至2013年12月31日,109653,301921,86831,268349,172192,7463,4838543,5671370,832827,832827,660635,49717,,11046.0,,,316147,109653,179655,,1753.0,,5299,22822,33572
2014-05-13,1,2014,,2377,25615,21856,371,-2006,0.69,0.69,,29791,-302,58179,2014年01月01日至2014年03月31日,137641,138012,126206,127449,122662,44770,1153037,1420365,267328,267328,144666,13459,,,,,73028,137641,167432,,,,2399,11435,10563
2014-08-12,2,2014,,5516,-48722,20448,-20254,-25770,-0.03,-0.03,,51842,-711,59713,2014年第2季,5151,-15103,-5060,-21369,88223,-31230,893087,1129934,236847,236847,148624,10812,,,,,78099,5151,56993,,,,2245,10211,6266
2014-11-12,3,2014,,-92621,52447,26437,-58197,34424,0.72,0.72,,13284,-169,60471,2014年第3季,139498,81301,124925,59427,76436,76346,1000815,1232783,231968,231968,155532,12854,,,,,82207,139498,152782,,,,2369,14573,21874
2015-03-24,4,2014,,-81200,33032,92469,-29298,48480,1.91,1.91,,120935,-316,235857,2014年度,392822,363524,339326,300935,397670,116087,4139554,5162246,1022692,1022692,625022,49209,,4093.0,,,339956,392822,513757,,671.0,,9098,53496,62589
2015-05-12,1,2015,,0,-15820,20702,-14055,-14055,0.49,0.49,-14055.0,10273,18,58144,2015年01月01日至2015年03月31日,97240,83185,86889,74995,103637,3876,1013111,1270856,257745,257745,154108,11064,,,0.49,0.49,84900,97240,107513,,,,1024,10351,8190
2015-08-13,2,2015,,0,-22152,13135,-20435,-20435,0.1,0.1,-20435.0,50723,436,63397,2015年第2季,19926,-509,17539,194,79333,-8684,887416,1124134,236718,236718,157385,11036,,,0.1,0.1,82952,19926,70649,,,,103,2387,-703
2015-11-13,3,2015,0.0,0,69443,34307,54650,54650,0.6,0.6,54650.0,8448,341,63897,2015年第3季,124581,179231,102834,149174,29116,103913,756988,949647,192659,192659,163543,10214,0.0,,0.6,0.6,89432,124581,133029,,,0.0,178,21747,30057
2016-03-18,4,2015,-3022.0,2611,136642,96465,-6828,-6417,2.15,2.15,-3806.0,98275,1252,249389,2015年度,406167,399339,369081,367108,271973,232469,3699206,4603492,904286,904286,632313,43737,-3626.0,,2.15,2.15,339187,406167,504442,-604.0,,,1890,37086,32231
2016-05-10,1,2016,,2512,-15477,13664,-22155,-24667,0.17,0.17,-22155.0,16096,-40,53229,2016年01月01日至2016年03月31日,33176,11021,29086,11538,51581,-2309,710545,914427,203882,203882,152301,20956,,,0.17,0.17,78116,33176,49272,,,,456,4090,-517
2016-08-11,2,2016,,4339,1275,20411,-23057,-27396,0.22,0.22,-23057.0,49718,56,56799,2016年第2季,44913,21856,37240,19934,73522,21109,936288,1164360,228072,228072,154550,19765,,,0.22,0.22,77986,44913,94631,,,,633,7673,1922
2016-11-14,3,2016,,8561,-40354,14940,-39324,-47885,0.12,0.12,-39324.0,14041,-384,60450,2016年第3季,23228,-16096,21157,-14966,63195,-25926,729544,935541,205997,205997,142802,22096,,,0.12,0.12,60256,23228,37269,,,,128,2071,-1130
