date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,2653,33494,69776,69776,-0.27,-0.27,,-2745,,46152,2013年01月01日至2013年03月31日,-40965,28811,-35776,30443,-66524,22814,616618,649252,32634,32634,99158,14299,,,-0.27,-0.27,38707,-40965,-43710,,,13333,-5189,-1632
2013-08-13,2,2013,,9295,27183,39023,39023,-0.12,-0.12,,5094,,32296,2013年04月01日至2013年06月30日,-19913,19110,-16471,20092,-38428,23609,783148,828232,45084,45084,83512,17135,,,-0.12,-0.12,34081,-19913,-14819,,,12869,-3442,-982
2013-11-13,3,2013,,-1241,15543,-28249,-28249,-0.24,-0.24,,-2037,,32435,2013年07月01日至2013年09月30日,-31749,-59998,-31663,-59190,-34323,537,734370,792532,58162,58162,92485,15483,,,-0.24,-0.24,44567,-31749,-33786,,,13765,-86,-808
2014-03-28,4,2013,,14507,89218,119857,119006,-0.5,-0.5,,17570,,127659,2013年01月01日至2013年12月31日,-75803,44054,-67019,47474,-115435,57202,2884719,3118956,234237,234237,349672,78342,,1025.0,-0.5,-0.5,143671,-75803,-58233,,174.0,46523,-8784,-3420
2014-05-13,1,2014,,-8439,18100,371,371,-0.1,-0.1,,-924,,18439,2014年01月01日至2014年03月31日,-13772,-13401,-13724,-13349,-10752,-3944,617444,703362,85918,85918,96670,22468,,,-0.1,-0.1,55763,-13772,-14696,,,13605,-48,-52
2014-08-13,2,2014,,-3400,24583,-39338,-39338,0.03,0.03,,1292,,35653,2014年第2季,3819,-35519,3851,-35460,-3952,9063,669987,753759,83772,83772,87724,23176,,0.0,0.03,0.03,28895,3819,5111,,0.0,12120,-32,-59
2014-11-11,3,2014,,7737,17693,57315,57315,0.16,0.16,,7008,,40487,2014年第3季,21639,78954,21651,78925,15491,13156,712685,839893,127208,127208,111717,24108,,,0.16,0.16,47122,21639,28647,,,12274,-12,29
2015-03-23,4,2014,,224,93352,84876,85479,0.1,0.1,,12988,,146139,2014年度,13449,98325,13596,98419,-15778,42215,2723843,3103907,380064,380064,395842,93583,,-726.0,0.1,0.1,156120,13449,26437,,-123.0,51361,-147,-94
2015-05-13,1,2015,,-11851,13895,-22739,-22739,-0.61,-0.61,-22739.0,-20108,,25435,2015年01月01日至2015年03月31日,-81184,-103923,-81059,-103783,-90601,-10691,592030,607981,15951,15951,106552,21932,,,-0.61,-0.61,59185,-81184,-101292,,,12735,-125,-140
2015-08-13,2,2015,,-9453,20351,-29206,-29206,-0.56,-0.56,-29206.0,-15865,504.0,18912,2015年第2季,-73878,-103084,-73763,-102950,-89532,-211,577232,575131,-2101,-2101,87431,22251,,,-0.56,-0.56,46268,-73878,-89743,,,11613,-115,-134
2015-11-11,3,2015,,-18349,21803,81119,81119,-0.84,-0.84,81119.0,6277,4.0,28319,2015年第3季,-110003,-28884,-109855,-28782,-91816,-11910,645661,664740,19079,19079,110895,24658,,,-0.84,-0.84,57918,-110003,-103726,,,15368,-148,-102
2016-03-24,4,2015,-1726.0,-73636,72322,-5008,-3282,-3.16,-3.16,-3282.0,-21275,1468.0,109306,2015年度,-416503,-421511,-416006,-421005,-386184,-51594,2480235,2529400,49165,49165,435349,110281,-2079.0,,-3.16,-3.16,215762,-416503,-437778,-353.0,,51748,-497,-506
2016-05-09,1,2016,,-15570,31935,-25934,-25934,-0.55,-0.55,-25934.0,24624,,30712,2016年01月01日至2016年03月31日,-71355,-97289,-71285,-97206,-53389,6658,657029,696345,39316,39316,92705,22806,,,,,39187,-71355,-46731,,,9707,-70,-83
2016-08-11,2,2016,,-18501,15502,-23091,-23091,-0.32,-0.32,-23091.0,17134,0.0,28197,2016年第2季,-41754,-64845,-41687,-64761,-13238,-11382,724855,800060,75205,75205,88443,22355,,,,,37891,-41754,-24620,,,8383,-67,-84
2016-11-11,3,2016,,-21755,-5410,-40082,-40082,-0.28,-0.28,-40082.0,7503,0.0,32359,2016年第3季,-35910,-75992,-35865,-75924,11413,-39820,673716,785381,111665,111665,100252,18995,,,,,48898,-35910,-28407,,,12655,-45,-68
