date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,739,7142,2695,2695,0.02,0.02,,1286,,5612,2013年01月01日至2013年03月31日,3497,6192,3131,5826,3974,809,575181,611054,35873,35873,31899,778,,,0.02,0.02,25509,3497,4783,7072,366,366
2013-08-13,2,2013,,,-2154,9593,2131,2131,0.04,0.04,,-16232,945.0,5450,2013年04月01日至2013年06月30日,6602,8733,6890,9021,-7433,-2197,744971,772014,27043,27043,34476,738,,,0.04,0.04,28288,6602,-9630,10581,-288,-288
2013-11-13,3,2013,,,-2881,3240,-1264,-1264,1.05,1.05,,-398,724.0,69000,2013年07月01日至2013年09月30日,192602,191338,187996,186732,195700,-3496,1682551,1974737,292186,292186,96486,728,,,1.05,1.05,26758,192602,192204,4579,4606,4606
2014-03-26,4,2013,,,10874,23784,4522,5626,7.0,7.0,,-9354,2982.0,313622,2013年01月01日至2013年12月31日,1260711,1265233,1252948,1257470,1243499,7858,6428915,8176431,1747516,1747516,504017,2973,,-1104.0,6.95,6.95,187422,1260711,1251357,29782,7763,7763
2014-05-14,1,2014,,,1261,3760,-497,-497,0.87,0.87,,858,987.0,23445,2014年01月01日至2014年03月31日,155130,154633,155926,155429,155866,122,820667,1056222,235555,235555,79689,660,,,0.87,0.87,55584,155130,155988,5886,-796,-796
2014-08-08,2,2014,,,-67,5518,-1909,-1909,-0.17,-0.17,,33137,1422.0,9109,2014年第2季,-31412,-33321,-29997,-31906,710,1015,738578,774826,36248,36248,35538,616,,,-0.17,-0.17,25813,-31412,1725,5858,-1415,-1415
2014-11-13,3,2014,,,-3975,6795,3171,3171,-0.19,-0.19,,365,874.0,11070,2014年第3季,-36726,-33555,-38207,-35036,-33568,-2793,587035,574050,-12985,-12985,20583,538,,0.0,-0.19,-0.19,8975,-36726,-36361,6487,1481,1481
2015-03-30,4,2014,,,-1731,20435,3807,4118,0.94,0.94,,50350,4002.0,76525,2014年度,179076,182883,185708,189515,233089,-3663,3252408,3691612,439204,439204,206115,2551,,-311.0,0.94,0.94,127039,179076,229426,26369,-6632,-6632
2015-05-14,1,2015,,,-162,6796,-1216,-1216,0.06,0.06,-1216.0,1327,840.0,10899,2015年01月01日至2015年03月31日,8346,7130,11532,10316,9385,288,459510,510645,51135,51135,41750,618,,,0.06,0.06,30233,8346,9673,7186,-3186,-3186
2015-08-14,2,2015,,,-808,10121,-1627,-1627,0.25,0.25,-1627.0,8137,745.0,14673,2015年第2季,49633,48006,50060,48433,56289,1481,383265,483695,100430,100430,44141,639,,,0.25,0.25,28829,49633,57770,8577,-427,-427
2015-11-12,3,2015,,,-2905,7452,4498,4498,0.16,0.16,4498.0,1943,405.0,10124,2015年第3季,32415,36913,32752,37250,37821,-3463,747611,817746,70135,70135,32314,762,,,0.16,0.16,21428,32415,34358,8415,-337,-337
2016-03-28,4,2015,0.0,3200.0,-4638,28824,2169,-1031,0.7,0.7,2169.0,3755,4724.0,48977,2015年度,137872,140041,142753,144922,146653,-5026,2212424,2514096,301672,301672,155019,2873,0.0,,0.7,0.7,103169,137872,141627,33936,-4881,-4881
2016-05-12,1,2016,,-789.0,-832,6525,-3282,-2493,0.03,0.03,-3282.0,869,267.0,6000,2016年01月01日至2016年03月31日,4557,1275,5333,2051,9029,-3603,394396,436324,41928,41928,32899,806,,,0.03,0.03,26093,4557,5426,9563,-776,-776
2016-08-12,2,2016,,-693.0,-1860,8926,-2813,-2120,0.03,0.03,-2813.0,-6122,-1361.0,6460,2016年第2季,5530,2717,5778,2965,3326,-3918,316183,351713,35530,35530,32204,933,,,0.03,0.03,24811,5530,-592,9623,-248,-248
2016-11-11,3,2016,,-847.0,-2250,9697,-4068,-3221,0.01,0.01,-4068.0,-33,1036.0,4076,2016年第3季,6870,2802,1077,-2991,4544,2293,834026,866991,32965,32965,28421,865,,,0.01,0.01,23480,6870,6837,6190,5793,5793
