date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-10,1,2013,,-3211,-7377,11956,108886,111522,-0.03,-0.03,,924,30556,2013年01月01日至2013年03月31日,-5363,103523,-5363,103523,9420,-13859,800572,900540,99968,99968,90548,11696,,-0.03,-0.03,48296,-5363,-4439,,-575.0,,18438,1.0,900554.0,900540.0,13.0
2013-08-09,2,2013,,-3090,-8990,13006,45776,48313,-0.27,-0.27,,-24323,37994,2013年04月01日至2013年06月30日,-45703,73,-45703,73,-57277,-12749,938677,986666,47989,47989,105266,12299,,-0.27,-0.27,54973,-45703,-70026,,-553.0,,16765,7.0,986680.0,986666.0,7.0
2013-11-08,3,2013,,3091,4966,7010,-30995,-33510,0.28,0.28,,21146,34990,2013年07月01日至2013年09月30日,48889,17894,48889,17894,73318,-3283,890180,1067300,177120,177120,103802,8493,,0.28,0.28,60319,48889,70035,,576.0,,15259,3.0,1067408.0,1067300.0,105.0
2014-03-26,4,2013,,-2003,-11681,39899,173612,175156,0.09,0.09,,7939,142177,2013年01月01日至2013年12月31日,14718,188330,14718,188330,60533,-37876,3564142,4022046,457904,457904,397371,42300,,0.09,0.09,212894,14718,22657,,-459.0,,66094,67.0,4022257.0,4022046.0,144.0
2014-05-09,1,2014,,-2197,5107,8791,-9743,-7830,-0.15,-0.15,,-8995,36697,2014年01月01日至2014年03月31日,-25102,-34845,-25102,-34845,-37183,3086,800301,852932,52631,52631,89814,8770,,-0.15,-0.15,44347,-25102,-34097,,-284.0,,10812,25.0,852995.0,852932.0,38.0
2014-08-12,2,2014,,90,3636,7908,-56977,-56896,0.39,0.39,,36113,35419,2014年第2季,66632,9655,66632,9655,102359,386,876629,1070351,193722,193722,91363,7168,,0.39,0.39,48776,66632,102745,,171.0,,11158,1233.0,1071640.0,1070351.0,56.0
2014-11-11,3,2014,,37,1952,5611,81136,81202,0.15,0.15,,19607,35837,2014年第3季,25105,106241,25105,106241,49760,-5048,872602,1021640,149038,149038,99278,7622,,0.15,0.15,55819,25105,44712,,103.0,,12611,,,,
2015-03-27,4,2014,,-787,12665,27443,120889,121666,0.51,0.51,,52317,138208,2014年度,87840,208729,87840,208729,145797,-5640,3417772,3945079,527307,527307,381510,33702,,0.51,0.51,209600,87840,140157,,-10.0,,45748,,,,
2015-05-12,1,2015,,-20,3443,10120,-19428,-23389,-0.07,-0.07,-19428.0,-4063,30908,2015年第1季,-12156,-31584,-12156,-31584,-18313,2094,780260,855017,74757,74757,93070,9918,,-0.07,-0.07,52244,-12156,-16219,,,-3981.0,11469,,,,
2015-08-11,2,2015,,-3887,2380,6212,-47955,-54012,-0.11,-0.11,-47955.0,4727,33647,2015年第2季,-18026,-65981,-18026,-65981,-10432,-2867,878460,959997,81537,81537,91969,10843,,-0.11,-0.11,47479,-18026,-13299,,,-9944.0,11459,,,,
2015-11-10,3,2015,,1115,10046,6152,118755,141948,-0.14,-0.14,118755.0,1166,36778,2015年第3季,-23388,95367,-23388,95367,-26281,4059,893536,967902,74366,74366,100647,11200,,-0.14,-0.14,52669,-23388,-22222,,,24308.0,12139,,,,
2016-03-25,4,2015,-751.0,-288,25750,29400,-44600,-52495,-0.24,-0.24,-43849.0,12735,136032,2015年度,-41303,-85903,-41303,-85903,-37150,8582,3385665,3728264,342599,342599,379749,42100,-905.0,-0.24,-0.24,201617,-41303,-28568,-154.0,,-8934.0,46568,,,,
2016-05-10,1,2016,,-172,-1235,6398,-17967,-21514,-0.09,-0.09,-17967.0,1158,33205,2016年01月01日至2016年03月31日,-15990,-33957,-15990,-33957,-9502,-5330,679787,761553,81766,81766,91268,8127,,-0.09,-0.09,49936,-15990,-14832,,,-3719.0,10493,,,,
2016-08-10,2,2016,,-47,14165,5008,-65148,-78460,0.13,0.13,-65148.0,27992,36916,2016年第2季,21326,-43822,21326,-43822,41123,8195,777456,920302,142846,142846,101723,6998,,0.13,0.13,57809,21326,49318,,,-13359.0,10978,,,,
2016-11-10,3,2016,,-1111,1645,3547,-94286,-112636,0.09,0.09,-94286.0,5063,38626,2016年第3季,14585,-79701,14585,-79701,25789,-6141,828798,952430,123632,123632,97843,9492,,0.09,0.09,49725,14585,19648,,,-19461.0,11333,,,,
