date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,2085,4141,,5352,45310.0,5352,0.27,,11497,0.0,177710,2013年01月01日至2013年03月31日,35633,40985,44132,47111,43340,3790,2958188,3271807,313619,313619,270279,37666,,,0.27,54903,35633,47130,,,,2436,45931.0,3294785.0,3226497.0,22357.0,-8499,-6126
2013-08-09,2,2013,,,3592,2035,,1668,,1668,0.14,,2792,0.0,167447,2013年04月01日至2013年06月30日,28022,29690,22254,23389,27226,3588,3068817,3353265,284448,284448,257222,28858,,,0.14,60917,28022,30814,,,,2039,,,,,5768,6301
2013-11-08,3,2013,,,-1150,1935,,-1573,,-1573,0.25,,8590,0.0,171959,2013年07月01日至2013年09月30日,46181,44608,40953,40034,56670,-1899,3443090,3758496,315406,315406,258736,22817,,,0.25,63960,46181,54771,,,,2684,,,,,5228,4574
2014-03-27,4,2013,,,5707,13495,,9950,,8935,0.97,,35669,0.0,672186,2013年01月01日至2013年12月31日,166763,176713,157319,164071,194021,8411,13236014,14490382,1254368,1254368,1060347,113953,,3156.0,0.96,274208,166763,202432,,2141.0,,10791,,,,,9444,12642
2014-05-12,1,2014,,,-1000,5154,,5062,,6074,0.4,,7503,,182730,2014年01月01日至2014年03月31日,66379,71441,64746,67652,73073,809,3054816,3391983,337167,337167,264094,20390,,,0.4,60974,66379,73882,,1012.0,,3345,,,,,1633,3789
2014-08-11,2,2014,,,-911,4297,,-5926,,-7136,0.37,,16127,,188102,2014年第2季,65150,59224,59598,56137,80069,1208,3468983,3826731,357748,357748,277679,23024,,,0.37,66553,65150,81277,,-1210.0,,2178,,,,,5552,3087
2014-11-10,3,2014,,,676,9145,,837,,1045,0.47,,12096,,185628,2014年第3季,79894,80731,76590,77184,85096,6894,3848097,4210358,362261,362261,277165,23414,,,0.47,68123,79894,91990,,208.0,,2927,,,,,3304,3547
2015-03-26,4,2014,,,-1179,22945,,4816,,9388,1.56,,54022,,741603,2014年度,265908,270724,251831,253421,309413,10517,14021693,15431111,1409418,1409418,1100005,94266,,-3541.0,1.54,264136,265908,319930,,1031.0,,11249,,,,,14077,17303
2015-05-12,1,2015,,,-1783,1745,,-7999,,-9627,0.44,-7999.0,13244,,182209,2015年01月01日至2015年03月31日,74487,66488,71674,67019,89909,-2178,3152513,3511795,359282,359282,269373,25071,,,0.44,62093,74487,87731,,,-1628.0,2140,,,,,2813,-531
2015-08-11,2,2015,,,-3635,2601,,-4256,,-5111,0.25,-4256.0,14933,,189594,2015年第2季,41039,36783,40550,38112,58400,-2428,3431253,3775054,343801,343801,285401,31164,,,0.25,64643,41039,55972,,,-855.0,1394,,,,,489,-1329
2015-11-10,3,2015,,,-3452,1626,,17717,,21297,0.35,17717.0,11381,,188559,2015年第3季,57211,74928,56415,66642,72980,-4388,3775020,4137966,362946,362946,289966,31484,,,0.35,69923,57211,68592,,,3580.0,2562,,,,,796,8286
2016-03-29,4,2015,270.0,,-10593,8497,0.0,3226,,3541,1.38,2956.0,59938,,757884,2015年度,238244,241470,223777,225188,309095,-10913,14266094,15725895,1459801,1459801,1150706,119421,325.0,,1.37,273401,238244,298182,55.0,,585.0,8817,,,,,14467,16282
2016-05-10,1,2016,,0.0,433,2687,,-1836,,-2248,0.44,-1836.0,10890,,201753,2016年01月01日至2016年03月31日,68629,66793,71539,70361,79021,498,3274302,3659981,385679,385679,306658,37276,,,0.44,67629,68629,79519,,,-412.0,2622,,,,,-2910,-3568
2016-08-09,2,2016,,,1947,2986,,1283,,1472,0.33,1283.0,16303,,195843,2016年第2季,58165,59448,53854,54395,71504,2964,3463150,3832646,369496,369496,297992,31268,,,0.33,70881,58165,74468,,,189.0,1969,,,,,4311,5053
2016-11-08,3,2016,,,2141,1456,,-7412,,-8921,0.4,-7412.0,15699,,200068,2016年第3季,73154,65742,65007,60701,87539,1314,3924841,4314604,389763,389763,302224,27837,,,0.39,74319,73154,88853,,,-1509.0,2283,,,,,8147,5041
