date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-575.0,3082,7279,28159,28734,0.11,0.11,,2127,0.0,28079,2013年01月01日至2013年03月31日,14048,42207,14079,42238,6244,9931,455298,602551,147253,147253,141009,16280,,,0.11,0.11,96650,14048,16175,,,,430,-31,-31
2013-08-09,2,2013,,0.0,9305,3084,7956,7956,0.27,0.27,,12075,0.0,30127,2013年04月01日至2013年06月30日,33215,41171,34846,42802,33017,12273,514214,694412,180198,180198,147181,14979,,,0.26,0.26,102075,33215,45290,,,,116,-1631,-1631
2013-11-08,3,2013,,0.0,-7767,3604,-16076,-16076,-0.64,-0.64,,-7899,0.0,29013,2013年07月01日至2013年09月30日,-89124,-105200,-82870,-98946,-92852,-4171,733926,775987,42061,42061,134913,16830,,,-0.64,-0.64,89070,-89124,-97023,,,,8,-6254,-6254
2014-03-07,4,2013,,-575.0,-472613,21090,14169,30327,-3.87,-3.87,,-11908,0.0,200728,2013年01月01日至2013年12月31日,-513619,-499450,-503364,-489195,-73445,-452082,2298535,2785793,487258,487258,560703,96929,,-15583.0,-3.85,-3.85,263046,-513619,-525527,,,,559,-10255,-10255
2014-05-13,1,2014,,0.0,8286,4694,8856,8856,0.32,0.32,,8558,,46653,2014年01月01日至2014年03月31日,43925,52781,41972,50828,39506,12977,558385,721868,163483,163483,123977,16519,,,0.32,0.32,60805,43925,52483,,,,3,1953,1953
2014-08-12,2,2014,,0.0,-10682,5164,-13144,-13144,0.98,0.98,,10453,0.0,28130,2014年第2季,124600,111456,124426,111282,140574,-5521,803580,1083561,279981,279981,139407,17916,,0.0,0.97,0.97,93361,124600,135053,,,,3,174,174
2014-11-12,3,2014,,0.0,9394,7098,14502,14502,0.81,0.81,,13494,,15293,2014年第3季,103344,117846,103055,117557,100358,16480,771019,1013910,242891,242891,142533,18139,,,0.8,0.8,109101,103344,116838,,,,12,289,289
2015-03-13,4,2014,,0.0,9279,25813,33695,34632,2.25,2.25,,44121,,149311,2014年度,289690,323385,287260,320955,298815,34996,2605373,3443605,838232,838232,539417,69366,,-5527.0,2.21,2.21,320740,289690,333811,,-4590.0,,96,2430,2430
2015-04-30,1,2015,,,-5613,5701,7422,7422,0.21,0.21,7422.0,1123,,57321,2015年01月01日至2015年03月31日,27356,34778,27349,34771,28513,-34,493549,651864,158315,158315,129802,15855,,,0.21,0.21,56626,27356,28479,,,0.0,122,7,7
2015-08-12,2,2015,,,-4012,7692,-9430,-9430,0.27,0.27,-9430.0,25826,,74434,2015年第2季,35250,25820,35042,25612,57534,3542,727127,925300,198173,198173,140639,18706,,,0.26,0.26,47499,35250,61076,,,0.0,138,208,208
2015-11-11,3,2015,,,9322,6886,37818,37818,0.1,0.1,37818.0,3059,,72163,2015年第3季,12912,50730,12796,50614,-70,16041,432202,555595,123393,123393,123463,17138,,,0.1,0.1,34162,12912,15971,,,,167,116,116
2016-03-11,4,2015,-1539.0,,596898,27633,19319,31574,4.68,4.68,20858.0,102629,,308054,2015年度,602765,622084,602291,621610,81526,623868,2289547,2936069,646522,646522,564996,72826,-1854.0,,4.6,4.6,184116,602765,705394,-315.0,,10716.0,663,474,474
2016-05-04,1,2016,,,-3150,7961,-19683,-23708,0.36,0.36,-19683.0,6043,,67736,2016年01月01日至2016年03月31日,46940,27257,46892,27242,48510,4473,684563,883197,198634,198634,150124,12337,,,0.35,0.35,70051,46940,52983,,,-4025.0,338,48,15
2016-08-10,2,2016,,,-4023,7248,-5761,-5761,0.28,0.28,-5761.0,62975,,74637,2016年第2季,36858,31097,36856,31111,96772,3061,788364,1034174,245810,245810,149038,15328,,,0.28,0.28,59073,36858,99833,,,0.0,164,2,-14
2016-11-09,3,2016,0.0,0.0,-5107,5191,-18803,-23818,0.1,0.1,-18803.0,4355,,106542,2016年第3季,10693,-8110,10655,-8083,15099,-51,607116,755250,148134,148134,133035,14514,0.0,,0.09,0.09,11979,10693,15048,0.0,,-5015.0,135,38,-27
