date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,2344,8249,13779,55132,52788,-0.08,,10000,,36806,2013年01月01日至2013年03月31日,,-29272,25860,-31683,21666,-18440,-832,4726557,5069193,342636,342636,361076,182203,,,,142067,-29272,-19272,,,22860,2411,4194
2013-08-12,2,2013,,,18787,-24919,12405,49000,36033,0.03,,15881,,57083,2013年04月01日至2013年06月30日,,3541,52541,11550,58753,51163,-31741,8008728,8493590,484862,484862,433699,240637,,,0.03,135979,3541,19422,5820.0,,19227,-8009,-6212
2013-11-13,3,2013,,,10903,-17853,23870,-9917,-25057,0.42,,20352,,40911,2013年07月01日至2013年09月30日,,157402,147485,173182,163401,199682,-21928,9296306,9889348,593042,593042,393360,222351,,,0.42,130098,157402,177754,-4237.0,,27945,-15780,-15916
2014-03-25,4,2013,,-88760.0,54124,-67748,73822,138749,101155,0.41,,81165,,154401,2013年01月01日至2013年12月31日,,138629,277378,169695,304243,375990,-67436,28797690,30710187,1912497,1912497,1536507,867207,,-2088.0,0.41,514899,227389,308554,14442.0,,73510,-31066,-26865
2014-05-02,1,2014,,0.0,15653,-181235,183582,38597,27643,0.2,,14456,,45579,2014年01月01日至2014年03月31日,,81156,119753,81156,119753,123572,-27960,6256432,6755694,499262,499262,375690,189353,,,0.2,140758,81156,95612,4699.0,,30307,0,0
2014-08-13,2,2014,,0.0,-18750,-117097,145689,-52667,-40863,-0.18,,67669,,44343,2014年第2季,,-75618,-128285,-75618,-128285,16125,-24074,5377428,5787821,410393,410393,394268,214237,,,-0.18,135688,-75618,-7949,-6946.0,,52666,0,0
2014-11-07,3,2014,,0.0,-4048,-49547,44416,25823,35989,0.03,,1401,,35579,2014年第3季,,11364,37187,11362,37185,42550,-29785,6399265,6845795,446530,446530,403980,223235,,,0.03,145166,11364,12765,6118.0,,24654,2,2
2015-03-25,4,2014,,0.0,-12684,-441342,395225,72523,100457,0.45,,62686,,171288,2014年度,,184822,257345,185490,258013,423440,-175932,24993745,27042571,2048826,2048826,1625386,861965,,1828.0,0.45,592133,184822,247508,17078.0,,129815,-668,-668
2015-05-12,1,2015,0.0,0.0,10598,-96568,17806,-16429,-32563,-0.16,-16429.0,-684,,25086,2015年01月01日至2015年03月31日,,-68168,-84597,-67236,-83665,29821,-98673,4474604,4847686,373082,373082,343261,202510,0.0,,-0.16,115665,-68168,-68852,,-5536.0,19911,-932,-932
2015-08-10,2,2015,0.0,,5939,-13754,19816,-6499,-14985,-0.21,-6499.0,25463,48.0,13917,2015年第2季,,-85940,-92439,-87136,-93635,-45737,-14740,4029276,4305791,276515,276515,322252,197257,0.0,,0.0,111078,-85940,-60477,,-2547.0,20850,1196,1196
2015-11-12,3,2015,0.0,,26812,-91487,18798,71314,53616,-0.23,71314.0,0,196.0,28059,2015年第3季,,-96781,-25467,-96751,-25437,-2002,-94779,6168009,6510824,342815,342815,344817,205960,0.0,,0.0,110798,-96781,-96781,,9114.0,22286,-30,-30
2016-03-23,4,2015,3950.0,,35617,-506260,406844,10380,-35165,-0.87,6430.0,42138,-427.0,99903,2015年度,,-361406,-351026,-361255,-350875,-131094,-188174,19257459,20539592,1282133,1282133,1413227,857697,3950.0,,-0.87,455627,-361406,-319268,,-5978.0,88331,-151,-151
2016-05-06,1,2016,,,-7801,-33627,24953,-24722,-20387,-0.35,-24722.0,0,-115.0,23980,2016年01月01日至2016年03月31日,,-144582,-169304,-144469,-169191,-109409,-35173,3549140,3796659,247519,247519,356928,194024,,,,138924,-144582,-144582,,-3466.0,26384,-113,-113
2016-08-08,2,2016,0.0,,-22630,-83241,23027,-38413,-19015,-0.83,-38413.0,1103,-7609.0,38126,2016年第2季,,-344727,-383140,-344774,-383187,-244214,-99410,5545352,5751177,205825,205825,450039,245083,0.0,,0.0,166830,-344727,-343624,,-3232.0,31587,47,47
2016-11-10,3,2016,0.0,,11893,99723,19291,-23374,-42491,-0.91,-23374.0,95291,6742.0,27839,2016年第3季,95291.0,-377737,-401111,-377797,-401171,-373561,91115,5789662,5750608,-39054,-39054,334507,179883,0.0,,0.0,126785,-377737,-282446,,-7224.0,34641,60,60
