date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他減損損失,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,3360,862,,14282,7302,14282,0.44,0.44,,,7137,81166,2013年01月01日至2013年03月31日,65979,80261,65075,79111,,71642,1474,513803,852248,338445,338445,266803,129015,,,0.44,0.44,56622,65979,73116,2748,513803,844946,904,1150
2013-08-07,2,2013,,0.0,10147,1767,,5974,10676,5974,0.63,0.63,,,12921,91392,2013年04月01日至2013年06月30日,94021,99995,93033,98945,,97818,9124,520227,907526,387299,387299,289481,139568,,,0.59,0.59,58521,94021,106942,2790,520227,896850,988,1050
2013-11-12,3,2013,,0.0,-9208,1366,,-7794,11929,-7794,0.5,0.5,,,13193,89528,2013年07月01日至2013年09月30日,72862,65068,74220,65569,,95873,-9818,504429,896458,392029,392029,296156,143029,,,0.47,0.47,63599,72862,86055,1976,504429,884529,-1358,-501
2014-03-10,4,2013,,39.0,12592,5822,,22419,30241,24136,2.22,2.22,,,46747,366427,2013年01月01日至2013年12月31日,331287,353706,330516,351748,,369879,8155,2090824,3616534,1525710,1525710,1155831,557823,,-1756.0,2.11,2.11,231581,331287,378034,10259,2090824,3586293,771,1958
2014-04-28,1,2014,,-39.0,19850,1386,,15958,125,15997,0.52,0.52,,,9874,110466,2014年01月01日至2014年03月31日,83555,99513,83370,97314,,73673,19756,503371,884606,381235,381235,307562,137355,,,0.5,0.5,59741,83555,93429,1480,503371,884481,185,2199
2014-08-08,2,2014,,13.0,-13605,2128,,-18849,55,-18862,0.59,0.59,,,33436,119327,2014年第2季,94224,75375,93949,74795,,139889,-12229,504848,967588,462740,462740,322851,143887,,,0.57,0.57,59637,94224,127660,752,504848,967533,275,580
2014-11-04,3,2014,,24.0,2809,1312,,10580,350,10556,0.63,0.63,,,21043,106731,2014年第3季,100802,111382,100530,111414,,118407,3438,525920,958153,432233,432233,313826,146579,,,0.61,0.61,60516,100802,121845,683,525920,957803,272,-32
2015-03-05,4,2014,,3.0,38987,6550,,47976,647,45635,2.56,2.56,,,90494,455090,2014年度,408983,456959,407957,453759,,457588,41889,2067839,3818253,1750414,1750414,1292826,591881,,2338.0,2.46,2.46,245855,408983,499477,3648,2067839,3817606,1026,3200
2015-05-05,1,2015,,70.0,-7818,2216,,-33478,11,-33548,0.32,0.32,,-33478.0,24939,107726,2015年01月01日至2015年03月31日,51349,17871,51222,17895,,82713,-6425,501660,879629,377969,377969,295256,124822,,,0.31,0.31,62708,51349,76288,823,501660,879618,127,-24
2015-08-07,2,2015,,256.0,-10553,2210,,-11137,45,-11393,0.03,0.03,,-11137.0,12596,102477,2015年第2季,4342,-6795,4295,-6821,,26276,-9338,384912,692458,307546,307546,281270,123781,,,0.03,0.03,55012,4342,16938,995,384912,692413,47,26
2015-11-12,3,2015,,1438.0,32190,1068,,88262,89,86824,0.12,0.12,,88262.0,957,98805,2015年第3季,19699,107961,19795,107696,,-12127,32783,349883,607457,257574,257574,269701,113440,,,0.12,0.12,57456,19699,20656,475,349883,607368,-96,265
2016-03-01,4,2015,-3009.0,204.0,-23326,6441,27152.0,22015,269,24820,0.48,0.48,3826.0,25024.0,38952,420779,2015年度,77569,99584,77602,99470,27152.0,136556,-20035,1725212,2990279,1265067,1265067,1128511,478764,-3009.0,,0.47,0.47,228968,77569,116521,3150,1725212,2990010,-33,114
2016-05-13,1,2016,,-545.0,-9888,1625,,-14820,121,-14275,-0.34,-0.34,,-14820.0,2736,132305,2016年01月01日至2016年03月31日,-54918,-69738,-54708,-69310,,-42565,-9617,365370,629599,264229,264229,306794,114058,,,-0.34,-0.34,60431,-54918,-52182,1354,365370,629478,-210,-428
2016-08-10,2,2016,,-792.0,5065,978,,-3162,1605,-2370,-0.39,-0.39,,-3162.0,4471,136956,2016年第2季,-63324,-66486,-63107,-66165,,-63969,5116,377110,625591,248481,248481,312450,115352,,,-0.39,-0.39,60142,-63324,-58853,927,377110,623986,-217,-321
2016-11-10,3,2016,,1091.0,-15366,1250,,-33960,259,-35051,-0.33,-0.33,,-33960.0,4668,128414,2016年第3季,-53322,-87282,-53239,-87144,,-33200,-15454,404117,682924,278807,278807,312007,126917,,,-0.33,-0.33,56676,-53322,-48654,1338,404117,682665,-83,-138
