date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,12337,25668,12387,119228,90582,0.23,,15678,12761.0,6907,,91536,2013年01月01日至2013年03月31日,109528,228756,109557,221327,82884,42322,1836604,2206385,369781,369781,286897,3548.0,,51154,,,144207,109528,125206,2640,-29,7429
2013-08-12,2,2013,,-333,-16756,53148,69640,53501,0.31,,61456,15213.0,-600,,93309,2013年04月01日至2013年06月30日,141103,210743,145736,211516,170270,32289,1919102,2438132,519030,519030,348760,1259.0,,57050,,,198401,141103,202559,3503,-4633,-773
2013-11-12,3,2013,,17894,-12976,72049,-19443,-38215,0.19,,27888,3226.0,-4067,,112717,2013年07月01日至2013年09月30日,86229,66786,87331,71196,64219,49898,2232211,2612670,380459,380459,316240,-2348.0,,84917,,,118606,86229,114117,5108,-1102,-4410
2014-03-27,4,2013,,44068,1007,172406,371016,162783,1.25,,161638,148017.0,-2223,,382598,2013年01月01日至2013年12月31日,581417,952433,588060,946856,588663,154392,8195457,10095327,1899870,1899870,1311207,3788.0,,280408,,12360.0,648201,581417,743055,16798,-6643,5577
2014-05-14,1,2014,,58921,-1923,51064,20977,-13240,0.2,,36520,-29199.0,-4355,,82048,2014年01月01日至2014年03月31日,93072,114049,94653,116435,89997,39595,1516662,1885924,369262,369262,279265,4495.0,,66406,,,130811,93072,129592,5191,-1581,-2386
2014-08-12,2,2014,,-118986,20114,42888,-172511,-52732,0.35,,29000,3128.0,4088,,110956,2014年第2季,159911,-12600,161981,-7328,126936,61975,2445296,2921218,475922,475922,348986,-3921.0,,62267,,,175763,159911,188911,5115,-2070,-5272
2014-11-12,3,2014,,-4422,-3572,36001,62924,84369,0.29,,39934,-18770.0,-2390,,92635,2014年第3季,134592,197516,135084,192062,148634,25892,2400214,2892074,491860,491860,343226,1747.0,,62764,,,187827,134592,174526,4147,-492,5454
2015-03-26,4,2014,,-115987,12886,163577,-91508,104800,1.5,,181177,-73648.0,44907,,389521,2014年度,676183,584675,680911,581164,655492,201868,9298443,11320757,2022314,2022314,1366822,5872.0,,238311,,-12545.0,738990,676183,857360,19502,-4728,3511
2015-05-12,1,2015,,10936,34469,34531,-8314,-29990,0.3,-8314.0,36847,,-2688,15516.0,96764,2015年01月01日至2015年03月31日,118837,110523,122222,116128,95095,60589,1654959,2081376,426417,426417,331322,,-4776.0,75053,,,159505,118837,155684,5723,-3385,-5605
2015-08-12,2,2015,,-5103,-36564,37063,-106705,-40145,0.25,-106705.0,33406,,15893,-60239.0,97330,2015年第2季,104306,-2399,105703,2030,129114,8598,1985325,2467901,482576,482576,353462,,-1218.0,59101,,,197031,104306,137712,7794,-1397,-4429
2015-11-11,3,2015,,-9114,44483,36751,75489,108945,0.78,75489.0,73596,,34361,-28294.0,118019,2015年第3季,318561,394050,317753,385088,284174,107983,1794558,2561941,767383,767383,483209,,3952.0,62551,,,302639,318561,392157,7612,808,8962
2016-03-29,4,2015,-13147.0,-3645,14899,130751,-104627,-21091,1.34,-91480.0,173003,,36110,-62154.0,404956,2015年度,548947,444320,551190,448489,571124,150826,8256064,10352334,2096270,2096270,1525146,,-4590.0,278338,-13147.0,,841852,548947,721950,30934,-2243,-4169
2016-05-11,1,2016,,1276,-22016,28599,-28789,-40753,0.36,-28789.0,58334,,7290,20992.0,100451,2016年01月01日至2016年03月31日,147080,118291,148388,122864,198593,6821,2867721,3419627,551906,551906,353313,,-10304.0,75677,,,177185,147080,205414,7052,-1308,-4573
2016-08-10,2,2016,,-547,-35949,41164,-45378,-59027,0.33,-45378.0,17858,,23732,12778.0,114002,2016年第2季,139229,93851,136798,96407,134965,22122,1977123,2444963,467840,467840,332875,,1418.0,78412,,,140461,139229,157087,6825,2431,-2556
2016-11-11,3,2016,,7108,-41395,86676,-91627,-79306,0.5,-91627.0,4782,,31681,-19166.0,112211,2016年第3季,203982,112355,203212,118200,139174,69590,2557396,2977564,420168,420168,280994,,-263.0,67329,,,101454,203982,208764,7372,770,-5845
