date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（綜合損益）
2013-05-03,1,2013,,,,83,,4450,1554,,284,242,0.81,,,8568,,,,,27359,2013年01月01日至2013年03月31日,51851,52135,,51851,52135,56769,3650,170956,279866,108910,108910,52141,8415,,,0.81,,16367,51851,60419,,,41.0,,,2354,,,,,
2013-08-07,2,2013,,,,-132,,1869,1311,,-87,54,0.64,,,12742,,,,,12369,2013年04月01日至2013年06月30日,40727,40640,,40727,40640,52653,816,170024,267252,97228,97228,44575,11084,,,0.63,,21122,40727,53469,,,9.0,,,2364,,,,,
2013-11-13,3,2013,,,,24,,-1273,2671,2664.0,-87,-133,0.6,,,7342,,,1313.0,-1313.0,27827,2013年07月01日至2013年09月30日,38576,38489,,38576,38489,48320,-2402,196103,300216,104113,104113,55793,9174,,,0.6,,18792,38576,45918,7.0,,-22.0,,,2487,,,,,
2014-03-21,4,2013,,,,-1,,8818,7416,,-1209,235,2.82,2.82,,38412,,,,-1002.0,87556,2013年01月01日至2013年12月31日,195651,194442,,195651,194442,228616,5447,769487,1194375,424888,424888,196272,36580,,-1403.0,2.8,2.8,72136,195651,234063,,,40.0,,,9785,,,,,
2014-05-08,1,2014,,,,-24,,4058,1783,,146,205,0.74,0.74,,8083,,,,-392,28556,2014年01月01日至2014年03月31日,51556,51702,,51556,51702,56515,3124,210457,321988,111531,111531,55016,8093,,,0.74,0.74,18367,51556,59639,,,35,,,2325,,,,,
2014-07-30,2,2014,,,,-10,,-3859,1598,1598.0,-164,-186,0.36,,,12371,,,,-549.0,25731,2014年第2季,24918,24754,,24918,24754,42226,-4937,184734,282177,97443,97443,55217,11027,,,0.36,,18459,24918,37289,,,-32.0,,,2127,,,,282177.0,
2014-11-05,3,2014,,,,16,,4688,1446,,157,170,1.02,,,12593,,,,-545.0,13130,2014年第3季,78050,78207,,78050,78207,87288,3355,233505,371288,137783,137783,50495,9967,,,1.01,,27398,78050,90643,,,29.0,,,2234,,,,,
2015-03-20,4,2014,,,,-12,,21212,6278,,506,568,3.51,,,51171,,,2532.0,-2532.0,87201,2014年度,269191,269697,,269191,269697,304624,15738,859103,1380159,521056,521056,216432,41882,,47.0,3.48,,87349,269191,320362,,,97.0,,,9220,,,,,
2015-05-06,1,2015,,,,-6,,-8232,1475,,-131,-107,1.8,,-131.0,22982,,,712.0,-712.0,31036,2015年01月01日至2015年03月31日,137879,137748,,137879,137748,170807,-9946,250996,493817,242821,242821,72014,13408,,,1.79,,27570,137879,160861,,,,18.0,,2477,,250996.0,250996.0,493817.0,
2015-08-05,2,2015,0.0,0.0,,-24,,-5953,1146,,-100,-136,1.85,,-100.0,30121,0.0,0.0,,-515.0,40390,2015年第2季,141955,141855,0.0,141955,141855,179836,-7760,260278,517861,257583,257583,77747,10042,0.0,,1.85,,27315,141955,172076,,0.0,,-60.0,0.0,2438,0.0,,,,
