date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,1270,5126,10598,27512,11851,0.31,,16273,19766.0,-4850,,151433,2013年01月01日至2013年03月31日,83675,111187,83675,111187,90151,9797,725038,1045221,320183,320183,230032,16037,,,0.31,62562,83675,99948,5375.0,,1077,0.0,0.0
2013-07-29,2,2013,,0.0,8021,42760,8865,21150,8584,0.29,,27626,7234.0,9722,,167930,2013年04月01日至2013年06月30日,81226,102376,81226,102376,48635,60217,659356,940929,281573,281573,232938,15766,,,0.29,49242,81226,108852,2689.0,,1130,0.0,0.0
2013-10-31,3,2013,,,373,-6083,15042,-14087,-5485,0.37,,17993,-11937.0,7731,,146002,2013年07月01日至2013年09月30日,99947,85860,99947,85860,102082,15858,707962,1028593,320631,320631,218549,16809,,,0.36,55738,99947,117940,-2962.0,,832,,
2014-03-31,4,2013,,,26362,89768,40843,87189,24141,1.75,,91851,48257.0,71958,,674969,2013年01月01日至2013年12月31日,477742,564931,477742,564931,371436,198157,3114390,4485422,1371032,1371032,999596,66073,,926.0,1.74,258554,477742,569593,12497.0,,4412,,
2014-04-30,1,2014,,,-7476,5497,9137,1720,-3797,0.39,,19791,14876.0,-10651,,155753,2014年01月01日至2014年03月31日,105570,107290,105570,107290,122165,3196,859115,1210838,351723,351723,229558,16520,,,0.39,57285,105570,125361,1883.0,,787,,
2014-06-30,2,2014,,,3969,19069,16184,-17376,-7970,0.43,,23585,-17747.0,17528,,155570,2014年第2季,117106,99730,117106,99730,88653,52038,751866,1062844,310978,310978,222325,17156,,,0.43,49599,117106,140691,-4372.0,,743,,
2014-09-30,3,2014,,,-125,-2342,39047,24583,12953,0.49,,23012,16816.0,22839,,152391,2014年第3季,133566,158149,133566,158149,97664,58914,740657,1064873,324216,324216,226552,18731,,,0.49,55430,133566,156578,5061.0,,630,,
2015-03-26,4,2014,,,-4269,36346,56070,48892,16121,1.97,,98028,46132.0,41993,,665790,2014年度,538908,587800,538908,587800,505220,131716,3390912,4851725,1460813,1460813,955593,69205,,1791.0,1.96,220598,538908,636936,10883.0,,2693,,
2015-04-30,1,2016,,,2978,-2033,13062,-11221,-10827,0.67,-11221.0,36764,,11758,-6280.0,198607,2016年01月01日至2016年03月31日,182540,171319,182540,171319,196677,22627,987642,1475434,487792,487792,291115,20397,,,0.66,72111,182540,219304,,-2908.0,160,,
2015-04-30,1,2015,,,6108,-12663,12599,-2542,-4640,0.42,-2542.0,23729,,-10574,-5781.0,166240,2015年01月01日至2015年03月31日,115348,112806,115348,112806,150188,-11111,864430,1255588,391158,391158,240970,17349,,,0.42,57381,115348,139077,,-1771.0,473,,
2015-06-30,2,2015,,,4252,-5204,12876,-8264,-5720,0.22,-8264.0,32025,,-7954,-9360.0,179988,2015年第2季,60456,52192,60456,52192,93194,-713,751311,1089357,338046,338046,244852,18431,,,0.22,46433,60456,92481,,-2564.0,431,,
2015-09-30,3,2015,,,-31241,21990,15991,36530,20934,0.55,36530.0,25448,,5107,60718.0,161304,2015年第3季,149184,185714,149184,185714,132018,42614,776090,1145591,369501,369501,237483,17764,,,0.54,58415,149184,174632,,13881.0,474,,
2016-03-24,4,2015,-6306.0,,-18158,-556,52702,-69769,-1994,1.89,-63463.0,114059,,-25117,-53882.0,711678,2015年度,516860,447091,516860,447091,605523,25396,3531225,5148594,1617369,1617369,1011846,73022,-6306.0,,1.88,227146,516860,630919,,-10571.0,1633,,
2016-06-30,2,2016,,,-7438,13542,13705,-20846,-13495,0.6,-20846.0,37233,,42769,-2659.0,179987,2016年第2季,165161,144315,165161,144315,132593,69801,881946,1273458,391512,391512,258919,19907,,,0.6,59025,165161,202394,,-2746.0,215,,
2016-09-30,3,2016,,,4951,-9199,13377,-29936,-16683,0.59,-29936.0,31403,,20350,-25350.0,181764,2016年第3季,157816,127880,157816,127880,164880,24339,852058,1283938,431880,431880,267000,22462,,,0.59,62774,157816,189219,,-7146.0,189,,
