date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額
2013-05-09,1,2013,,3581,183,,0.41,0.41,14510,13269,2013年01月01日至2013年03月31日,23290,23290,23290,23290,34036,3764,182072,301038,118966,118966,84930,61291,,,0.41,0.41,10370,23290,37800,,,0.0
2013-08-06,2,2013,,1805,1679,,0.55,0.55,9724,14583,2013年04月01日至2013年06月30日,30636,30636,30636,30636,36876,3484,182928,307160,124232,124232,87356,62569,,,0.54,0.54,10204,30636,40360,,,0.0
2013-11-06,3,2013,,-2739,637,,0.24,0.24,2640,12170,2013年07月01日至2013年09月30日,13660,13660,13660,13660,18402,-2102,176657,277783,101126,101126,82724,61872,,,0.23,0.23,8682,13660,16300,,,0.0
2014-03-20,4,2013,,726,3139,-74.0,1.54,1.54,27863,51666,2013年01月01日至2013年12月31日,86984,86910,86984,86910,110982,3865,737497,1188983,451486,451486,340504,249552,,-89.0,1.53,1.53,39286,86984,114847,,-15.0,0.0
2014-05-02,1,2014,,4275,1036,,0.85,0.85,7766,13151,2014年01月01日至2014年03月31日,47892,47892,47892,47892,50347,5311,206134,361709,155575,155575,105228,78969,,,0.85,0.85,13108,47892,55658,,,
2014-08-05,2,2014,,-4793,2584,,1.21,1.21,9404,16057,2014年第2季,68238,68238,68238,68238,79851,-2209,243487,432377,188890,188890,109039,78792,,,1.21,1.21,14190,68238,77642,,,
2014-11-10,3,2014,,10324,2129,,0.98,0.98,9660,14388,2014年第3季,55197,55197,55197,55197,52404,12453,226017,387383,161366,161366,108962,82944,,,0.98,0.98,11630,55197,64857,,,
2015-03-12,4,2014,,34063,8062,-22.0,4.04,4.04,34449,56956,2014年度,228022,228000,228022,228000,220346,42125,886983,1523927,636944,636944,416598,310040,,-26.0,4.03,4.03,49602,228022,262471,,-4.0,
2015-04-29,1,2015,,-5717,2796,,0.64,0.64,4097,15117,2015年01月01日至2015年03月31日,36328,36328,36328,36328,43346,-2921,212235,389025,176790,176790,133444,103334,,,0.64,0.64,14993,36328,40425,,,
2015-08-10,2,2015,,-8612,3022,,0.12,0.12,3317,13699,2015年第2季,6556,6556,6556,6556,15463,-5590,163154,296060,132906,132906,117443,91829,,,0.11,0.11,11915,6556,9873,,,
2015-11-09,3,2015,,36352,2707,,1.62,1.62,11810,14958,2015年第3季,91512,91512,91512,91512,64263,39059,225837,431717,205880,205880,141617,109122,,,1.6,1.6,17537,91512,103322,,,
2016-03-10,4,2015,-536.0,14611,11673,-536.0,3.66,3.66,28625,58951,2015年度,206566,206030,206566,206030,208907,26284,817854,1555521,737667,737667,528760,412332,-646.0,,3.62,3.62,57477,206566,235191,-110.0,,
2016-04-27,1,2016,,-8029,3526,,1.1,1.1,9584,14192,2016年01月01日至2016年03月31日,62374,62374,62374,62374,76461,-4503,205539,414919,209380,209380,132919,105015,,,1.09,1.09,13712,62374,71958,,,
2016-07-26,2,2016,,-2268,3280,,0.93,0.93,8979,14412,2016年第2季,52568,52568,52568,52568,60535,1012,195109,376676,181567,181567,121032,94055,,,0.92,0.92,12565,52568,61547,,,
2016-11-09,3,2016,,-14896,2677,,2.01,2.01,13322,16237,2016年第3季,113792,113792,113792,113792,139333,-12219,342359,626086,283727,283727,144394,112352,,,1.99,1.99,15805,113792,127114,,,
