date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,52007,445,17255.0,17255.0,222829,222829,1.35,,11871,0.0,2013年01月01日至2013年03月31日,,126192,349021,125481,347084,96326,41737,1244056,1502826,258770,258770,162444,11871.0,,1.16,126192,138063,,,10715,2056.0,1491304.0,1491304.0,1485571.0,3677.0,711,1937
2013-08-09,2,2013,,-85525,2920,6019.0,6019.0,-158588,-158588,0.41,,3052,0.0,2013年04月01日至2013年06月30日,,38957,-119631,38711,-119006,137584,-95575,1292178,1600840,308662,308662,171078,3052.0,,0.4,38957,42009,,,12970,106.0,1596265.0,1596265.0,1594821.0,1338.0,246,-625
2013-11-08,3,2013,,-22341,2196,3938.0,3938.0,-84378,-84378,1.35,,9049,0.0,2013年07月01日至2013年09月30日,,129979,45601,129174,45260,174058,-35030,1303352,1665529,362177,362177,188119,9049.0,,1.25,129979,139028,,,14885,-86.0,1665177.0,1665177.0,1661591.0,3672.0,805,341
2014-03-25,4,2013,,-96741,12236,32839.0,32839.0,-132400,-132400,3.7,,38364,,2013年01月01日至2013年12月31日,,352775,220375,350705,219032,532329,-141190,5095825,6340786,1244961,1244961,712632,38364.0,,3.31,352775,391139,,,56685,1569.0,6321258.0,6321258.0,6307947.0,11742.0,2070,1343
2014-05-12,1,2014,,13340,1207,7526.0,7526.0,96021,96021,1.09,,10419,0.0,2014年01月01日至2014年03月31日,,106808,202829,106182,201675,130303,-13076,1332505,1644344,311839,311839,181536,10419.0,,0.97,106808,117227,,,27623,1347.0,1639986.0,1639986.0,1636818.0,1821.0,626,1154
2014-08-11,2,2014,,3187,1731,,,-63134,-63134,0.95,,10948,0.0,2014年第2季,,92831,29697,92269,29480,125454,-21675,1517695,1834971,317276,317276,191822,10948.0,,0.86,92831,103779,,,26593,,,,,,562,217
2014-11-11,3,2014,,17237,67,,,66100,66100,1.56,,10466,0.0,2014年第3季,,165568,231668,164710,230454,183716,-7682,1635968,2031282,395314,395314,211598,10466.0,,1.31,165568,176034,,,24986,,,,,,858,1214
2015-03-16,4,2014,,19376,6701,,,211543,211543,4.06,,33495,0.0,2014年度,,429644,641187,427281,637780,539582,-76443,6044806,7366819,1322013,1322013,782431,33495.0,,3.39,429644,463139,,,102520,,,,,,2363,3407
2015-05-12,1,2015,,22169,1030,,,2651,2651,0.53,2651.0,12737,0.0,2015年01月01日至2015年03月31日,12737.0,64892,67543,64554,67193,76983,646,1471591,1733004,261413,261413,184430,,,0.48,64892,77629,,0.0,22553,,,,,,338,350
2015-08-11,2,2015,,-44986,2744,,,-219050,-219050,0.63,-219050.0,15300,0.0,2015年第2季,15300.0,78019,-141031,77613,-140451,157779,-64460,1728480,2085074,356594,356594,198815,,,0.59,78019,93319,,0.0,22218,,,,,,406,-580
2015-11-09,3,2015,,-55620,894,,,-45860,-45860,2.02,-45860.0,45410,0.0,2015年第3季,45410.0,249309,203449,248128,202474,375461,-80742,2078479,2689624,611145,611145,235684,,,1.83,249309,294719,,0.0,26016,,,,,,1181,975
2016-03-10,4,2015,2590.0,-83949,5620,,,-236061,-238651,4.34,-238651.0,89486,0.0,2015年度,89486.0,534129,298068,531517,296518,799284,-175669,6988065,8628752,1640687,1640687,841403,,2987.0,3.94,534129,623615,397.0,,97340,,,,,,2612,1550
2016-05-04,1,2016,,25450,2525,,,-414,-414,0.82,-414.0,24207,0.0,2016年01月01日至2016年03月31日,24207.0,101227,100813,100757,100345,122858,2576,1518415,1836878,318463,318463,195605,,,0.75,101227,125434,,0.0,25399,,,,,,470,468
2016-08-08,2,2016,,6360,1619,,,6979,6979,1.04,6979.0,19239,0.0,2016年第2季,19239.0,128702,135681,128071,135018,163835,-15894,1804729,2161541,356812,356812,192977,,,0.95,128702,147941,,0.0,23873,,,,,,631,663
2016-11-11,3,2016,,12425,1502,,,-79785,-79785,0.88,-79785.0,24050,0.0,2016年第3季,24050.0,107875,28090,107373,27947,142785,-10860,2150873,2527976,377103,377103,234318,,,0.8,107875,131925,,0.0,24787,,,,,,502,143
