date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,0.0,117568,7052,41305,48420,0.96,,40434,1238.0,487,,62447,2013年01月01日至2013年03月31日,155692,196997,156130,196905,76563,119563,2443788,2853071,409283,409283,332720,92020,,,0.95,178253,155692,196126,8353.0,,5544,-438,92
2013-08-05,2,2013,,,8078,12373,34660,41401,0.55,,33313,238.0,3248,,60769,2013年04月01日至2013年06月30日,93744,128404,94047,128338,108617,18440,2830431,3278523,448092,448092,339475,89902,,,0.54,188804,93744,127057,6979.0,,5259,-303,66
2013-11-09,3,2013,,,8471,29454,-16863,-20406,0.18,,50931,134.0,1469,,46517,2013年07月01日至2013年09月30日,31980,15117,30879,14235,48593,34318,2226086,2608407,382321,382321,333728,88456,,,0.18,198755,31980,82911,-3409.0,,5076,1101,882
2014-03-21,4,2013,,,148737,54911,99168,114420,2.03,,117049,1358.0,-1829,,214087,2013年01月01日至2013年12月31日,347956,447124,348865,446978,284268,180737,10194501,11828464,1633963,1633963,1349695,367715,,3065.0,1.99,767893,347956,465005,19675.0,,21082,-909,146
2014-05-08,1,2014,,,11117,10377,-29608,-35259,-0.2,,-1896,-381.0,-5694,,43249,2014年01月01日至2014年03月31日,-34619,-64227,-34868,-64318,-46228,9713,1644066,1909588,265522,265522,311750,89368,,,-0.2,179133,-34619,-36515,-6032.0,,6087,249,91
2014-08-12,2,2014,,,-23265,4453,-22886,-26684,-0.36,,-7432,-820.0,-3695,,46984,2014年第2季,-61379,-84265,-62428,-84978,-42505,-26306,1545143,1788535,243392,243392,285897,86196,,,-0.36,152717,-61379,-68811,-4618.0,,3799,1049,713
2014-11-12,3,2014,,,23336,4594,45215,53156,-0.59,,-21180,1224.0,-9854,,32801,2014年第3季,-102967,-57752,-102474,-57798,-138394,14247,1394346,1529593,135247,135247,273641,86362,,,-0.59,154478,-102967,-124147,9165.0,,3829,-493,46
2015-03-18,4,2014,,,46891,32324,58104,28031,-1.61,,-37483,1187.0,-27158,,176084,2014年度,-276704,-218600,-276747,-219258,-348085,33898,6580907,7426568,845661,845661,1193746,352639,,33748.0,-1.61,665023,-276704,-314187,4862.0,,18159,43,658
2015-05-13,1,2015,,,-5490,12420,-11374,-13325,-0.69,-11374.0,-24162,,-3122,-344.0,32195,2015年01月01日至2015年03月31日,-117710,-129084,-117008,-128211,-141429,-443,1414939,1560587,145648,145648,287077,85137,,,-0.69,169745,-117710,-141872,,-2295.0,4251,-702,-873
2015-08-12,2,2015,,,-2103,5333,15522,19131,-0.6,15522.0,-2693,,-3532,-388.0,31885,2015年第2季,-101713,-86191,-101964,-86241,-99366,-5040,2029292,2249810,220518,220518,319884,83117,,,-0.6,204882,-101713,-104406,,3221.0,4738,251,50
2015-11-03,3,2015,,,72586,29302,29690,34655,-0.41,29690.0,-6798,,-183,1008.0,28726,2015年第3季,-67866,-38176,-68896,-39733,-170394,95730,1944523,2092443,147920,147920,318314,90341,,,,199247,-67866,-74664,,5973.0,5975,1030,1557
2016-03-25,4,2015,-2358.0,,92813,56239,-59932,-69228,-1.99,-57574.0,-25147,,-11854,-22.0,134126,2015年度,-332500,-392432,-332793,-392181,-473739,116092,7468651,8224277,755626,755626,1229365,344326,-2358.0,,,750913,-332500,-357647,,-11676.0,21106,293,-251
2016-05-10,1,2016,,,-15227,14604,5036,6196,-0.33,5036.0,-563,,-4539,-117.0,45790,2016年01月01日至2016年03月31日,-55575,-50539,-54194,-49100,-43673,-12465,1728910,1977489,248579,248579,292252,86048,,,,160414,-55575,-56138,,1043.0,7303,-1381,-1439
2016-08-11,2,2016,,,21041,35681,-58550,-69674,-0.25,-58550.0,9501,,-3324,-765.0,79529,2016年第2季,-40247,-98797,-41675,-99726,-77179,46433,1861799,2095997,234198,234198,311377,93291,,,,138557,-40247,-30746,,-11889.0,6965,1428,929
2016-11-10,3,2016,,,-14057,20930,-43941,-51893,0.09,-43941.0,1394,,-4244,-913.0,78067,2016年第3季,16310,-27631,14673,-28609,22643,-4939,1998728,2320606,321878,321878,299235,93317,,,,127851,16310,17704,,-8865.0,7568,1637,978
