date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,-5286,9417,3984,1979,7265,-0.04,-0.04,,3920,,16282,2013年01月01日至2013年03月31日,-2119,-140,-9735,-11211,-10517,12318,394712,448262,53550,53550,64067,18542,,,-0.04,-0.04,29243,-2119,1801,1083.0,7616,11071
2013-08-13,2,2013,,-10286,1743,3907,-18407,-8121,0.06,0.06,,238,,17757,2013年04月01日至2013年06月30日,20669,2262,15759,9448,15960,4947,367965,455381,87416,87416,71456,19641,,,0.06,0.06,34058,20669,20907,703.0,4910,-7186
2013-11-13,3,2013,,-18701,-2880,20443,-19236,-535,0.01,0.01,,1935,,18227,2013年07月01日至2013年09月30日,16053,-3183,2066,-3467,921,17067,346102,408774,62672,62672,61751,17944,,,0.01,0.01,25580,16053,17988,496.0,13987,284
2014-03-27,4,2013,,-3980,23451,26169,5896,2973,0.17,0.17,,2148,,69817,2013年01月01日至2013年12月31日,65439,71335,42577,44259,20545,47042,1474911,1761007,286096,286096,265551,78292,,6903.0,0.17,0.17,117442,65439,67587,2578.0,22862,27076
2014-05-13,1,2014,,-5939,19442,2244,-4942,997,0.1,0.1,,9779,,20641,2014年01月01日至2014年03月31日,26360,21418,23831,16047,14529,21610,347252,430831,83579,83579,69050,16817,,,0.1,0.1,31592,26360,36139,76.0,2529,5371
2014-08-11,2,2014,,33142,-5465,5201,33331,189,0.05,0.05,,1481,,27072,2014年第2季,13680,47011,12905,38335,15430,-269,354701,439530,84829,84829,69399,17081,,0.0,0.05,0.05,25246,13680,15161,5.0,775,8676
2014-11-10,3,2014,,-36823,8703,8474,-36915,-92,0.02,0.02,,11738,,16524,2014年第3季,5748,-31167,5406,-7584,309,17177,351898,430420,78522,78522,78213,28501,,,0.02,0.02,33188,5748,17486,0.0,342,-23583
2015-03-30,4,2014,,208,24285,22773,5757,515,0.25,0.25,,26472,,90518,2014年度,56728,62485,60268,65772,36223,46977,1434790,1766618,331828,331828,295605,90235,,5034.0,0.25,0.25,114852,56728,83200,81.0,-3540,-3287
2015-05-11,1,2015,,-4894,-3654,4098,-4885,9,0.02,0.02,-4885.0,4577,,20212,2015年01月01日至2015年03月31日,1625,-3260,5472,587,5758,444,349851,421806,71955,71955,66197,18713,,,0.02,0.02,27272,1625,6202,0.0,-3847,-3847
2015-08-11,2,2015,,-1477,-73286,12581,-1472,5,-0.32,-0.32,-1472.0,9152,,18011,2015年第2季,-156434,-157906,-77934,-79406,-86577,-60705,365430,356800,-8630,-8630,77947,29907,,,-0.32,-0.32,30029,-156434,-147282,0.0,-78500,-78500
2015-11-09,3,2015,,7753,21383,13762,7739,-14,0.15,0.15,7739.0,8653,,20323,2015年第3季,26341,34080,36450,44189,-145,35139,299562,374786,75224,75224,75369,30912,,,0.15,0.15,24134,26341,34994,6.0,-10109,-10109
2016-03-25,4,2015,-1146.0,-52288,-43425,29904,-53508,-74,-0.15,-0.15,-52362.0,17635,,78357,2015年度,-129112,-182620,-37071,-44436,-97950,-13527,1293897,1485306,191409,191409,289359,106934,-1146.0,,-0.15,-0.15,104068,-129112,-111477,6.0,-92041,-138184
2016-05-11,1,2016,,-5132,-21046,1827,-4994,138,-0.21,-0.21,-4994.0,-2957,-2439.0,20319,2016年01月01日至2016年03月31日,-57340,-62334,-48514,-53588,-38639,-21658,278620,297753,19133,19133,57772,16288,,,-0.21,-0.21,21165,-57340,-60297,,-8826,-8746
2016-08-08,2,2016,,-23617,-86,4531,-23329,288,-0.07,-0.07,-23329.0,18,-4300.0,16249,2016年第2季,-23337,-46666,-15127,-22398,-23452,133,290715,318973,28258,28258,51710,14178,,,-0.07,-0.07,21283,-23337,-23319,12.0,-8210,-24268
2016-11-10,3,2016,,-16036,-6783,5778,-17480,-1444,-0.18,-0.18,-17480.0,-999,-12384.0,18406,2016年第3季,-62299,-79779,-40831,-48672,-49839,-13459,298981,302580,3599,3599,53438,15731,,,-0.18,-0.18,19301,-62299,-63298,70.0,-21468,-31107
