date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,-14664.0,5245,21357,73295,87959,2.51,,70293,,,111070,2013年01月01日至2013年03月31日,288344,361639,288344,361639,332035,26602,2391593,2993375,601782,601782,269747,92061,,,2.5,66616,288344,358637,,,0.0,0,0
2013-07-23,2,2013,,-14756.0,24517,34473,5787,20543,2.5,,64579,,,115680,2013年04月01日至2013年06月30日,287483,293270,287852,293639,293072,58990,1723306,2284875,561569,561569,268497,92624,,,2.49,60193,287483,352062,,,0.0,-369,-369
2013-11-06,3,2013,,-2947.0,-23800,36946,-53514,-50567,2.36,,30856,,,128268,2013年07月01日至2013年09月30日,269719,216205,271120,217606,287429,13146,2074578,2656349,581771,581771,294342,101037,,,2.35,65037,269719,300575,,,0.0,-1401,-1401
2014-03-19,4,2013,,-32622.0,38571,74125,58390,86190,9.23,,209104,,,432646,2013年01月01日至2013年12月31日,1058037,1116427,1061415,1119805,1154445,112696,8131567,10360980,2229413,2229413,1074968,451783,,5810.0,9.15,190539,1058037,1267141,,988.0,0.0,-3378,-3378
2014-05-05,1,2014,,4635.0,-1593,23081,83876,79241,2.21,,36947,,,113222,2014年01月01日至2014年03月31日,251548,335424,253786,337662,267007,21488,2113936,2670653,556717,556717,289710,108516,,,2.2,67972,251548,288495,,,,-2238,-2238
2014-08-04,2,2014,,-2992.0,-157047,26026,-74327,-71335,-0.12,,783,,-2997.0,106495,2014年第2季,-19316,-93643,-13187,-87514,115485,-134018,1609101,1994180,385079,385079,269594,104327,,,-0.12,58772,-19316,-18533,,,,-6129,-6129
2014-11-04,3,2014,,0.0,29671,23172,65631,65631,1.31,,7377,,-4742.0,109762,2014年第3季,145497,211128,150025,215656,104773,48101,1910330,2329836,419506,419506,314733,129631,,,1.3,75340,145497,152874,,,,-4528,-4528
2015-03-11,4,2014,,1643.0,-82066,90866,228649,223702,4.4,,79159,,-13786.0,400144,2014年度,488206,716855,506102,734751,572351,-4986,7269744,8906989,1637245,1637245,1064894,469285,,3980.0,4.37,195465,488206,567365,,676.0,,-17896,-17896
2015-04-29,1,2015,0.0,0.0,-27630,18757,-42979,-42979,0.77,-42979.0,12557,0.0,-4094.0,95291,2015年01月01日至2015年03月31日,77840,34861,88797,45818,103364,-12967,1439209,1834163,394954,394954,291590,129025,,,0.77,67274,77840,90397,,,,-10957,-10957
2015-08-05,2,2015,,0.0,-2888,25607,-54261,-54261,0.28,-54261.0,33857,,-4409.0,96852,2015年第2季,24367,-29894,31718,-22543,41080,17144,1184876,1498775,313899,313899,272819,127247,,,0.28,48720,24367,58224,,,1166.0,-7351,-7351
2015-11-06,3,2015,,0.0,-31739,11964,248902,248902,0.55,248902.0,18210,,-4415.0,112459,2015年第3季,49667,298569,62811,311713,93338,-25461,1465631,1873994,408363,408363,315025,151212,,,0.54,51354,49667,67877,,,1271.0,-13144,-13144
2016-03-07,4,2015,-1012.0,0.0,-65032,63665,144199,145211,2.09,145211.0,126079,,-16560.0,338351,2015年度,206131,350330,240754,384953,353627,-21417,5797341,7217149,1419808,1419808,1066181,519989,-1219.0,,2.08,207841,206131,332210,-207.0,,3490.0,-34623,-34623
2016-05-06,1,2016,,,-17890,11069,-79823,-79823,0.67,-79823.0,20887,,-753.0,84226,2016年01月01日至2016年03月31日,66017,-13806,76599,-3224,94478,-7574,1449232,1836166,386934,386934,292456,149409,,,0.66,58821,66017,86904,,,,-10582,-10582
2016-08-09,2,2016,,,-10588,10248,11510,11510,0.13,11510.0,13162,,8.0,80410,2016年第2季,9482,20992,15405,26915,22976,-332,1314871,1619383,304512,304512,281536,142741,,,0.13,58385,9482,22644,,,0.0,-5923,-5923
2016-11-03,3,2016,,0.0,-16740,9707,-115216,-115216,0.51,-115216.0,11086,,6.0,85998,2016年第3季,49522,-65694,58619,-56597,67635,-7027,1383050,1750987,367937,367937,300302,158806,,,0.51,55498,49522,60608,,,0.0,-9097,-9097
