date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-11-13,1,2013,,,,,-38,2000,2000.0,15287,15287,-0.63,,,3,10517,2013年01月01日至2013年03月31日,-140077,-124790,-94567,-82624,-132372,-7702,323603,333388,9785,9785,142157,,,3.0,,,131640,-140077,-140074,9664,323603.0,323603.0,333690.0,333690.0,333388.0,302.0,-45510,-42166
2014-11-13,2,2013,,,,,-119,2892,2892.0,11241,11241,-0.1,,,30,10534,2013年04月01日至2013年06月30日,-19958,-8717,-14166,-5318,-12221,-7707,313986,331241,17255,17255,29476,,,30.0,,,18942,-19958,-19928,10480,313986.0,313986.0,331581.0,331581.0,331241.0,340.0,-5792,-3399
2014-11-13,3,2013,,,,,-1546,2742,2742.0,-7527,-7527,-0.19,,,7,10106,2013年07月01日至2013年09月30日,-32579,-40106,-28049,-30346,-22926,-9646,316434,325332,8898,8898,31824,,,7.0,,,21718,-32579,-32572,10842,316434.0,316434.0,325513.0,325513.0,325332.0,181.0,-4530,-9760
2014-11-13,4,2013,,,,,-1758,10040,10040.0,30975,26222,-1.06,,,22,41633,2013年01月01日至2013年12月31日,-214023,-183048,-158373,-127871,-180603,-33398,1285477,1338779,53302,53302,233905,6.0,,22.0,,4747.0,192272,-214023,-214001,41680,1285477.0,1285477.0,1339986.0,1339986.0,1338779.0,1207.0,-55650,-55177
2014-11-13,1,2014,,,,,18967,1996,1996.0,-1257,-1383,-0.05,,,4,10065,2014年01月01日至2014年03月31日,-8371,-9628,-7855,-9132,-19924,11557,323360,331725,8365,8365,28289,126.0,,4.0,,,18224,-8371,-8367,9406,323360.0,323360.0,332002.0,332002.0,331725.0,277.0,-516,-496
2014-11-13,2,2014,,,,,-3354,1946,1946.0,-6719,-6587,-0.34,,,2,9409,2014年第2季,-61157,-67876,-50499,-57459,-51431,-9724,307229,322123,14894,14894,66325,-132.0,,2.0,,,56916,-61157,-61155,8316,307229.0,307229.0,322984.0,322984.0,322123.0,861.0,-10658,-10417
2014-11-13,3,2014,,,,,4171,2577,2577.0,7472,7472,-0.36,,,2,9326,2014年第3季,-63773,-56301,-53652,-45672,-62466,-1305,300648,301615,967,967,63433,0.0,,2.0,,,54107,-63773,-63771,8053,300648.0,300648.0,301821.0,301821.0,301615.0,206.0,-10121,-10629
2015-03-30,4,2014,,,,,22399,8928,8928.0,9895,6967,-0.92,,,10,38772,2014年度,-159033,-149138,-137605,-126786,-156171,-2852,1215712,1248228,32516,32516,188687,-6.0,,10.0,,2934.0,149915,-159033,-159023,34179,1215712.0,1215712.0,1250063.0,1250063.0,1248228.0,1835.0,-21428,-22352
2015-05-14,1,2015,,,,,19961,1670,,-1806,-1806,-0.1,-0.1,-1806.0,0,9701,2015年01月01日至2015年03月31日,-9909,-11715,-9783,-11811,-22890,12981,273289,276813,3524,3524,26414,,0.0,,,,16713,-9909,-9909,8650,,,,,,,-126,96
2015-08-13,2,2015,,,,,-280,2862,,-2714,-2714,-0.33,-0.33,-2714.0,0,9807,2015年第2季,-36614,-39328,-36234,-39320,-26709,-9905,268398,269865,1467,1467,28176,,0.0,,,,18369,-36614,-36614,12487,,,,,,,-380,-8
2015-11-11,3,2015,,,,,2239,4009,,5049,5049,-0.32,-0.32,5049.0,0,9891,2015年第3季,-42754,-37705,-41903,-35848,-39753,-3001,301730,293461,-8269,-8269,31484,,0.0,,,,21593,-42754,-42754,9249,,,,,,,-851,-1857
2016-03-25,4,2015,1605.0,,,,-170876,11109,,-227,-1832,-2.48,-2.48,-1832.0,0,41058,2015年度,-319102,-319329,-314259,-314669,-122761,-196341,1144588,1138908,-5680,-5680,117081,,0.0,,1605.0,,76023,-319102,-319102,36574,,,,,,,-4843,-4660
2016-05-13,1,2016,,-152833.0,-0.9,-658.0,-9347,3510,,3885,4543,-1.0,-0.1,3885.0,0,8490,2016年01月01日至2016年03月31日,-170330,-166445,-169940,-166516,-9259,-8238,164042,174450,10408,10408,19667,,,,,,11177,-17497,-17497,2401,,,,,,,-390,71
2016-08-12,2,2016,,-9901.0,-0.06,4918.0,320615,2432,,-14431,-19349,1.79,1.85,-14431.0,1232,8182,2016年第2季,302582,288151,302822,289841,-7659,321374,139596,151413,11817,11817,19476,,,,,,11294,312483,313715,1673,,,,,,,-240,-1690
2016-11-14,3,2016,,0.0,0.0,-7038.0,-2332,2207,,-7038,0,-0.02,-0.02,-7038.0,169,8217,2016年第3季,-3187,-10225,-3187,-10225,-2893,-125,151977,167190,15213,15213,18106,,,,,,9889,-3187,-3018,0,,,,,,,0,0
