date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,0.0,-2529,1809,156.0,0.66,10093,156.0,1903,63285,2013年01月01日至2013年03月31日,53186,53342,52667,52823,64842,-1563,1708911,1871003,162092,162092,97250,3903,,0.66,30062,53186,63279,,2746,519,519
2013-08-09,2,2013,0.0,12377,5207,-123.0,0.68,12511,-123.0,2066,64978,2013年04月01日至2013年06月30日,56913,56790,56743,56620,53015,16409,1720169,1874986,154817,154817,101802,2961,,0.68,33863,56913,69424,0.0,3241,170,170
2013-11-11,3,2013,0.0,2865,1834,0.0,0.62,11436,0.0,-5,72181,2013年07月01日至2013年09月30日,52584,52584,51654,51654,63076,944,1684260,1848484,164224,164224,101148,3038,,0.62,25929,52584,64020,0.0,3750,930,930
2014-03-31,4,2013,0.0,12184,10747,33.0,2.52,39717,33.0,4025,275438,2013年01月01日至2013年12月31日,212998,213031,210190,210223,238798,13917,6869454,7515719,646265,646265,407467,11693,0.0,2.5,120336,212998,252715,0.0,13039,2808,2808
2014-05-12,1,2014,,7340,1780,0.0,0.65,11138,0.0,68,70492,2014年01月01日至2014年03月31日,54917,54917,54284,54284,60903,5152,1825412,1990157,164745,164745,103842,2509,,0.65,30841,54917,66055,0.0,4036,633,633
2014-08-12,2,2014,0.0,6172,3011,0.0,0.69,13492,0.0,209,74085,2014年第2季,64706,64706,63078,64706,72974,5224,2132260,2316922,184662,184662,111688,2848,,0.69,34755,64706,78198,0.0,4168,1628,0
2014-11-05,3,2014,,9139,3776,0.0,0.62,14823,0.0,5,77987,2014年第3季,57915,57915,56676,57915,64164,8574,1907495,2084966,177471,177471,113307,3446,,0.62,31874,57915,72738,0.0,4346,1239,0
2015-03-30,4,2014,,33500,10871,0.0,2.5,49649,0.0,468,303761,2014年度,233764,233764,229663,229663,255244,28169,7720323,8415139,694816,694816,439572,11586,,2.49,124225,233764,283413,0.0,16670,4101,4101
2015-05-12,1,2015,,345,2138,,0.6,13075,,-7,79356,2015年01月01日至2015年03月31日,56558,56558,55152,55152,71273,-1640,1921553,2105628,184075,184075,112802,2871,,0.6,30575,56558,69633,,4116,1406,1406
2015-08-11,2,2015,,4264,6425,,0.7,16846,,76,76823,2015年第2季,65956,65956,63891,63891,76167,6635,1984145,2177072,192927,192927,116760,5124,,0.69,34813,65956,82802,,4130,2065,2065
2015-11-10,3,2015,,22345,4536,,0.62,13488,,-36,85092,2015年第3季,59380,59380,57144,57144,50261,22607,1981502,2154486,172984,172984,122723,3627,,0.62,34004,59380,72868,,4238,2236,2236
2016-03-25,4,2015,,30599,15393,,2.45,50839,,36,329484,2015年度,233036,233036,225000,225000,254067,29808,7777747,8510754,733007,733007,478940,15500,,2.42,133956,233036,283875,,16220,8036,8036
2016-05-03,1,2016,,3095,2139,,0.61,13109,,68,85938,2016年01月01日至2016年03月31日,57649,57649,56307,56307,68375,2383,1962362,2152505,190143,190143,121768,3320,,0.61,32510,57649,70758,,2919,1342,1342
2016-08-12,2,2016,,6945,2594,,0.64,17691,,-17,86846,2016年第2季,65140,65140,61543,61543,78183,4648,2154715,2361884,207169,207169,128986,3386,,0.64,38754,65140,82831,,4874,3597,3597
2016-11-10,3,2016,,4383,4220,,0.63,11576,,-130,94071,2016年第3季,62084,62084,59972,59972,70134,3526,2068277,2273964,205687,205687,135553,3820,,0.62,37662,62084,73660,,4947,2112,2112
