date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,448805,102057,5318,43727.0,68289.0,,451434,2629,1.16,1.16,,16058,85816.0,2013年01月01日至2013年03月31日,166983,618417,166983,618417,79840,103201,251475,467955,216480,216480,136640,,,148065.0,216643.0,1.15,1.15,50824.0,166983,183041,,4174,59683.0,183023.0,,
2013-08-06,2,2013,,-191739,309640,15654,44749.0,72857.0,,-188506,3233,2.63,2.63,,22671,,2013年04月01日至2013年06月30日,379719,191213,379719,191213,79468,322922,264348,491800,227452,227452,147984,,,155175.0,223860.0,2.62,2.62,,379719,402390,,2372,64424.0,195083.0,,
2013-11-11,3,2013,,188249,-9553,130371,45136.0,70359.0,,183073,-5176,1.29,1.29,,19400,,2013年07月01日至2013年09月30日,186915,369988,186915,369988,88799,117516,270025,501270,231245,231245,142446,,,163324.0,237198.0,1.29,1.29,,186915,206315,,3302,61565.0,193713.0,,
2014-03-14,4,2013,,553457,384985,157457,0.0,0.0,4170.0,544266,11166,5.55,5.55,,78424,,2013年01月01日至2013年12月31日,801506,1345772,801506,1345772,350797,529133,1065693,1993592,927899,927899,577102,,-24527.0,638473.0,923760.0,5.54,5.54,,801506,879930,,13309,427220.0,1069832.0,,
2014-05-06,1,2014,,-340412,-10850,3085,,,,-343846,-3434,0.47,0.47,,14640,,2014年01月01日至2014年03月31日,68112,-275734,68030,-277013,93708,-10956,290052,536565,246513,246513,152805,,,183752.0,270746.0,0.47,0.47,,68112,82752,,3191,106300.0,265819.0,82.0,1279.0
2014-08-05,2,2014,,-68857,58720,7671,,,,-85164,-16307,0.89,0.89,,31267,,2014年第2季,129390,44226,128368,45922,98056,62601,316679,572060,255381,255381,157325,,,207078.0,293105.0,0.89,0.89,,129390,160657,,3790,109601.0,278955.0,1022.0,-1696.0
2014-11-12,3,2014,,-187036,-5924,142953,,,,-164167,22869,1.49,1.49,,16340,,2014年第3季,216304,52137,214644,46665,100388,132256,345781,605081,259300,259300,158912,,,234508.0,327128.0,1.49,1.49,,216304,232644,,4773,111273.0,277953.0,1660.0,5472.0
2015-03-16,4,2014,,-442461,34026,158536,,,1664.0,-417677,32910,3.4,3.4,,80288,,2014年度,496866,79189,491571,66638,401917,175237,1334398,2373250,1038852,1038852,636935,,-9790.0,,,3.4,3.4,,496866,577154,,17325,,,5295.0,12551.0
2015-05-05,1,2015,,-36779,-3144,5987,,,,-43564,-6785,0.67,0.67,-43564.0,19103,,2015年01月01日至2015年03月31日,99540,55976,96846,46760,121728,-3085,388023,664276,276253,276253,154525,,,,,0.67,0.67,,99540,118643,,5928,,,2694.0,9216.0
2015-07-28,2,2015,,-145923,39724,6142,,,,-161557,-15634,0.92,0.92,-161557.0,18602,,2015年第2季,137901,-23656,132367,-23327,117063,39440,427632,717306,289674,289674,172611,,,,,0.92,0.92,,137901,156503,,6426,,,5534.0,-329.0
2015-11-03,3,2015,,-65960,-24153,137369,,,,-1877,64083,1.44,1.44,-1877.0,18351,,2015年第3季,208800,206923,207361,187842,121059,106092,458724,757751,299027,299027,177968,,,,,1.43,1.43,,208800,227151,,7124,,,1439.0,19081.0
2016-03-08,4,2015,-15810.0,-210858,-531,155207,,,,-242388,-15720,3.67,3.67,-226578.0,74709,,2015年度,540621,298233,529756,286282,487166,128164,1776728,2952587,1175859,1175859,688693,-19048.0,,,,3.66,3.66,,540621,615330,-3238.0,26512,,,10865.0,11951.0
2016-05-10,1,2016,,234931,-27660,7617,,,,227400,-7531,0.57,0.57,227400.0,19392,,2016年01月01日至2016年03月31日,86436,313836,81737,311396,131660,-25832,499961,805983,306022,306022,174362,,,,,0.57,0.57,,86436,105828,,5789,,,4699.0,2440.0
2016-08-10,2,2016,,-182724,-6922,8299,,,,-223181,-40457,0.5,,-223181.0,16296,,2016年第2季,71855,-151326,72321,-138723,93246,-5095,571285,853246,281961,281961,188715,,,,,0.5,,,71855,88151,,6472,,,-466.0,-12603.0
2016-11-08,3,2016,,-52207,-3342,146824,,,,-100589,-48382,1.43,1.43,-100589.0,13746,,2016年第3季,206178,105589,206239,120165,81282,138642,577840,862147,284307,284307,203025,,,,,1.43,1.43,,206178,219924,,4840,,,-61.0,-14576.0
