date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,13546,15137,-2110,-2542,1.33,,45525,735137,2013年01月01日至2013年03月31日,233452,231342,173171,171061,250335,28642,153918,1227953,1074035,1074035,823700,14484,,,,74079,233452,278977,,-432.0,,41,60281,60281
2013-08-12,2,2013,,8031,16446,-1156,-1393,1.54,,58410,923366,2013年04月01日至2013年06月30日,272951,271795,200951,199795,306921,24440,181148,1518923,1337775,1337775,1030854,17177,,,,90311,272951,331361,,-237.0,,37,72000,72000
2013-11-11,3,2013,,-4307,14015,678,817,1.58,,64889,762239,2013年07月01日至2013年09月30日,304249,304927,205910,206588,359455,9683,149926,1389154,1239228,1239228,879773,26470,,,,91064,304249,369138,,139.0,,25,98339,98339
2014-03-24,4,2013,,25088,60397,4709,-4693,6.42,,245850,3206990,2013年01月01日至2013年12月31日,1181429,1186138,835762,840428,1341926,85353,657393,5652413,4995020,4995020,3653094,91965,,10366.0,,354139,1181429,1427279,,964.0,,132,345667,345710
2014-05-08,1,2014,,-3006,11964,335,403,1.49,,62226,766838,2014年01月01日至2014年03月31日,288704,289039,194612,194947,341992,8938,155676,1389503,1233827,1233827,891835,33859,,,,91138,288704,350930,,68.0,,20,94092,94092
2014-08-11,2,2014,,-8337,13518,1785,2151,1.62,,77771,931263,2014年第2季,309451,311236,210649,212434,382061,5161,204647,1633384,1428737,1428737,1046676,11374,,,,104039,309451,387222,,366.0,,20,98802,98802
2014-11-06,3,2014,,9382,19134,-2589,-3119,1.89,,68333,789901,2014年第3季,361539,358950,245832,243243,401377,28495,176612,1510096,1333484,1333484,932107,18868,,,1.89,123338,361539,429872,,-530.0,,21,115707,115707
2015-03-24,4,2014,,-2308,91820,7702,8300,7.24,,302705,3416177,2014年度,1386513,1394215,942483,950233,1599792,89426,721624,6282859,5561235,5561235,3961443,84256,,-234.0,7.2,461010,1386513,1689218,,364.0,,86,444030,443982
2015-05-08,1,2015,,-39,20633,-2696,-2696,1.83,-2696.0,72235,943232,2015年01月01日至2015年03月31日,347034,344338,237790,235094,398695,20574,192393,1650752,1458359,1458359,1059664,32031,,,1.81,84401,347034,419269,,,0.0,20,109244,109244
2015-08-12,2,2015,,-36,22430,-4031,-4031,1.87,-4031.0,90782,1075042,2015年第2季,356896,352865,244327,240296,428205,19473,223837,1858141,1634304,1634304,1206099,21559,,,1.87,109498,356896,447678,,,0.0,2921,112569,112569
2015-11-10,3,2015,,459,23529,11605,11605,2.01,11605.0,79403,931913,2015年第3季,392768,404373,261632,273237,457343,14828,215326,1728440,1513114,1513114,1055771,22897,,,1.98,100961,392768,472171,,,0.0,9160,131136,131136
2016-03-14,4,2015,-4533.0,1307,92017,-10061,-5528,8.07,-5528.0,335720,4044908,2015年度,1546884,1536823,1051652,1041648,1812416,70188,862714,7247855,6385141,6385141,4572725,98681,-5461.0,,7.94,429136,1546884,1882604,-928.0,,0.0,23136,495232,495175
2016-05-12,1,2016,,-15,27471,-1373,-1373,2.17,-1373.0,84560,1143607,2016年01月01日至2016年03月31日,412386,411013,283169,281796,480069,16877,235384,2008974,1773590,1773590,1293521,29938,,,2.11,119976,412386,496946,,,0.0,10579,129217,129217
2016-08-11,2,2016,,383,26685,-7576,-7576,2.27,-7576.0,141596,1374384,2016年第2季,429008,421432,295432,287856,553045,17559,262402,2350667,2088265,2088265,1535220,28281,,,2.19,132555,429008,570604,,,0.0,9509,133576,133576
2016-11-10,3,2016,,-578,24905,-11362,-11362,2.51,-11362.0,91732,1196950,2016年第3季,491524,480162,332641,321279,565823,17433,361342,2296914,1935572,1935572,1369749,26276,,,2.46,146523,491524,583256,,,0.0,6894,158883,158883
