date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,-3151,1474,,923,1071,0.25,,,4870,,29616,2013年01月01日至2013年03月31日,,22863,23786,23007,23731,30684,-2951,439204,517887,78683,78683,47999,6914,,,,11469,22863,27733,,148.0,,1274,,,-144,55
2013-07-30,2,2013,,-2612,1013,,168,195,0.22,0.0,,4450,0.0,28993,2013年04月01日至2013年06月30日,0.0,20329,20497,20610,20741,27523,-2744,442851,518218,75367,75367,47844,7028,,,,11823,20329,24779,,27.0,,1145,0.0,0.0,-281,-244
2013-11-12,3,2013,,-2397,1096,,-50,-58,0.34,,,4680,,28865,2013年07月01日至2013年09月30日,,33602,33552,34220,34182,40901,-2619,421154,510357,89203,89203,48302,8479,,,,10958,33602,38282,,-8.0,,1318,,,-618,-630
2014-03-24,4,2014,,229,6264,,2282,2814,1.05,0.0,,21323,0.0,118199,2014年度,0.0,111730,114012,110429,112372,131766,1287,1909623,2226223,316600,316600,184834,21184,,-134.0,,45451,111730,133053,,398.0,,5206,0.0,0.0,1301,1640
2014-03-25,4,2013,,-3441,6545,,993,1901,1.09,0.0,,24222,0.0,117941,2013年01月01日至2013年12月31日,0.0,107870,108863,109130,109768,134119,-2027,1751648,2080288,328640,328640,194521,31336,,-777.0,,45244,107870,132092,,131.0,,5131,0.0,0.0,-1260,-905
2014-05-13,1,2014,,-1055,860,,-214,-248,0.22,0.0,,4400,0.0,28893,2014年01月01日至2014年03月31日,0.0,22149,21935,21972,21804,27910,-1361,397370,470824,73454,73454,45544,4896,,0.0,,11755,22149,26549,,-34.0,,1166,0.0,0.0,177,131
2014-08-05,2,2014,,17,1018,,-823,-961,0.32,,,6121,,32590,2014年第2季,,32803,31980,32268,31597,39214,-290,511115,598753,87638,87638,48424,4704,,,,11130,32803,38924,,-138.0,,1325,,,535,383
2014-11-11,3,2014,,-427,1441,,1503,1762,0.19,,,4053,,28299,2014年第3季,,19693,21196,19684,20949,23897,-151,494966,564483,69517,69517,45620,5831,,,,11490,19693,23746,,259.0,,1165,,,9,247
2015-05-05,1,2015,,503,882,,-941,-1101,0.21,0.0,-941.0,-198,0.0,26683,2015年01月01日至2015年03月31日,0.0,21903,20962,22135,21355,21931,-226,469537,535047,65510,65510,43579,4900,,,,11996,21903,21705,,,-160.0,1611,0.0,0.0,-232,-393
2015-08-11,2,2015,,-1048,837,0.0,-548,-644,0.23,,-548.0,4703,,29836,2015年第2季,,24291,23743,24118,23650,30690,-1696,507813,583094,75281,75281,44591,3453,,,0.23,11302,24291,28994,,,-96.0,1485,,,173,93
2015-11-10,3,2015,,1203,1088,,2977,3502,0.25,,2977.0,5900,,29489,2015年第3季,,26843,29820,27031,29595,31827,916,449311,526439,77128,77128,45301,3844,,,0.24,11968,26843,32743,,,525.0,1375,,,-188,225
2016-03-22,4,2015,-6564.0,-1208,3591,,-6788,-255,0.9,,-224.0,15905,,117129,2015年度,,98397,91609,98883,92166,118085,-3783,1902860,2200305,297445,297445,179360,15505,-7908.0,,0.9,46726,98397,114302,-1344.0,,-31.0,6166,,,-486,-557
2016-05-10,1,2016,,-2420,1144,,-1549,-1820,0.16,,-1549.0,4202,,30418,2016年01月01日至2016年03月31日,,16901,15352,17276,15954,23598,-2495,432011,500558,68547,68547,44949,3843,,,0.16,10688,16901,21103,,,-271.0,1219,,,-375,-602
2016-08-09,2,2016,,-458,5268,0.0,-2913,-3437,0.21,,-2913.0,7509,,28389,2016年第2季,,23650,20737,23284,20721,28317,2842,415787,491588,75801,75801,47484,6760,,,0.21,12335,23650,31159,,,-524.0,1968,,,366,16
2016-11-08,3,2016,,-1815,4109,,-3387,-4006,0.22,,-3387.0,4700,,31179,2016年第3季,,23882,20495,23777,20761,27870,712,432792,512403,79611,79611,51741,6761,,,0.22,13801,23882,28582,,,-619.0,1582,,,105,-266
