date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,,,497792,-6413,16281,-3524344,55665,0.85,0.85,,45931,,-3902369.0,932461,,224178,2013年01月01日至2013年03月31日,953718,-2570626,833299,-2606359,152964,846685,2941939,3539905,597966,597966,445002,,12766,,,0.83,0.83,208058,953718,999649,,175432.0,,95644,120419,35733
2013-08-14,2,2013,,,-4707.0,-249332,-5030,51537,-6117975,103004,1.42,1.42,,30200,,-5965095.0,1477592,,247797,2013年04月01日至2013年06月30日,1536565,-4581410,1403569,-4572282,144563,1426909,3106959,3669592,562633,562633,418070,,13582,,,1.39,1.39,156691,1541272,1571472,,6552.0,,97190,132996,-9128
2014-01-23,3,2013,,,18266.0,449135,23580,123248,-4015504,-103369,1.34,1.34,,59068,,-4369621.0,1483558,,234240,2013年07月01日至2013年09月30日,1653195,-2362309,1467666,-2787033,154938,1539059,2993219,3608194,614975,614975,460037,,11202,,,1.33,1.33,214595,1634929,1693997,,-8351.0,,91327,185529,424724
2014-03-18,4,2013,,,11477.0,646883,-11104,285633,-13305555,79219,29.03,29.03,,360807,,-13871946.0,30896535,,1140671,2013年01月01日至2013年12月31日,31235379,17929824,30592714,17237074,805273,30779436,12142748,15101184,2958436,2958436,2153163,-3.0,48662,,10013.0,28.46,28.46,963830,31223902,31584709,,169721.0,,391628,642665,692750
2014-05-15,1,2014,,,,115519,24693,25845,2135349,133045,0.79,0.79,,40593,,2014669.0,981623,,244057,2014年01月01日至2014年03月31日,1012411,3147760,908021,3110152,130675,922329,2392783,2965491,572708,572708,442033,0.0,13397,,,0.78,0.78,184579,1012411,1053004,,127884.0,,109832,104390,37608
2014-08-14,2,2014,,,0.0,1193139,221888,25030,2709429,-158391,0.32,0.32,,1022635,,1702248.0,993085,,241452,2014年第2季,511518,3220947,372590,3023155,400926,1133227,2577834,3411138,833304,833304,432378,,9278,,,0.32,0.32,181648,511518,1534153,,27567.0,,106776,138928,197792
2014-11-14,3,2014,,,0.0,-703727,278012,224831,-6481253,153229,2.36,2.36,,49257,,-5993910.0,2549001,,268033,2014年第3季,3005238,-3476015,2720084,-3597418,97397,2957098,2404922,3002027,597105,597105,499708,0.0,13554,,0.0,2.35,2.35,218121,3005238,3054495,,-63155.0,,94746,285154,121403
2015-03-25,4,2014,,,0.0,488512,531987,384902,3116775,471523,5.69,5.69,,138605,,2445566.0,6206320,,1017792,2014年度,7285203,10401978,6568581,9854503,723366,6700442,9623262,12291900,2668638,2668638,1945272,0.0,45877,,11317.0,5.67,5.67,881603,7285203,7423808,,300143.0,,422767,716622,547475
2015-05-13,1,2015,,,,-194289,79103,14125,1556792,-46549,1.38,1.38,1556792.0,67035,,,1595299,1824659.0,169359,2015年01月01日至2015年03月31日,1669177,3225969,1587767,3135964,108659,1627553,1662627,2165674,503047,503047,394388,,16281,,,1.37,1.37,208748,1669177,1736212,,,27029.0,60974,81410,90005
2015-08-13,2,2015,,,,-282241,-32578,26627,-3715417,-40230,1.34,1.34,-3715417.0,34976,,,1647114,-3422148.0,175670,2015年第2季,1641787,-2073630,1545544,-2213812,122578,1554185,1542037,2037114,495077,495077,372499,,9771,,,1.34,1.34,187058,1641787,1676763,,,-29202.0,86978,96243,140182
2015-11-13,3,2015,,,,121129,26901,273581,-7981498,137863,2.72,2.72,-7981498.0,23935,,,2595378,-8289272.0,272203,2015年第3季,3716269,-4265229,3496066,-4267744,946156,2794048,3144891,4584709,1439818,1439818,493662,,10479,,,2.71,2.71,210980,3716269,3740204,,,-48782.0,101812,220203,2515
2016-03-28,4,2015,0.0,-91170.0,,1333987,27953,465331,-7373003,-3335,6.46,6.46,-7281833.0,147469,-93234.0,,6333129,-8638353.0,691310,2015年度,8532476,1159473,7999182,714976,2181541,6498404,9276311,12978916,3702605,3702605,1521064,,51582,-2890.0,,6.45,6.45,778172,8532476,8679945,-4954.0,,-25868.0,328009,533294,444497
2016-05-13,1,2016,,,,-1039358,10262,14402,1335025,-87829,1.71,1.71,1335025.0,82105,,,1991291,2374615.0,172084,2016年01月01日至2016年03月31日,2376930,3711955,2298300,3825408,516256,1942779,2118572,3038765,920193,920193,403937,,15486,,,1.71,1.71,216367,2376930,2459035,,,-87597.0,73176,78630,-113453
2016-08-12,2,2016,,,,-30271,-14284,23058,-110290,-41595,0.4,0.4,-110290.0,59039,,,476931,-87853.0,125726,2016年第2季,591319,481029,535723,516503,232738,417620,2515066,3076170,561104,561104,328366,,12803,,,0.4,0.4,189837,591319,650358,,,-49429.0,68085,55596,-35474
2016-11-14,3,2016,,,,-55385,-17230,93076,-415402,-110386,1.67,1.67,-415402.0,60247,,,2035555,-306414.0,151030,2016年第3季,2417539,2002137,2246146,1795419,433420,2044366,2441571,3229771,788200,788200,354780,,14390,,,1.67,1.67,189360,2417539,2477786,,,-56783.0,67035,171393,206718
