date,season,year,不重分類至損益之項目總額,佣金收入,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,297.0,25654,6057,7194,3302.0,3302.0,46287,297.0,297.0,20633,0.07,,-2961,,2075,57897,2013年01月01日至2013年03月31日,9614,55901,14571,59142,-8124,14777,1181613,1456861,275248,275248,283372,,,0.07,225475,9614,6653,,,,549,26582.0,1498424.0,1453262.0,18580.0,-4957,-3241
2013-08-13,2,2013,,,19048,-8918,21954,,,14926,,,-4122,-0.01,,573,,7621,158528,2013年04月01日至2013年06月30日,-7411,7515,-2364,13668,-26487,19649,1144142,1435681,291539,291539,318026,,,-0.01,159498,-7411,-6838,,0.0,,1008,,,,,-5047,-6153
2013-11-11,3,2013,,,1690,-4147,26404,,,-18252,,,-19942,0.18,,21473,,-2741,214302,2013年07月01日至2013年09月30日,33762,15510,40088,22918,36432,18803,1562263,1975117,412854,412854,376422,,,0.18,162120,33762,55235,,,,713,,,,,-6326,-7408
2014-03-18,4,2013,,,82869,-28723,129331,,,71435,,,-7694,0.46,,65222,,8464,713200,2013年01月01日至2013年12月31日,78317,149752,101015,172846,37055,106484,4861938,6248395,1386457,1386457,1349402,,-3740.0,0.46,636202,78317,143539,,0.0,,2588,,,,,-22698,-23094
2014-05-12,1,2014,,,-15660,-46782,24264,,,993,,,16653,0.1,,14601,,3670,157888,2014年01月01日至2014年03月31日,19541,20534,21086,21716,53847,-19705,1205468,1561734,356266,356266,302419,,,0.1,144531,19541,34142,,,,857,,,,,-1545,-1182
2014-08-11,2,2014,,,4490,-31061,20557,,,-19219,,,-23709,0.15,,4162,,3075,153293,2014年第2季,32226,13007,30965,22851,44541,-8153,1146625,1546963,400338,400338,355797,,,0.15,202504,32226,36388,,0.0,,724,,,,,1261,-9844
2014-11-11,3,2014,,,-14111,32717,25507,,,-7584,,,6527,0.45,,16828,,-825,164404,2014年第3季,98639,91055,93221,86053,58845,56622,1323225,1717116,393891,393891,335046,,,0.45,170642,98639,115467,,,,777,,,,,5418,5002
2015-03-23,4,2014,,,16276,-33679,101255,,,71444,,,50426,0.97,,63772,,8675,675426,2014年度,216288,287732,203382,269470,207223,72837,4894366,6293543,1399177,1399177,1191954,,4742.0,0.97,516528,216288,280060,,0.0,,3414,,,,,12906,18262
2015-05-12,1,2015,,,-416,9769,20960,,,-53869,,,-53453,0.18,-53869.0,12258,,1872,139513,2015年01月01日至2015年03月31日,39433,-14436,37894,-3439,20050,31641,1184948,1496346,311398,311398,291348,,,0.18,151835,39433,51691,,,0.0,960,,,,,1539,-10997
2015-08-12,2,2015,,,-8175,57130,47468,,,-24736,,,-16561,0.59,-24736.0,-9475,,1629,143825,2015年第2季,149178,124442,124048,110173,34393,105310,1073749,1363516,289767,289767,255374,,,0.59,111549,149178,139703,,,0.0,917,,,,,25130,14269
2015-11-13,3,2015,,,-98267,-64456,9115,,,-75736,,,22531,-0.1,-75736.0,22847,,-1086,130762,2015年第3季,-21319,-97055,-20172,-94060,58610,-57082,1364155,1667687,303532,303532,244922,,,-0.1,114160,-21319,1528,,,0.0,655,,,,,-1147,-2995
2016-03-28,4,2015,-3059.0,,-85899,-115914,66323,,,-156310,,,-67352,0.5,-153251.0,16995,0.0,11817,638490,2015年度,142020,-14290,105039,-17183,200213,-41198,4598287,5894590,1296303,1296303,1096090,-3059.0,,0.5,457600,142020,159015,0.0,,0.0,3424,,,,,36981,2893
2016-05-10,1,2016,,,-13575,-20643,8762,,,-2326,,,11249,0.07,-2326.0,6847,,11823,165149,2016年01月01日至2016年03月31日,14397,12071,14798,4726,23432,-2188,1073101,1376439,303338,303338,279906,,,0.07,114757,14397,21244,,,0.0,2130,,,,,-401,7345
2016-08-11,2,2016,,,-17294,-47922,9536,,,-17388,,,-94,-0.02,-17388.0,19900,,10355,198058,2016年第2季,8664,-8724,-4492,-21337,60079,-31515,1190908,1556131,365223,365223,305144,,,-0.02,107086,8664,28564,,,0.0,3484,,,,,13156,12613
2016-11-09,3,2016,,,2422,-42648,21921,,,-27309,,,-29731,0.0,-27309.0,16886,,5854,180605,2016年第3季,29986,2677,361,-19382,65839,-18967,1479670,1873898,394228,394228,328389,,,0.0,147784,29986,46872,,,0.0,4094,,,,,29625,22059
