date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,6595,1836,14161,15092,-0.01,-0.01,,349,1970.0,2809,,36278,2013年01月01日至2013年03月31日,-816,13345,-880,13281,-8048,7581,247427,319397,71970,71970,80018,15080,,,,,28660,-816,-467,,2901.0,,3659,64,64
2013-08-12,2,2013,,917,7272,6875,9104,0.27,0.27,,6111,-822.0,3264,,33199,2013年04月01日至2013年06月30日,22490,29365,22434,29309,20642,7959,353181,455786,102605,102605,81963,19561,,,0.27,0.27,29203,22490,28601,,1407.0,,3494,56,56
2013-11-05,3,2013,,-3010,3183,-5249,-5609,0.08,0.08,,2078,-714.0,-439,,39430,2013年07月01日至2013年09月30日,6731,1482,6641,1392,12343,-3534,273653,368069,94416,94416,82073,15658,,,0.08,0.08,26985,6731,8809,,-1074.0,,3268,90,90
2014-03-25,4,2013,,7128,20277,25568,27741,0.33,0.33,,9485,-2.0,7411,,144616,2013年01月01日至2013年12月31日,27695,53263,27610,53178,16129,21051,1124062,1459418,335356,335356,319227,63039,,3068.0,0.33,0.33,111572,27695,37180,,5239.0,,13765,85,85
2014-05-07,1,2014,,279,3066,-1126,-1957,0.11,0.11,,2667,600.0,1714,,35611,2014年01月01日至2014年03月31日,9455,8329,9462,8336,10298,1824,300864,391203,90339,90339,80041,15802,,,0.11,0.11,28628,9455,12122,,-231.0,,3235,-7,-7
2014-08-04,2,2014,,-3588,9326,-8189,-9125,0.46,0.46,,8904,-741.0,1412,,43435,2014年第2季,38340,30151,38194,30005,42823,4421,395386,526161,130775,130775,87952,16581,,,0.46,0.46,27936,38340,47244,,-1677.0,,2729,146,146
2014-11-03,3,2014,,4333,5470,10862,12218,0.65,0.65,,13230,869.0,64,,60552,2014年第3季,54171,65033,53991,64853,60397,7004,405751,577407,171656,171656,111259,22069,,,0.65,0.65,28638,54171,67401,,2225.0,,2863,180,180
2015-03-23,4,2014,,6479,24069,14736,17150,1.54,1.54,,31732,1780.0,4709,,200619,2014年度,128104,142840,127903,142639,136427,23409,1468902,1998487,529585,529585,393158,76238,,-1173.0,1.54,1.54,116301,128104,159836,,3021.0,,11848,201,201
2015-05-06,1,2015,,-4014,4695,-4477,-5198,0.1,0.1,-4477.0,5135,,293,-196.0,45986,2015年01月01日至2015年03月31日,8304,3827,8484,4007,15366,-1927,322669,435758,113089,113089,97723,24480,,,0.1,0.1,27257,8304,13439,,,-917.0,2901,-180,-180
2015-08-12,2,2015,,-4642,7864,-7572,-7691,-0.09,-0.09,-7572.0,5545,,1364,-1432.0,48800,2015年第2季,-7362,-14934,-7092,-14664,-3560,1743,383673,494496,110823,110823,114383,38327,,,-0.09,-0.09,27256,-7362,-1817,,,-1551.0,2843,-270,-270
2015-11-10,3,2015,,5726,5491,18373,21465,0.16,0.16,18373.0,3862,,1617,670.0,42438,2015年第3季,13254,31627,13345,31718,7568,9548,281510,383997,102487,102487,94919,25440,,,0.16,0.16,27041,13254,17116,,,3762.0,3286,-91,-91
2016-03-21,4,2015,-923.0,-5563,26740,-10107,-9436,0.32,0.32,-9184.0,19179,,4978,-1627.0,179083,2015年度,25894,15787,26434,16327,30985,14088,1303677,1741484,437807,437807,406822,115076,-1112.0,,0.32,0.32,112663,25894,45073,-189.0,,-1879.0,12067,-540,-540
2016-05-05,1,2016,,-4448,3615,-1289,-1538,0.17,0.17,-1289,5072,,-529,-15,37938,2016年01月01日至2016年03月31日,13525,12236,13718,12429,22958,-4361,306204,419913,113709,113709,90751,25450,,,0.17,0.17,27363,13525,18597,,,-264,2999,-193,-193
2016-08-04,2,2016,,-11924,31269,-9646,-11114,0.33,0.33,-9646.0,4153,,1667,-508.0,47757,2016年第2季,26867,17221,27109,17463,12496,18524,371896,489456,117560,117560,105064,29248,,,0.33,0.33,28059,26867,31020,,,-1976.0,2488,-242,-242
2016-11-08,3,2016,,-7275,3824,-12892,-14519,-0.32,-0.32,-12892.0,-3835,,787,-1013.0,45602,2016年第3季,-26347,-39239,-26361,-39253,-25449,-4733,215467,289223,73756,73756,99205,29388,,,-0.32,-0.32,24215,-26347,-30182,,,-2640.0,2069,14,14
