date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,155,290,,,3318,4742,57623,37894,57333,0.14,0.14,3473.0,,,12716,155035,2013年01月01日至2013年03月31日,35340,92963,35370,92963,77890,-29834,3007010,3282584,275574,275574,197684,,,,,42649,35340,48056,,,37894,,,,,-30.0,
2013-07-31,2,2013,,139,-645,,,15606,3003,40444,39274,41089,-0.01,-0.01,15745.0,0.0,,3955,153556,2013年04月01日至2013年06月30日,-3241,37203,-3253,37221,21379,-20665,3181533,3401901,220368,220368,198989,,,,,45433,-3241,714,,,39274,8811.0,3410878.0,3401901.0,166.0,12.0,-18.0
2013-10-30,3,2013,,1566,765,,,4775,1543,-19638,40585,-20403,-0.06,-0.06,6341.0,,,6280,152734,2013年07月01日至2013年09月30日,-14925,-34563,-14913,-34551,25622,-34267,2941307,3169185,227878,227878,202256,,,,,49522,-14925,-8645,,,40585,6756.0,3176494.0,3169185.0,553.0,-12.0,-12.0
2014-03-26,4,2013,,4794,565,,,39732,12373,119014,158668,111886,0.15,0.15,44526.0,,,35684,609532,2013年01月01日至2013年12月31日,37699,156713,37729,156743,179946,-106563,11998244,12983533,985289,985289,805343,,8426.0,,,195811,37699,73383,,1863.0,158668,,,12983533.0,,-30.0,-30.0
2014-05-08,1,2014,,1349,-24,,,3905,13806,28574,39565,28598,0.21,0.21,5254.0,,,11243,152061,2014年01月01日至2014年03月31日,52780,81354,52780,81354,85877,-21854,2745960,3026727,280767,280767,194890,,,,,42829,52780,64023,,,39565,,,,,0.0,
2014-08-11,2,2014,,-1032,-79,,,372,-6539,-43796,42519,-43717,0.54,0.54,0.0,660.0,,32858,183617,2014年第2季,139857,96061,139857,96061,221401,-48686,3173171,3627660,454489,454489,233088,,,0.54,0.54,49471,139857,172715,,,42519,,,,,0.0,0.0
2014-11-06,3,2014,,767,-102,,,8652,1798,40717,44110,40819,0.5,0.5,9419.0,,,36731,181423,2014年第3季,129158,169875,129158,169875,199549,-33660,3367023,3825098,458075,458075,258526,,,0.5,0.5,77103,129158,165889,,,44110,,,3825098.0,,0.0,0.0
2015-03-24,4,2014,,1290,-58,,,22490,9947,131302,169309,127433,1.51,1.51,23780.0,,,79225,665013,2014年度,390961,522263,390961,522263,607058,-136872,12442299,13958636,1516337,1516337,909279,,4732.0,1.51,1.51,244266,390961,470186,,805.0,169309,,,,,0.0,0.0
2015-05-07,1,2015,,5669,53,,,-14829,9948,-34053,40716,-34106,0.14,0.14,-9160.0,,-34053.0,7861,135072,2015年01月01日至2015年03月31日,37331,3278,37331,3278,90789,-45597,2606162,2878685,272523,272523,181734,,,0.14,0.14,46662,37331,45192,,,40716,,,,,,
2015-07-30,2,2015,,1439,-355,,,2900,29326,-22409,39983,-22054,-0.08,,4339.0,,-22409.0,8262,132099,2015年第2季,-22384,-44793,-22384,-44793,-6365,-7757,2859118,3029177,170059,170059,176424,,,-0.08,,44325,-22384,-14122,,,39983,,,,,,
2015-10-29,3,2015,,786,-416,,,-5848,5687,55525,41926,55941,-0.35,-0.35,-5062.0,,55525.0,-22195,138700,2015年第3季,-99450,-43925,-99450,-43925,-79558,-42087,2803032,2909591,106559,106559,186117,,,-0.35,-0.35,47417,-99450,-121645,,,41926,,,2909591.0,,,
2016-03-24,4,2015,-13681.0,7193,-516,0.0,0.0,-33985,48240,-62670,162503,-48473,-1.01,-1.01,-26792.0,,-48989.0,-49268,559704,2015年度,-286982,-349652,-286982,-349652,-188002,-148248,11144916,11715848,570932,570932,758934,-16483.0,,-1.01,-1.01,199230,-286982,-336250,-2802.0,,162503,,,,,0.0,0.0
2016-05-09,1,2016,,176,188,,,-15476,6787,-32260,35088,-32448,0.21,0.21,,15300.0,-32260.0,15398,121821,2016年01月01日至2016年03月31日,57604,25344,57604,25344,116779,-43777,2279019,2558070,279051,279051,162272,,,0.21,0.21,40451,57604,73002,,,35088,,,,,,
2016-08-05,2,2016,,105,17,,,-13609,2864,-48617,35230,-48634,0.02,0.02,-13504.0,,-48617.0,-2065,113326,2016年第2季,4947,-43670,4947,-43670,48857,-45975,2516808,2721738,204930,204930,156073,,,0.02,0.02,42747,4947,2882,,,35230,,,,,,
2016-11-08,3,2016,,79,93,,,-18676,4057,-75840,34271,-75933,0.27,0.27,,18597.0,-75840.0,31995,130149,2016年第3季,73233,-2607,73233,-2607,154118,-48890,2327361,2669286,341925,341925,187807,,,0.27,0.27,57658,73233,105228,,,34271,,,,,,
