date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,-13819,7187,195643,195643,-0.32,,-19990,,9652,44501,2013年01月01日至2013年03月31日,-149126,46517,-148234,45108,-170221,1105,3872207,3967990,95783,95783,266004,88802,,,-0.32,132701,-149126,-169116,,,1915,-892.0,1409.0
2013-08-06,2,2013,,27765,20612,133704,161090,-0.16,,-3649,,9173,53456,2013年04月01日至2013年06月30日,-75736,57968,-70919,61228,-135079,55694,4292079,4439914,147835,147835,282914,101269,,,0.0,128189,-75736,-79385,27386.0,,1856,-4817.0,-3260.0
2013-11-05,3,2013,,535,56241,-59991,-72279,-0.37,,13169,,-7477,56894,2013年07月01日至2013年09月30日,-167896,-227887,-167000,-226292,-202131,47404,4320370,4408798,88428,88428,290559,91842,,,0.0,141823,-167896,-154727,-12288.0,,1895,-896.0,-1595.0
2014-03-03,4,2013,,-295258,193269,374670,450839,-1.89,,-37381,,-5634,210844,2013年01月01日至2013年12月31日,-868108,-493438,-861448,-491142,-790497,-114992,16610366,16910703,300337,300337,1090834,370641,,473.0,0.0,509349,-868108,-905489,76642.0,,7369,-6660.0,-2296.0
2014-04-29,1,2014,,-39344,47779,91874,110692,-0.26,,-3247,,-1594,49485,2014年01月01日至2014年03月31日,-119036,-27162,-118746,-27859,-127434,5151,3777208,3922345,145137,145137,272571,87533,,,,135553,-119036,-122283,18818.0,,1690,-290.0,697.0
2014-08-06,2,2014,,31503,120179,-174732,-210521,-0.31,,6971,,-7414,50270,2014年第2季,-138081,-312813,-140053,-312514,-273665,142555,4078746,4077972,-774,-774,272891,78629,,,,143992,-138081,-131110,-35789.0,,1713,1972.0,-299.0
2014-11-04,3,2014,,3721,49299,172793,208184,-0.82,,2144,,-5835,40458,2014年第3季,-376112,-203319,-376112,-203319,-419411,45443,3669139,3497516,-171623,-171623,247788,73455,,,0.0,133875,-376112,-373968,35391.0,,1742,0.0,0.0
2015-02-10,4,2014,,2410870,311531,359783,443597,2.41,,956623,,-219954,293975,2014年度,1290190,1649973,1290190,1649973,-153443,2400256,42114384,43817653,1703269,1703269,1856712,574896,,2397.0,2.4,987841,1290190,2246813,86211.0,,102191,,
2015-04-28,1,2015,0.0,9878,87497,-144744,-174390,0.2,-144744.0,81805,0.0,-28573,91661,2015年01月01日至2015年03月31日,149802,5058,149802,5058,174844,56763,10320501,10985899,665398,665398,490554,136777,,,0.2,262116,149802,231607,,-29646.0,12039,,
2015-08-06,2,2015,,36343,124273,-134940,-162579,-0.19,-134940.0,25446,,-45516,69198,2015年第2季,-144823,-279763,-144823,-279763,-222683,103306,9248606,9449290,200684,200684,423367,81310,,,0.0,272859,-144823,-119377,,-27639.0,11794,,
2015-11-05,3,2015,,42458,117003,499422,601713,-0.23,499422.0,91136,,-29691,122737,2015年第3季,-173236,326186,-173236,326186,-199289,117189,9944242,10280525,336283,336283,535572,127345,,,0.0,285490,-173236,-82100,,102291.0,12581,,
2016-01-28,4,2015,-381.0,-32680,409712,-78736,-94404,-0.57,-78355.0,241239,,-209632,394761,2015年度,-425249,-503985,-425249,-503985,-301917,117907,39512458,41172141,1659683,1659683,1961600,447344,-381.0,,0.0,1119495,-425249,-184010,,-16049.0,49493,,
2016-04-21,1,2016,0.0,30369,57868,-253282,-305159,-0.1,-253282.0,37893,0.0,-36176,125746,2016年01月01日至2016年03月31日,-74061,-327343,-74061,-327343,-80762,44594,7110402,7510381,399979,399979,480741,120212,,,0.0,234783,-74061,-36168,,-51877.0,7467,,
2016-08-04,2,2016,,30179,53002,-380489,-458421,0.12,-380489.0,8914,,-13162,104991,2016年第2季,88417,-292072,88417,-292072,34630,62701,8234064,8714457,480393,480393,445763,101319,,,0.12,239453,88417,97331,,-77932.0,7318,,
2016-11-10,3,2016,,33100,63143,-346397,-417345,0.19,-346397.0,60942,,2142,94034,2016年第3季,130423,-215974,130423,-215974,104983,86382,7937459,8434094,496635,496635,391652,88900,,,0.19,208718,130423,191365,,-70948.0,12003,,
