date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,948,97907,33498,3058,61292,30440,1618,61775,0.62,68860.0,,,55353,,,2408.0,0.0,2385,-2385,,241174,2013年01月01日至2013年03月31日,308771,370063,,318082,367275,236722,127402,4856217,5698996,842779,842779,606057,218996,,,0.61,145887,308771,364124,,2891.0,,,1618,117550,87555,,4856217,4856217,8241,5727231,5727231,5698996,19994,-9311,2788
2013-08-08,2,2013,,,3242,63509,35968,2298,34811,33670,1715,35789,0.67,42469.0,,,68802,,,1493.0,,1924,-1924,,300576,2013年04月01日至2013年06月30日,347512,382323,,347160,376256,320476,95838,5435537,6438065,1002528,1002528,682052,234617,,,0.66,146859,347512,416314,,2471.0,,,1715,178337,154055,,5435537,5435537,6596,6452067,6452067,6438065,7406,352,6067
2013-11-08,3,2013,,,460,803,39818,608,-28260,39210,882,-29770,0.52,-13823.0,,,77970,,,-285.0,,5332,-5332,,283026,2013年07月01日至2013年09月30日,263163,234903,,267316,243215,306726,34407,5464221,6445192,980971,980971,674245,237316,,,0.51,153903,263163,341133,,-1795.0,,,882,195551,180465,,5464221,5464221,6429,6461345,6461345,6445192,9724,-4153,-8312
2014-03-13,4,2013,,,6337,225405,159597,8844,106537,150753,7268,107301,2.42,137484.0,,,276927,,,6032.0,,5078,-5078,,1078905,2013年01月01日至2013年12月31日,1245144,1351681,,1248173,1334928,1149415,372656,20804851,24594872,3790021,3790021,2640606,950783,,-331.0,2.38,610918,1245144,1522071,,6465.0,,,7268,762643,668385,,20804851,20804851,33023,24685438,24685438,24594872,57543,-3029,16753
2014-05-07,1,2014,,,513,34994,56732,2556,3498,54176,3099,2655,0.39,23828.0,,,58854,,,-186.0,,4283,-4283,,237800,2014年01月01日至2014年03月31日,197464,200962,,204433,209067,171974,84344,4525399,5325891,800492,800492,628518,237557,,,0.39,153161,197464,256318,,-1029.0,,,3099,61898,50219,,4525399,4525399,1063,5337941,5337941,5325891,10987,-6969,-8105
2014-08-08,2,2014,,,1860,-7064,66031,8910,-48080,57121,4220,-46575,0.62,0.0,32947.0,,76679,,,-4342.0,,12800,-12800,,259814,2014年第2季,326439,278359,,322850,281146,361171,41947,5509838,6536467,1026629,1026629,665458,247819,,,0.61,157825,326439,403118,,-2837.0,,,4220,52294,24551,,5509838,5509838,2214,6560270,6560270,6536467,21589,3589,-2787
2014-11-11,3,2014,,,1491,70177,49471,546,58236,48925,4453,60508,0.6,47806.0,0.0,,81678,,,3126.0,,-8170,8170,,236062,2014年第3季,315972,374208,,314176,365005,274285,123365,5351567,6287945,936378,936378,662093,257124,,,0.59,168907,315972,397650,,5398.0,,,4453,19617,-4245,,5351567,5351567,921,6350499,6350499,6287945,61633,1796,9203
2015-02-26,4,2014,,,7764,211793,294510,95765,88559,198745,15731,105384,2.11,134235.0,,,283504,,,2630.0,,7832,-7832,,1019696,2014年度,1103988,1192547,,1100657,1180208,904752,482740,20488919,24084814,3595895,3595895,2691143,1015537,,-15374.0,2.08,655910,1103988,1387492,,4081.0,,,15731,217417,132095,,20488919,20488919,4859,24197985,24197985,24084814,108312,3331,12339
2015-05-05,1,2015,,,2102,12460,38401,4681,-29915,33720,4675,-27499,0.23,0.0,4476.0,-29915.0,39685,,,,,932,-932,-4322.0,244086,2015年01月01日至2015年03月31日,115385,85470,,119760,92597,109816,45254,4457678,5217142,759464,759464,649648,256986,,,0.23,148576,115385,155070,,,-1906.0,,4675,94786,75748,,4457678,4457678,2551,5226238,5226238,5217142,6545,-4375,-7127
2015-08-06,2,2015,,,160,-20284,33798,4062,-37101,29736,1657,-38575,0.2,,36980.0,-37101.0,14553,,,,,1847,-1847,-1144.0,234819,2015年第2季,100946,63845,,104339,71332,105489,10010,4219204,4964425,745221,745221,639732,253303,,,0.2,151610,100946,115499,,,-2618.0,,1657,134993,118137,,4219204,4219204,3381,4986593,4986593,4964425,18787,-3393,-7487
2015-11-10,3,2015,,0.0,729,152451,22858,638,120381,22220,162,122087,0.56,115483.0,0.0,120381.0,62282,,,,,949,-949,5893.0,249584,2015年第3季,293081,413462,,291115,400233,181165,174198,4527946,5367137,839191,839191,658026,251240,0.0,,0.55,157202,293081,355363,,,7599.0,,162,-11095,-48792,,4527946,4527946,682,5384316,5384316,5367137,16497,1966,13229
2016-02-24,4,2015,0.0,-16195.0,4264,162321,116060,11825,-42182,104235,7051,-25476,1.29,79634.0,0.0,-25987.0,163115,0.0,0.0,,,4942,-4942,-3795.0,946474,2015年度,671651,629469,0.0,670773,634189,568378,266388,17681335,20836093,3154758,3154758,2586380,1017462,-19382.0,,1.27,622444,671651,834766,-3187.0,,-3284.0,0.0,7051,381275,294324,0.0,17681335,17681335,28699,20967936,20967936,20836093,103144,878,-4720
2016-05-09,1,2016,0.0,0.0,635,46354,16010,763,-13404,15247,0,-13305,0.28,22380.0,0.0,-13404.0,44001,,0.0,,,189,-189,-3.0,198547,2016年01月01日至2016年03月31日,149305,135901,,145110,131380,131131,62175,4007189,4753352,746163,746163,615032,256562,0.0,,0.28,159923,149305,193306,0.0,,96.0,,0,59766,35157,,4007189,4007189,9516,4789956,4789956,4753352,27088,4195,4521
2016-08-09,2,2016,,,1718,1853,26402,11110,-59521,15292,70,-61731,0.28,0.0,4819.0,-59521.0,40265,,,,,-193,193,-3067.0,207591,2016年第2季,149641,90120,,143445,92491,161528,28378,4138050,4938458,800408,800408,638880,253768,,,0.28,177521,149641,189906,,,-5277.0,,70,-49144,-57534,,4138050,4138050,1399,4945626,4945626,4938458,5769,6196,-2371
2016-11-14,3,2016,,,24142,-33636,15724,1737,-83446,13987,73,-85817,0.21,0.0,19751.0,-83446.0,28384,,,,,695,-695,-3474.0,195909,2016年第3季,116068,32622,,106168,31739,163132,-18680,4362219,5171282,809063,809063,645931,265352,,,0.2,184670,116068,144452,,,-5845.0,,73,55358,45101,,4362219,4362219,14530,5199347,5199347,5171282,13535,9900,883
