date,season,year,不重分類至損益之項目總額,借券交易損失,借券及附賣回債券融券回補淨利益（損失）,借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,借券收入,借貸款項手續費收入,備供出售金融資產未實現淨利益（損失）,其他利益及損失淨額,其他營業支出,其他營業收益合計,其他營業費用合計,其他綜合損益淨額,出售票券淨利益（損失）,利息收入,員工福利費用合計,國外營運機構財務報表換算之兌換差額淨額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅利益（費用）,承銷作業手續費支出,承銷業務收入合計,折舊及攤銷費用合計,採用權益法認列之關聯企業及合資之其他綜合損益份額-可能重分類至損益之項目,支出及費用合計,收益合計,會計項目,期貨佣金支出合計,本期其他綜合損益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益,營業外損益合計,營業票券透過損益按公允價值衡量之淨利益（損失）,營業證券出售淨利益（損失）,營業證券透過損益按公允價值衡量之淨利益（損失）,發行認購（售）權證淨利益（損失）,確定福利計畫之再衡量數合計,確定福利計畫精算淨利益（損失）,稀釋每股盈餘合計,結算交割服務費支出合計,經理費收入合計,經紀手續費收入合計,經紀經手費支出合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,股務代理收入,自營經手費支出合計,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅利益（費用）淨額,衍生工具淨利益（損失）－期貨,衍生工具淨利益（損失）－櫃檯,財務成本,財富管理業務淨收益,轉融通手續費支出,非控制權益（淨利／損）,非控制權益（綜合損益）,顧問費收入合計
2013-04-24,1,2013,,0.0,-54589,53117,33331,,105097,69762,7417,-7275,248759,114320.0,203,248892,527101,9223,0.21,,-4092,42,34732,38692,,966309,1220740,2013年01月01日至2013年03月31日,7567,,320101,434421,320101,434421,254431,69762,-78,166619,334518,3318,,,,14176,1676,439951,38743,320101,324193,,13134,11844,,,-9645,-38652,71622,1116,346,0.0,0.0,372
2013-08-21,2,2013,,0.0,-10529,7890,27054,,3493,10082,4762,6014,253726,6939.0,191,224168,431678,3446,0.03,,-54827,811,41132,38713,,857591,954079,2013年04月01日至2013年06月30日,11068,,51743,58682,51743,58682,96488,10082,70,60346,-67962,70047,,,0.03,14531,1974,467131,39495,51743,106570,485.0,13349,5542,,,112835,-2326,57168,1556,97,0.0,0.0,654
2013-11-12,3,2013,,19600.0,-19464,17651,21614,,48637,46659,1806,7580,274176,41742.0,149,235796,499308,-6895,0.12,,-23608,338,32809,39810,,952036,1115290,2013年07月01日至2013年09月30日,9443,,186305,228047,186305,228047,163254,46659,-70,249795,152154,-29822,,,0.12,12621,2522,476415,37283,186305,209913,45862.0,13089,8099,,,-36938,-55887,49432,1396,120,,,639
2014-02-26,4,2013,,20672.0,-81354,22925,99968,,187447,175783,63407,43374,1058500,213986.0,694,968356,1973111,9865,0.56,,-122703,1728,209044,156861,,3786724,4574405,2013年01月01日至2013年12月31日,35320,,840761,1054747,840761,1054747,787681,175783,-338,738041,598076,93137,,20089.0,0.56,51886,8497,1881852,156755,840761,963464,46347.0,52721,32752,,-3415.0,48093,-163032,234775,5703,957,,,2301
2014-05-14,1,2014,,,-34233,-21329,13655,,10904,-5021,2007,23462,257261,20951.0,-1,286824,487330,10047,0.21,,-31201,316,38846,38229,,914014,1272775,2014年01月01日至2014年03月31日,8231,,322539,343490,322539,343490,358761,-5021,250,508624,36125,-38665,,,,10858,1937,540428,43208,322539,353740,,12602,7802,,,20202,-117563,58486,993,286,0.0,0.0,618
2014-08-20,2,2014,,,-52912,59227,9453,,120078,48044,6512,5974,277433,109992.0,138,300163,672691,-10086,0.39,,-20634,149,45774,38687,,1130372,1700717,2014年第2季,6679,,597755,707747,597755,707747,570345,48044,56,332479,556800,-64679,,,0.39,12692,1912,588941,48697,597755,618389,1817.0,13458,9704,,,-50850,-48418,56994,786,134,0.0,0.0,598
2014-11-12,3,2014,,7219.0,-6209,57402,8958,,126950,12008,11033,12216,325875,136498.0,146,308857,472856,9548,0.07,,-32616,32,31215,38986,,997514,1120440,2014年第3季,7223,,102318,238816,102318,238816,122926,12008,-1,416017,-579539,378929,,,0.07,9911,2183,576229,51069,102318,134934,35835.0,12455,12697,,,-116578,-19281,60426,868,187,0.0,0.0,738
2015-02-25,4,2014,,10219.0,-80260,33010,43236,,273200,411013,26974,44600,1160618,271377.0,436,1188543,2212357,32013,0.97,,-129469,753,183120,154857,,4111646,5327626,2014年度,31493,,1497524,1768901,1497524,1768901,1215980,411013,8,1271962,284761,514804,,-40766.0,0.97,60563,7424,2212653,184283,1497524,1626993,38305.0,51147,41248,,6930.0,-241369,-231740,227372,4078,909,,,2908
2015-05-13,1,2015,,,-43437,-9275,11385,,-121659,43448,10826,6928,267458,,22,311077,499728,-6144,0.23,-206184.0,-54012,17,145920,43833,-78381.0,967701,1326377,2015年01月01日至2015年03月31日,9764,-206184.0,348112,141928,348112,141928,358676,43448,456,422711,82888,83031,,,,16450,1102,474276,42962,348112,402124,,12455,9562,,,-109422,-66139,66625,1579,476,0.0,0.0,820
2015-08-19,2,2015,,,-23065,62808,13670,,-125228,84983,12365,13712,307137,,300,307352,520628,-9309,0.09,-134537.0,-69529,255,47586,43187,,1032406,1153609,2015年第2季,9547,-134537.0,136657,2120,136657,2120,121203,84983,-5,388667,-288821,99697,,,0.09,21506,1226,555949,50769,136657,206186,14789.0,13562,10431,,,-46431,-16851,56433,8819,148,0.0,0.0,645
2015-11-11,3,2015,,10097.0,86574,16875,9970,12.0,30841,-192077,25099,8166,291990,,370,276962,546198,59848,0.09,90689.0,33113,210,46683,43243,,1077340,1381305,2015年第3季,13784,90689.0,145001,235690,145001,235690,303965,-192077,25,-270687,179935,298153,,,,25591,1205,521524,54412,145001,111888,28652.0,13373,9178,,,176274,-21088,57133,7323,405,0.0,0.0,1004
2016-02-24,4,2015,-27764.0,10097.0,17698,24503,49728,12.0,-68270,116692,87261,34753,1172440,,1369,1186030,2394220,29679,0.99,-38591.0,-238441,1813,355542,173107,,4451816,6130049,2015年度,44215,-66355.0,1556484,1490129,1556484,1490129,1678233,116692,556,1343655,452514,749186,-33451.0,,,87398,5381,2076739,199167,1556484,1794925,43441.0,52865,38646,5687.0,,-141974,-150941,241920,25781,1532,,,3211
2016-05-11,1,2016,,,-18578,-19998,16245,28.0,-253859,4843,25294,19703,247788,,340,305297,464706,-25096,0.04,-278955.0,5882,386,56809,40695,,946152,1001893,2016年01月01日至2016年03月31日,13279,-278955.0,66466,-212489,66466,-212489,55741,4843,101,218691,-75264,125646,,,,27887,3467,463221,45674,66466,60584,,12963,9294,,,-52126,-58670,70789,3307,360,0.0,,711
2016-08-17,2,2016,,2167.0,-24543,6059,22036,17.0,27639,214346,32143,36459,281879,,1100,300975,533208,-15970,0.28,11669.0,-89694,-342,42410,39750,,1032210,1348589,2016年第2季,10748,11669.0,441031,452700,441031,452700,316379,214346,-78,-52584,173833,149281,,,,24875,2007,417320,43348,441031,530725,13103.0,13677,10189,,,-40156,284953,53910,1960,335,0.0,0.0,760
2016-11-11,3,2016,,17928.0,1770,15603,22452,4.0,-46727,161080,20733,12481,283788,,742,302604,544686,-34852,0.2,-81579.0,32581,71,118785,39429,,1052348,1170493,2016年第3季,10640,-81579.0,311806,230227,311806,230227,118145,161080,-43,593308,-95330,77386,,,,23530,2825,455447,47853,311806,279225,36430.0,12756,9764,,,-265866,-124288,53598,2274,328,0.0,0.0,1153
