date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-13,2,2013,,,-22544,6426,2969,2969,0.37,0.37,,10156,720361,2013年01月01日至2013年06月30日,23681,26650,22571,25540,50141,-16304,775744,1671691,895947,895947,845806,5658,,,0.37,0.37,119787,23681,33837,,,186,1110,1110
2014-03-26,4,2013,,0,-37904,14431,-14904,3532,1.21,1.21,,30193,1416405,2013年01月01日至2013年12月31日,72964,58060,73393,58489,127176,-24019,1477131,3218752,1741621,1741621,1614445,8453,,-22212,1.21,1.21,189587,72964,103157,,-3776,546,-429,-429
2014-05-12,1,2014,,,-2713,8069,421,421,0.49,0.49,,7715,346505,2014年01月01日至2014年03月31日,34050,34471,29499,29920,36624,5141,420048,847699,427651,427651,391027,1746,,,0.49,0.49,42776,34050,41765,,,215,4551,4551
2014-08-11,2,2014,,,-3778,3898,-1819,-1819,0.54,0.54,,7517,289449,2014年第2季,32982,31163,32982,31163,40485,14,238597,613673,375076,375076,334591,3252,,,0.54,0.54,41890,32982,40499,,,106,0,0
2014-11-12,3,2014,,,3079,2742,3084,3084,0.42,0.42,,5315,285833,2014年第3季,26011,29095,26011,29095,25595,5731,279956,635945,355989,355989,330394,2890,,,0.42,0.42,41671,26011,31326,,,90,0,0
2015-03-25,4,2014,,,-233,20151,7205,5618,2.03,2.03,,29927,1165770,2014年度,131426,138631,126875,134080,141922,19431,1158115,2643759,1485644,1485644,1343722,10067,,1912,2.03,2.03,167885,131426,161353,,325,487,4551,4551
2015-05-07,1,2015,,,-1301,3306,-1302,-1302,0.27,0.27,-1302,4859,258874,2015年01月01日至2015年03月31日,18002,16700,18002,16700,20931,1930,261265,581563,320298,320298,299367,2578,,,0.27,0.27,37915,18002,22861,,,75,0,0
2015-08-14,2,2015,,,37,3840,-1741,-1741,0.26,0.26,-1741,5000,254501,2015年第2季,17092,15351,17092,15351,18295,3797,230065,537038,306973,306973,288678,2862,,,0.26,0.26,31315,17092,22092,,,80,0,0
2015-11-10,3,2015,,,4304,3516,4814,4814,0.19,0.19,4814,4800,245973,2015年第3季,12803,17617,12803,17617,9852,7751,218744,516061,297317,297317,287465,1869,,,0.19,0.19,39623,12803,17603,,,69,0,0
2016-03-22,4,2015,7497,,4049,15444,7674,177,1.39,1.39,177,24166,990374,2015年度,92587,100261,92587,100261,97478,19275,984785,2228918,1244133,1244133,1146655,9096,9032,,1.38,1.38,147185,92587,116753,1535,,218,0,0
2016-05-10,1,2016,,,153,4542,-1537,-1537,0.22,0.22,-1537,3311,239691,2016年01月01日至2016年03月31日,14649,13112,14649,13112,13309,4651,222956,508299,285343,285343,272034,1210,,,0.22,0.22,31133,14649,17960,,,44,,
2016-08-09,2,2016,,,-4176,3289,-1252,-1252,0.05,0.05,-1252,1447,248218,2016年第2季,3016,1764,3016,1764,5382,-919,201009,491084,290075,290075,284693,1090,,,0.05,0.05,35385,3016,4463,,,32,,
2016-11-10,3,2016,,,-7046,2395,-2417,-2417,-0.24,-0.24,-2417,-2579,234027,2016年第3季,-16228,-18645,-16218,-18635,-14128,-4679,213272,463802,250530,250530,264658,1502,,,-0.24,-0.24,29129,-16228,-18807,,,28,-10,-10
