date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,-74,958,1225,1476,0.19,,-35,6390,2013年01月01日至2013年03月31日,9351,10576,9351,10576,10223,-907,134458,168467,34009,34009,23786,3573,,,,13823,9351,9316,,251.0,,1791,19.0,169084,168467,598,,
2013-08-08,2,2013,,,1503,812,437,526,0.19,,1826,6679,2013年04月01日至2013年06月30日,9829,10266,9829,10266,11016,639,145479,181731,36252,36252,25236,3354,,,0.19,15203,9829,11655,,89.0,,1676,579.0,182310,181731,0,0.0,0.0
2013-11-08,3,2013,,,939,680,-353,-425,0.13,,798,6204,2013年07月01日至2013年09月30日,6312,5959,6312,5959,7045,65,128272,160134,31862,31862,24817,3357,,,0.13,15256,6312,7110,,-72.0,,1554,202.0,160851,160134,515,0.0,0.0
2014-03-28,4,2013,,0.0,4712,3588,3269,2275,0.7,,4035,26826,2013年01月01日至2013年12月31日,35005,38274,35005,38274,37288,1752,563275,707572,144297,144297,107009,14495,,1664.0,0.7,65688,35005,39040,,670.0,,6548,829.0,713390,707572,4989,,
2014-05-08,1,2014,,,3277,673,47,57,0.25,,1562,6322,2014年01月01日至2014年03月31日,12720,12767,12720,12767,11755,2527,134369,172720,38351,38351,26596,4012,,,0.25,16262,12720,14282,,10.0,,1423,0.0,172720,172720,0,,
2014-08-08,2,2014,,0.0,-3342,579,-648,-861,0.27,,966,7160,2014年第2季,13532,12884,13532,12884,18634,-4136,147756,192783,45027,45027,26393,4110,,,0.27,15123,13532,14498,,-213.0,,1373,5.0,193919,192783,1131,,
2014-11-08,3,2014,,0.0,-246,695,867,1044,0.24,,1886,7736,2014年第3季,12010,12877,12010,12877,14703,-807,144548,186450,41902,41902,27199,4524,,,0.24,14939,12010,13896,,177.0,,1256,86.0,186536,186450,0,,
2015-03-30,4,2014,,,7122,2576,1262,1758,1.09,,6711,29407,2014年度,54305,55567,54305,55567,56585,4431,581596,756001,174405,174405,117820,17062,,-318.0,1.09,71351,54305,61016,,178.0,,5267,93.0,761905,756001,5811,,
2015-05-14,1,2015,0.0,0.0,-10955,1027,-440,-530,0.09,-440.0,2423,8335,2015年第1季,4484,4044,4484,4044,18231,-11324,153019,199321,46302,46302,28071,5103,0.0,,0.09,14633,4484,6907,,,-90.0,1396,,199607,199321,286,,
2015-08-10,2,2015,0.0,0.0,-252,600,-532,-641,0.39,-532.0,6370,10106,2015年第2季,19327,18795,19327,18795,26916,-1219,196558,256751,60193,60193,33277,5034,0.0,,0.39,18137,19327,25697,,,-109.0,1567,14.0,256765,256751,0,,
2015-11-11,3,2015,0.0,0.0,34310,451,4313,5196,0.97,4313.0,6494,7768,2015年第3季,48379,52692,48379,52692,21880,32993,182615,233260,50645,50645,28765,4558,0.0,,0.97,16439,48379,54873,,,883.0,1768,4.0,233264,233260,0,,
2016-03-21,4,2015,-7970.0,,18592,2802,-7829,170,1.45,141.0,14456,36191,2015年度,72685,64856,72685,64856,72176,14965,697916,902935,205019,205019,132843,18823,-9603.0,,1.45,77829,72685,87141,-1633.0,,29.0,6429,34.0,903255,902935,286,,
2016-05-03,1,2016,,,-13540,1225,-363,-437,0.22,-363.0,-454,7155,2016年01月01日至2016年03月31日,11075,10712,11075,10712,24615,-13994,140837,194784,53947,53947,29332,3746,,,0.22,18431,11075,10621,,,-74.0,1679,277.0,196999,194784,1938,,
2016-08-08,2,2016,,,479,622,-2073,-2498,0.77,-2073.0,9276,8689,2016年第2季,38629,36556,38629,36556,48362,-457,186581,264329,77748,77748,29386,3694,,,0.77,17003,38629,47905,,,-425.0,1558,372.0,265499,264329,798,,
2016-11-12,3,2016,0.0,0.0,-24985,640,-2800,-3373,0.08,-2800.0,1473,8181,2016年第3季,3911,1111,3911,1111,31317,-25933,175561,238248,62687,62687,31370,3970,0.0,,0.08,19219,3911,5384,,,-573.0,1588,980.0,239228,238248,0,,
