date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,18261,-235,1145,18261,0.22,0.22,,18,19808,2013年01月01日至2013年03月31日,50474,68735,37074,55335,65512,-15020,146095,291405,145310,145310,79798,,,,,59990,50474,50492,15930,13400,13400
2013-08-07,2,2013,,-2213,-372,2383,-2213,0.26,0.26,,17,21427,2013年04月01日至2013年06月30日,59235,57022,43805,41592,72707,-13455,151734,306171,154437,154437,81730,,,,,60303,59235,59252,15466,15430,15430
2013-11-06,3,2013,,0,-362,12014,0,0.38,0.38,,5,21665,2013年07月01日至2013年09月30日,79465,79465,66042,66042,82937,-3467,151476,317232,165756,165756,82819,,,,,61154,79465,79470,15119,13423,13423
2014-03-25,4,2013,,-8853,-1141,17128,-9215,1.08,1.08,,65,89046,2013年01月01日至2013年12月31日,237969,228754,183594,176661,282888,-44854,605216,1225584,620368,620368,337480,,-362.0,,,248434,237969,238034,60841,54375,52093
2014-05-07,1,2014,,7747,-378,1058,7747,0.3,0.3,,36,21415,2014年01月01日至2014年03月31日,64556,72303,50517,58264,78075,-13483,143390,301323,157933,157933,79858,,,,,58443,64556,64592,14163,14039,14039
2014-08-07,2,2014,,-62253,16923,653,-62253,0.45,0.45,,36,24727,2014年第2季,93660,31407,77505,15252,90839,2857,151903,326292,174389,174389,83550,,,,,58823,93660,93696,14719,16155,16155
2014-11-07,3,2014,,-26561,-745,9243,-26561,0.36,0.36,,25,25119,2014年第3季,75609,49048,61642,35081,82071,-6437,159830,325621,165791,165791,83720,,,,,58601,75609,75634,14935,13967,13967
2015-03-25,4,2014,,-70553,14943,9561,-66993,1.33,1.33,,8459,98258,2014年度,282733,215740,226425,158535,325635,-34443,626454,1289493,663039,663039,337404,,3560.0,1.33,1.33,239146,282733,291192,58947,56308,57205
2015-05-07,1,2015,,-9131,-536,1087,-9131,0.22,0.22,-9131.0,0,19975,2015年01月01日至2015年03月31日,47445,38314,37859,28728,61630,-14185,160153,302024,141871,141871,80241,,,0.22,0.22,60266,47445,47445,14736,9586,9586
2015-08-07,2,2015,0.0,-21304,-525,890,-21304,0.25,0.25,-21304.0,0,20923,2015年第2季,53892,32588,43184,21880,68338,-14446,164047,313829,149782,149782,81444,0.0,,0.25,0.25,60521,53892,53892,14811,10708,10708
2015-11-10,3,2015,,13558,-718,13987,13558,0.36,0.36,13558.0,0,20035,2015年第3季,70622,84180,61159,74717,71738,-1116,167852,320852,153000,153000,81262,,,0.36,0.36,61227,70622,70622,14385,9463,9463
2016-03-25,4,2015,321.0,-19367,-2882,18475,-19046,0.97,0.97,-19367.0,0,84944,2015年度,200255,181209,164322,145102,242067,-41812,684437,1265522,581085,581085,339018,321.0,,0.97,0.97,254074,200255,200255,57405,35933,36107
2016-05-10,1,2016,,15493,-548,838,15493,0.21,0.21,15493.0,0,19222,2016年01月01日至2016年03月31日,45881,61374,36377,51870,58946,-13065,161382,302572,141190,141190,82244,,,,,63022,45881,45881,13355,9504,9504
2016-08-09,2,2016,,830,-763,595,830,0.28,0.28,830.0,73,20548,2016年第2季,60283,61113,48324,49154,73232,-12876,170855,327886,157031,157031,83799,,,0.28,0.28,63251,60283,60356,12708,11959,11959
2016-11-08,3,2016,,277,-1051,11139,277,0.38,0.38,277.0,0,21637,2016年第3季,75514,75791,64145,64422,77899,-2385,172793,335779,162986,162986,85087,,,0.38,0.38,63450,75514,75514,12473,11369,11369
