date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-03,1,2013,-509,395,1158,17333,21496,0.18,0.18,,6402,2013年01月01日至2013年03月31日,14872,32205,14872,32205,24652,-3378,38107,156752,118645,118645,93993,,93993,14872,21274,3654.0,,4931
2013-08-02,2,2013,-15126,-9691,727,-10909,5081,0.08,0.08,,9686,2013年04月01日至2013年06月30日,6297,-4612,6297,-4612,30001,-14018,36776,164036,127260,127260,97259,,97259,6297,15983,864.0,,5054
2013-11-04,3,2013,1043,-1311,806,-9339,-12508,0.15,0.15,,3752,2013年07月01日至2013年09月30日,13407,4068,13407,4068,22768,-5609,37237,168779,131542,131542,108774,,108774,13407,17159,-2126.0,,5104
2014-03-14,4,2013,-12672,-9387,4108,5017,21173,0.44,0.44,,25868,2013年01月01日至2013年12月31日,38068,43085,38068,43085,89629,-25693,149925,646667,496742,496742,407113,138.0,407113,38068,63936,3622.0,,20414
2014-05-05,1,2014,944,172,1635,17088,19451,0.15,0.15,,8828,2014年01月01日至2014年03月31日,12984,30072,12984,30072,25468,-3656,40366,172610,132244,132244,106776,,106776,12984,21812,3307.0,,5463
2014-08-01,2,2014,1678,4,1468,-13348,-18104,0.21,0.21,,14344,2014年第2季,18288,4940,18288,4940,36396,-3764,40251,187451,147200,147200,110804,,110804,18288,32632,-3078.0,,5236
2014-11-05,3,2014,-4235,3438,1768,10002,17152,0.15,0.15,,7691,2014年第3季,13627,23629,13627,23629,21439,-121,40205,173809,133604,133604,112165,,112165,13627,21318,2915.0,,5327
2015-03-12,4,2014,-1847,3563,7790,45787,57391,0.7,0.7,,34027,2014年度,62846,108633,62846,108633,106929,-10056,161828,704273,542445,542445,435516,0.0,435516,62846,96873,9757.0,,21409
2015-05-05,1,2015,1239,2034,1626,-8123,-11279,0.2,0.2,-8123.0,4171,2015年01月01日至2015年03月31日,17913,9790,17913,9790,23756,-1672,42680,169457,126777,126777,103021,,103021,17913,22084,,-1917.0,5332
2015-08-06,2,2015,-3737,158,1182,-15607,-14302,0.16,0.16,-15607.0,12716,2015年第2季,14436,-1171,14436,-1171,31011,-3859,38946,178961,140015,140015,109004,,109004,14436,27152,,-2432.0,5199
2015-11-06,3,2015,1021,-7486,1503,65741,77976,0.2,0.2,65741.0,13073,2015年第3季,19014,84755,19014,84755,45335,-13248,41521,218305,176784,176784,131449,,131449,19014,32087,,13256.0,7265
2016-03-21,4,2015,-1693,-5330,5126,39397,49506,0.6,0.6,39397.0,17350,2015年度,56771,96168,56771,96168,105267,-31146,199363,868056,668693,668693,563426,,563426,56771,74121,,8416.0,30942
2016-05-10,1,2016,724,-1114,716,-32957,-40580,0.22,0.22,-32957.0,16749,2016年01月01日至2016年03月31日,20774,-12183,20774,-12183,49563,-12040,77787,328738,250951,250951,201388,,201388,20774,37523,,-6899.0,11642
2016-08-08,2,2016,928,11,982,5394,5381,0.25,0.25,5394.0,23655,2016年第2季,23405,28799,23405,28799,59013,-11953,73307,332406,259099,259099,200086,,200086,23405,47060,,915.0,12946
2016-11-03,3,2016,-1323,211,827,-50377,-59101,0.09,0.09,-50377.0,9315,2016年第3季,8548,-41829,8548,-41829,38676,-20813,85680,370175,284495,284495,245819,,245819,8548,17863,,-10047.0,21851
