date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,38686,-25856,1853,38769,83,-0.13,,4648,,,20722,2013年01月01日至2013年03月31日,-17685,21084,,-17685,21084,11682,-24719,412797,486442,73645,73645,61963,27823,,,-0.13,13418,-17685,-13037,,,716.0,,412797,486442,0.0,
2013-08-13,2,2013,,,-15313,4415,1348,-15298,15,-0.06,,-1705,,,19853,2013年04月01日至2013年06月30日,-8917,-24215,,-8917,-24215,-15679,5057,444469,486309,41840,41840,57519,26352,,,-0.06,11314,-8917,-10622,,,706.0,,444469,486309,,
2013-11-07,3,2013,,,-2484,-34722,2907,-2524,-40,-0.08,,-2260,,,18898,2013年07月01日至2013年09月30日,-11872,-14396,,-11872,-14396,18385,-32517,462441,536944,74503,74503,56118,27164,,,-0.08,10056,-11872,-14132,,,702.0,,462441,536944,,
2014-03-26,4,2013,,,24708,-52143,9097,25105,78,-0.78,,-15436,,,76218,2013年01月01日至2013年12月31日,-116924,-91819,,-116924,-91819,-87091,-45269,1823679,2011172,187493,187493,274584,111897,,319.0,-0.77,86469,-116924,-132360,,,2223.0,,1823679,2011172,,
2014-05-06,1,2014,,,20356,9809,7957,20412,56,0.19,,2533,,,19055,2014年01月01日至2014年03月31日,28254,48666,,28254,48666,13021,17766,377120,442908,65788,65788,52767,21463,,,0.19,12249,28254,30787,,,0.0,,377120,442908,,
2014-08-12,2,2014,,,-13956,-9588,3633,-14007,-51,0.1,,5170,,,21072,2014年第2季,17297,3290,,17297,3290,28422,-5955,464094,546060,81966,81966,53544,18529,,,0.1,13943,17297,22467,,,0.0,,464094,546060,,
2014-11-10,3,2014,,,-3210,10249,5313,-3122,88,0.29,,9885,,,22135,2014年第3季,50703,47581,,50703,47581,45026,15562,459505,555894,96389,96389,51363,14093,,,0.28,15135,50703,60588,,,0.0,,459505,555894,,
2015-03-30,4,2014,,,38,29556,22219,11017,1030,0.96,,36327,,,90607,2014年度,173421,184438,,173421,184438,157973,51775,1670136,2061113,390977,390977,233004,72656,,9949.0,0.95,69741,173421,209748,,,0.0,,1670136,2061113,,
2015-05-04,1,2015,0.0,0.0,-5752,-2221,7517,-5973,-221,0.27,-5973.0,9980,0.0,0.0,17268,2015年01月01日至2015年03月31日,48724,42751,0.0,48724,42751,53408,5296,326576,429445,102869,102869,49461,14768,0.0,,0.27,17425,48724,58704,0.0,0.0,0.0,0.0,326576,429445,,
2015-08-10,2,2015,,,-1601,-4737,4949,-1776,-175,0.13,-1776.0,13283,,,17831,2015年第2季,23392,21616,,23392,21616,36463,212,298343,381484,83141,83141,46678,13855,,,0.13,14992,23392,36675,,,0.0,,298343,381484,,
2015-11-09,3,2015,,,-5902,11076,3896,-4633,1269,0.33,-4633.0,6191,,,21894,2015年第3季,31912,27279,,31912,27279,23131,14972,306471,386002,79531,79531,56400,14691,,,0.33,19815,31912,38103,,,0.0,,306471,386002,,
2016-03-25,4,2015,,-2023.0,-12104,3018,18958,-13283,844,0.7,-11260.0,23086,,,83082,2015年度,94543,81260,,94543,81260,95655,21974,1243073,1555624,312551,312551,216896,61146,-2023.0,,0.7,72668,94543,117629,,,2.0,,1243073,1555624,,
2016-05-05,1,2016,,,150,-1622,2018,-254,-404,0.09,-254.0,1513,,,25517,2016年01月01日至2016年03月31日,7386,7132,,7386,7132,8503,396,271345,335264,63919,63919,55416,15359,,,0.09,14540,7386,8899,,,,,271345,335264,,
2016-08-04,2,2016,,,-2640,58714,2102,-3338,-698,0.65,-3338.0,10013,,,26549,2016年第2季,53123,49785,,53123,49785,2320,60816,310649,376875,66226,66226,63906,16750,,,0.65,20607,53123,63136,,,0.0,,310649,376875,,
2016-11-07,3,2016,,,-661,-9451,2571,-2365,-1704,0.09,-2365.0,1565,,,31514,2016年第3季,7129,4764,,7641,5276,15574,-6880,427689,505336,77647,77647,62073,15446,,,0.09,15113,7129,8694,,,,,427689,505336,-512.0,-512.0
