date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-04-25,1,2013,,-2153,8592,17610,-1028.0,188.0,,-1839,314,0.15,0.15,,8552,,114182,2013年01月01日至2013年03月31日,42111,40272,42111,40272,26007,24656,367440,562569,195129,195129,168094,16472,,,0.15,0.15,37440,42111,50663,,,1546,367440.0,562381.0
2013-07-26,2,2013,,-3259,-30971,19536,-1370.0,1548.0,,-3173,86,0.04,0.04,,1986,,142052,2013年04月01日至2013年06月30日,10053,6880,10053,6880,24183,-12144,391558,613176,221618,221618,196065,15638,,,0.04,0.04,38375,10053,12039,,,709,391558.0,611628.0
2013-10-25,3,2013,,-488,-15357,15703,-631.0,1216.0,,-573,-85,0.09,0.09,,2969,,126255,2013年07月01日至2013年09月30日,25214,24641,25214,24641,28370,-187,411286,617681,206395,206395,177394,13565,,,0.09,0.09,37574,25214,28183,,,533,411286.0,616465.0
2014-02-27,4,2013,,-27903,-25899,73712,-3403.0,4037.0,-262.0,-26152,469,0.46,0.46,,17583,,506695,2013年01月01日至2013年12月31日,125954,99802,125954,99802,99291,44246,1581837,2408819,826982,826982,724288,64883,,1544.0,0.46,0.46,152710,125954,143537,,,3567,1581837.0,2404782.0
2014-04-29,1,2014,,1758,29342,15892,-277.0,,,1788,30,0.38,,,10282,,124393,2014年01月01日至2014年03月31日,76749,78537,76749,78537,41800,45231,410310,628615,218305,218305,176228,12645,,,0.38,,39190,76749,87031,,,3,,
2014-07-25,2,2014,,-2695,-27899,21575,,,,-3508,-813,0.16,,,2504,,145479,2014年第2季,30390,26882,30390,26882,39220,-6326,411605,645478,233873,233873,194653,12774,,,0.16,,36400,30390,32894,,,2,,
2014-10-24,3,2014,,-6298,-3515,17222,,,,-5340,958,0.27,,,10231,,134431,2014年第3季,54121,48781,54121,48781,50647,13705,443360,676939,233579,233579,182932,12970,,,0.27,,35531,54121,64352,,,2,,
2015-03-20,4,2014,,-6490,1783,79020,,,,-24147,1465,1.07,,,31289,,539518,2014年度,214469,190322,214469,190322,164963,80795,1680388,2597177,916789,916789,751826,56706,,-23038.0,1.07,,155602,214469,245758,,-3916.0,8,,
2015-05-08,1,2015,,1254,-43456,25321,,,,-63,-1317,0.24,,-63.0,11802,,122517,2015年01月01日至2015年03月31日,48273,48210,48273,48210,78211,-18136,389043,639349,250306,250306,172095,11978,,,0.24,,37600,48273,60075,,,1,,
2015-07-24,2,2015,,-4461,-28686,16653,,,,-4124,337,0.34,,-4124.0,11827,,137834,2015年第2季,67815,63691,67815,63691,91676,-12034,448714,728696,279982,279982,188306,12406,,,0.34,,38066,67815,79642,,,1,,
2015-10-30,3,2015,,-13887,28676,21757,,,,-12233,1654,0.6,,-12233.0,20207,-1117.0,116810,2015年第3季,120020,107787,120020,107787,90912,49315,458112,729087,270975,270975,180063,12236,,,0.6,,51017,120020,140227,,,1,,
2016-03-25,4,2015,-19967.0,-12249,-78442,91300,,,,-32872,-656,1.34,,-12905.0,50408,-2812.0,504358,2015年度,268930,236058,268930,236058,309296,10042,1718895,2761204,1042309,1042309,733013,54112,-24056.0,,1.34,,174543,268930,319338,-4089.0,,4,,
2016-04-26,1,2016,,6447,-17077,17703,,,,6328,-119,0.34,,6328.0,14447,-1214.0,109856,2016年01月01日至2016年03月31日,68659,74987,68659,74987,83695,-589,384465,629099,244634,244634,160939,11765,,,0.34,,39318,68659,83106,,,1,,
2016-07-29,2,2016,,5750,751,23736,,,,4990,-760,0.58,,4990.0,16374,-1965.0,149202,2016年第2季,116096,121086,116096,121086,109948,22522,416307,729415,313108,313108,203160,13099,,,0.58,,40859,116096,132470,,,0,,
2016-11-04,3,2016,,1264,-31612,18833,,,,-137,-1401,0.5,,-137.0,18137,-296.0,122120,2016年第3季,99713,99576,99713,99576,130926,-13076,428221,739140,310919,310919,179993,13241,,,0.5,,44632,99713,117850,,,1,,
