date,season,year,不重分類至損益之項目總額,借券及附賣回債券融券回補淨利益（損失）,借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,停業單位損益淨額,備供出售金融資產未實現淨利益（損失）,其他利益及損失淨額,其他營業支出,其他營業收益合計,其他營業費用合計,其他綜合損益淨額,利息收入,員工福利費用合計,國外營運機構財務報表換算之兌換差額淨額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅利益（費用）,承銷業務收入合計,折舊及攤銷費用合計,採用權益法認列之子公司、關聯企業及合資利益之份額,採用權益法認列之子公司、關聯企業及合資損益之份額淨額,採用權益法認列之關聯企業及合資之其他綜合損益份額-不重分類至損益之項目合計,採用權益法認列之關聯企業及合資之其他綜合損益份額淨額,採用權益法認列之關聯企業及合資損益之份額淨額,支出及費用合計,收益合計,會計項目,期貨佣金支出合計,本期其他綜合損益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益,營業外損益合計,營業證券出售淨利益（損失）,營業證券透過損益按公允價值衡量之淨利益（損失）,發行認購（售）權證淨利益（損失）,確定福利計畫之再衡量數合計,確定福利計畫精算淨利益（損失）,稀釋每股盈餘合計,結算交割服務費支出合計,經紀手續費收入合計,經紀經手費支出合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,股務代理收入,自營經手費支出合計,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅利益（費用）淨額,衍生工具淨利益（損失）－期貨,衍生工具淨利益（損失）－櫃檯,財務成本,財富管理業務淨收益,轉融通手續費支出,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,450,496,,-1639,-32670,,51858,223914,45599.0,193345,415648,47238,0.23,,-30877,22536,29321,15932.0,15932.0,,,,819271,1169006,2013年01月01日至2013年03月31日,23062,,302120,347719,301349,346948,349735,-16738,302574,22058,39159,,,0.23,24735,421296,40386,302120,332997,,,26954,,,115234.0,,34943,,308,771,771
2013-08-06,2,2013,,53919,18819,0.0,505,67899,,51922,237632,11895.0,203282,381843,11390,0.14,,-14250,3723,28959,,,,,12547.0,814341,936442,2013年04月01日至2013年06月30日,29326,,188297,200192,186935,198830,122101,80446,48349,-48628,45262,,,0.14,27177,451682,42719,188297,202547,,,32080,,,108112.0,,34505,,100,1362,1362
2013-11-05,3,2013,,14285,-11524,0.0,3637,88582,,153896,251357,-23311.0,183167,449287,-26948,0.32,,-27968,15411,28471,,,,,9801.0,873412,1233319,2013年07月01日至2013年09月30日,22363,,430322,407011,429544,406233,359907,98383,228023,206775,-20043,,,0.32,24167,456923,43466,430322,458290,,,29499,,,6406.0,,24566,,236,778,778
2014-03-26,4,2013,,94983,4438,,26616,219865,,307698,984888,67690.0,788232,1713704,46966,1.03,,-124034,70408,114547,,,,2205.0,55919.0,3399615,4613318,2013年01月01日至2013年12月31日,92254,,1365453,1433143,1361715,1429496,1213703,275784,1015852,303088,17548,,-9756.0,1.03,91219,1804151,169753,1365453,1489487,,,105389,,1659.0,206920.0,,126838,,1023,3738,3647
2014-05-09,1,2014,,-4868,1671,,-29403,-18915,,84243,268377,13526.0,250674,525046,42929,0.35,,-65498,10327,28463,,,,,14914.0,969448,1503083,2014年01月01日至2014年03月31日,20786,,464136,477662,463292,476842,533635,-4001,719337,36371,-59339,,,0.35,16129,515839,45255,464136,529634,,,22943,,,-51172.0,,42215,,234,844,820
2014-08-07,2,2014,,2915,-39700,,-2008,96967,,56484,285667,-40567.0,258436,567423,-38559,0.47,,-104307,13055,28785,,,,,15610.0,1034246,1642453,2014年第2季,15343,,616477,575910,615564,575073,608207,112577,561599,277614,-164538,,,0.46,19099,543191,52157,616477,720784,,,23222,,,133397.0,,42493,,57,913,837
2014-11-05,3,2014,,4290,15487,,6892,221991,,289005,322407,79594.0,268158,392428,72702,0.07,,-27917,8422,28239,,,,,18451.0,919908,809131,2014年第3季,19851,,101748,181342,100887,180274,-110777,240442,-228540,-549892,381704,,,0.08,26996,551076,58576,101748,129665,,,28457,,,69421.0,,42873,,81,861,1068
2015-03-24,4,2014,,195,-52378,,-17051,482484,,478971,1175651,63567.0,1051309,1978845,130913,1.2,,-204082,51230,117581,,,,-4384.0,71854.0,3926272,5163297,2014年度,73655,,1587281,1650848,1583169,1646453,1237025,554338,948258,111138,246305,,-55315.0,1.2,90731,2132591,215801,1587281,1791363,,,95471,,9404.0,195678.0,,178055,,482,4112,4395
2015-05-08,1,2015,0.0,-18559,1372,,3173,571850,,76492,300146,,315616,561244,-27523,0.42,-24350.0,-87075,22164,30542,,,,,28120.0,1085428,1131274,2015年01月01日至2015年03月31日,23780,-24350.0,558741,534391,557454,532999,45846,599970,301941,-71147,-55480,,,0.42,21673,477976,48372,558741,645816,,,22559,,,80899.0,,76887,,225,1287,1392
2015-08-06,2,2015,,30745,24776,,-1851,-11650,50.0,102812,487270,,372604,491207,-31946,0.3,-33797.0,-45609,16361,30644,,,,,22345.0,1245156,1672352,2015年第2季,21049,-33797.0,392282,358485,390849,357113,427196,10695,619816,-259708,13443,,,0.3,27794,583653,60464,392282,437891,,,26394,,,167850.0,,100036,,248,1433,1372
