date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,處分投資損失,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-13,1,2013,,-333.0,7007,3987,585,9679,585.0,2672,0.42,6204.0,0.0,,6253,11062,2013年01月01日至2013年03月31日,31054,40733,31054,40733,32735,4572,96241,193576,97335,97335,64600,6253.0,26616,,,0.41,26922,31054,37307,,,,0.0,2550.0,,0,193767.0,193767,193576,191
2013-08-09,2,2013,,,1503,5376,690,4455,,1826,0.4,,,,7259,12646,2013年04月01日至2013年06月30日,30099,34554,30099,34554,31292,6066,97839,189495,91656,91656,60364,,25796,,,0.39,21922,30099,37358,,-1126.0,,,,,63,,189776,189495,218
2013-11-12,3,2013,,,178,1285,983,-494,,-809,0.46,,,,7682,13920,2013年07月01日至2013年09月30日,34184,33690,34184,33690,39598,2268,106893,206147,99254,99254,59656,,24124,,,0.45,21612,34184,41866,,-137.0,,,,,25,,206347,206147,175
2014-03-24,4,2013,,,12687,15229,3930,19791,,6352,2.0,,,,25225,53120,2013年01月01日至2013年12月31日,149969,169760,149969,169760,156035,19159,421844,828103,406259,406259,250224,,105472,,1243.0,1.96,91632,149969,175194,,491.0,,,,,112,829023.0,829023,828103,808
2014-05-12,1,2014,,,2075,7726,1155,2107,,39,0.56,,,,10436,13143,2014年01月01日至2014年03月31日,41894,44001,41894,44001,43449,8881,122399,235803,113404,113404,69955,,28993,,,0.54,27819,41894,52330,,7.0,,,,,81,236361.0,236361,235803,477
2014-08-08,2,2014,,,89,-4274,3128,-1514,,-1931,0.66,,,,12134,13334,2014年第2季,50641,49127,50641,49127,63921,-1146,128829,257904,129075,129075,65154,,29123,,,0.64,22697,50641,62775,,-328.0,,,,,43,,258328,257904,381
2014-11-10,3,2014,,,1813,-5725,1062,3344,,1844,0.48,,,,9507,13792,2014年第3季,36987,40331,36987,40331,51157,-4663,147680,265427,117747,117747,66590,,28458,,,0.46,24340,36987,46494,,313.0,,,,,9,,266129,265427,693
2015-03-26,4,2014,,,5489,9672,6606,6613,,2917,2.43,,,,45945,52515,2014年度,185536,192149,185536,192149,215203,16278,547291,1031387,484096,484096,268893,,117675,,-1564.0,2.33,98703,185536,231481,,229.0,,,,,133,1033602.0,1033602,1031387,2082
2015-05-12,1,2015,,,1591,-16363,1948,314,,-1538,0.4,,,314.0,7351,15298,2015年01月01日至2015年03月31日,31102,31416,31102,31416,52868,-14415,146656,265852,119196,119196,66328,,30768,,,0.39,20262,31102,38453,,,-261.0,,,,3,,266111,265852,256
2015-08-12,2,2015,,,-819,-2449,1210,-1833,,-1222,1.05,,,-1833.0,12465,16175,2015年第2季,81373,79540,81373,79540,95077,-1239,182073,346435,164362,164362,69285,,34653,,,0.99,18457,81373,93838,,,-208.0,,,,3,,346480,346435,42
2015-11-10,3,2015,,,2747,35796,900,5707,,3566,0.95,,,5707.0,17436,15981,2015年第3季,74499,80206,74499,80206,55239,36696,130120,258675,128555,128555,73316,,35011,,,0.92,22324,74499,91935,,,606.0,,,,83,,258823,258675,65
2016-03-29,4,2015,-2627.0,,2034,22676,5480,-2340,,-2105,2.99,,,287.0,42121,77374,2015年度,230640,228300,230640,228300,244726,28035,563387,1090150,526763,526763,282037,,133667,-3165.0,,2.86,70996,230640,272761,-538.0,,-358.0,,,121.0,148,1090661.0,1090661,1090150,363
2016-05-12,1,2016,,,-3272,-17174,2787,-3406,,-161,0.68,,,-3406.0,14720,14185,2016年01月01日至2016年03月31日,53409,50003,53409,50003,82516,-14387,148584,302194,153610,153610,71094,,37830,,,0.66,19079,53409,68129,,,-27.0,,,,29,,302223,302194,0
2016-08-11,2,2016,,,1215,-2059,1230,-381,,-1923,0.97,,,-381.0,6195,18490,2016年第2季,75668,75287,75668,75287,82692,-829,143052,299539,156487,156487,73795,,37919,,,0.94,17386,75668,81863,,,-327.0,,,,73,,300012,299539,400
2016-11-10,3,2016,,,-25406,7054,961,-27105,,-2047,0.72,,,-27105.0,11964,14816,2016年第3季,56740,29635,56740,29635,60816,7888,134814,259503,124689,124689,63873,,34146,,,0.7,14911,56740,68704,,,-348.0,,,127.0,24,,259598,259503,71
