date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,2852,4436,,-2238,-2238,-0.47,-0.47,,188,,-199.0,16582,2013年01月01日至2013年03月31日,-29579,-31817,-29579,-31817,-35729,6338,68962,75668,6706,6706,42435,9172,,16681,-29579,-29391,,,,751,,,,,
2013-08-09,2,2013,,1463,608,,4864,4864,-0.53,-0.53,,4453,,-87.0,16016,2013年04月01日至2013年06月30日,-33612,-28748,-33612,-28748,-31059,1900,68675,79336,10661,10661,41720,9333,,16371,-33612,-29159,,,,84,,,,,
2013-11-12,3,2013,,-618,27,,3412,3412,-0.84,-0.84,,11165,,121.0,16599,2013年07月01日至2013年09月30日,-52931,-49519,-52931,-49519,-41027,-739,50550,52908,2358,2358,43385,8428,,18358,-52931,-41766,,,,269,,,,,
2014-03-10,4,2013,3211.0,4380,6616,,14596,9387,-2.6,-2.6,,21859,277.0,667.0,61573,2013年01月01日至2013年12月31日,-163887,-149291,-163887,-149291,-152274,10246,244343,257083,12740,12740,165014,34033,1721.0,69408,-163887,-142028,0.0,,,1417,,,,,
2014-05-13,1,2014,-546.0,-19,756,,1788,2334,-0.46,-0.46,,341,,618.0,7503,2014年01月01日至2014年03月31日,-29545,-27757,-29545,-27757,-30465,1261,24593,23129,-1464,-1464,29001,5835,,15663,-29545,-29204,,,,94,,,,,
2014-08-13,2,2014,-5952.0,-5362,1824,0.0,-10702,-4750,-0.42,,,0,,748.0,8691,2014年第2季,-27707,-38409,-27707,-38409,-24864,-2843,35570,40873,5303,5303,30167,5476,,16000,-27707,-27707,,,,53,35570.0,35570.0,40873.0,0.0,0.0
2014-11-14,3,2014,0.0,-6832,7256,,-4502,-4502,-0.28,,,245,,0.0,8163,2014年第3季,-18266,-22768,-18266,-22768,-18425,404,33879,40570,6691,6691,25116,4259,,12694,-18266,-18021,,,,20,33879.0,33879.0,40570.0,,
2015-03-31,4,2014,-9206.0,-7406,4154,,-17084,-7878,-2.16,-2.16,,24571,0.0,1366.0,33456,2014年度,-141498,-158582,-141498,-158582,-112776,-4151,136007,141656,5649,5649,118425,18330,0.0,66639,-141498,-116927,0.0,,,2265,,,,,
2015-05-13,1,2015,1.0,-2436,108,,-11885,-11886,-0.11,-0.11,-11885.0,1525,,0.0,9535,2015年01月01日至2015年03月31日,-8998,-20883,-8998,-20883,-5010,-2463,16865,34934,18069,18069,23079,2048,,11496,-8998,-7473,,,,135,,,,,
2015-08-13,2,2015,3450.0,-2287,2776,0.0,5463,2013,-0.35,,5463.0,12616,,0.0,10693,2015年第2季,-29573,-24110,-29573,-24110,-17316,359,14384,21382,6998,6998,24314,2125,,11496,-29573,-16957,,,,130,14384.0,14384.0,21382.0,0.0,0.0
2015-11-12,3,2015,0.0,-1316,11658,,3927,11139,-0.11,,3927.0,5531,,0.0,7696,2015年第3季,-10334,-6407,-10334,-6407,-15048,10245,14739,19964,5225,5225,20273,2503,,10074,-10334,-4803,,,-7212.0,97,14739.0,14739.0,19964.0,,
2016-03-28,4,2015,4429.0,8792,8584,,5419,990,-0.68,-0.68,5419.0,19672,,0.0,27940,2015年度,-59903,-54484,-59903,-54484,-57195,16964,63000,82782,19782,19782,76977,7329,,41708,-59903,-40231,,0.0,,412,,,,,
2016-05-12,1,2016,0.0,-81,210,,-1,-1,-0.07,-0.07,-1.0,-4,,,0,2016年01月01日至2016年03月31日,-6227,-6228,-6227,-6228,-6360,129,12541,10193,-2348,-2348,4012,604,,3408,-6227,-6231,,,,0,,,,,
2016-08-12,2,2016,0.0,1947,1685,,0,0,-0.08,,0.0,-1,,,322,2016年第2季,-7822,-7822,-7822,-7822,-11372,3549,11981,5578,-6403,-6403,4969,441,,4206,-7822,-7823,,,,83,11981.0,11981.0,5578.0,0.0,0.0
2016-11-10,3,2016,0.0,219,4131,,-1,-1,-0.03,,-1.0,0,,,0,2016年第3季,-2979,-2980,-2979,-2980,-7329,4350,6989,2765,-4224,-4224,3105,0,,3105,-2979,-2979,,,0.0,0,6989.0,6989.0,2765.0,,
