date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-13,2,2013,,,836328,351430,304041,,748736,54584,1.16,,,,281735,,,49302,2013年01月01日至2013年06月30日,,1038800,1787536,974984,1296175,765465,555070,8005344,9359922,1354578,1354578,589113,265453,,,1.15,,274358,1038800,,1320535,,142176,,100401,63816,491361
2013-11-13,3,2013,,,-179911,-28171,62552,,-159201,-9875,0.74,,,,157039,,,33788,2013年07月01日至2013年09月30日,,637143,477942,625866,560286,801901,-7719,3988364,5111888,1123524,1123524,321623,137164,,,0.73,,150671,637143,,794182,,-30585,,42100,11277,-82344
2014-03-10,4,2013,,,62249,963938,444000,0,78294,62182,2.76,,0,,648920,,,107706,2013年01月01日至2013年12月31日,0,2702200,2780494,2323254,2319039,2126187,1224933,15969222,19361930,3392708,3392708,1266521,564928,,-42167,2.72,,593887,2702200,,3351120,,3970,,183005,378946,461455
2014-04-29,1,2014,,,-783148,887150,45103,,-645777,4236,1.05,,,,257426,,,27304,2014年01月01日至2014年03月31日,,1265246,619469,882601,626183,628217,894455,4013916,4989022,975106,975106,346889,169973,,,,,149612,1265246,,1522672,,-133135,,37798,382645,-6714
2014-08-12,2,2014,,0.00,0,-143604,57105,,-25925,-25925,0.57,,,,281407,,,24364,2014年第2季,,510749,484824,495330,482874,910911,-118755,4146646,5413399,1266753,1266753,355842,169038,,,0.57,,162440,510749,0.57,792156,,0,,32256,15419,1950
2014-11-12,3,2014,,,0,15283,56727,,36293,36293,1.08,,,,198801,,,26876,2014年第3季,,989119,1025412,933015,950391,1149633,38287,4318105,5806281,1488176,1488176,338543,164018,,,1.07,,147649,989119,,1187920,,0,,33723,56104,75021
2015-03-12,4,2014,,,-783149,906550,251356,,-597214,61870,3.86,,,,957156,,,101901,2014年度,,3828180,3230966,3318633,3082458,3768234,1017102,16833516,22005131,5171615,5171615,1403381,679626,,-11598,3.83,,621854,3828180,,4785336,,-135663,,140804,509547,148508
2015-05-04,1,2015,0,,0,-8633,60758,,-14432,-14432,0.82,,,-14432,150021,,4118,25487,2015年01月01日至2015年03月31日,,732603,718171,706265,699323,864474,18150,4015652,5218138,1202486,1202486,338012,170931,0,,0.81,,141594,732603,0.82,882624,0,,0,38093,26338,18848
2015-08-10,2,2015,0,0.00,0,-57163,55953,,-19408,-19408,0.58,,,-19408,227040,,8341,28692,2015年第2季,,514224,494816,503489,516561,771358,-30094,3944894,5069135,1124241,1124241,352883,169692,0,,0.58,,154499,514224,0.58,741264,0,,0,37225,10735,-21745
2015-11-12,3,2015,0,,0,177632,61442,,73533,73533,0.65,0.65,,73533,123075,,8307,20037,2015年第3季,,583471,657004,583471,657004,493809,212737,3963118,4827089,863971,863971,370162,187530,0,,0.65,0.65,162595,583471,,706546,0,,0,34644,0,0
2016-03-10,4,2015,-34824,,0,144437,252047,,-47200,-12376,2.54,2.54,,-12376,595195,-165,31269,94649,2015年度,,2267542,2220342,2230469,2205275,2578454,284283,15781044,19869391,4088347,4088347,1509893,747779,-41758,,2.51,2.51,667465,2267542,,2862737,-7099,,0,143470,37073,15067
2016-08-10,2,2016,,,,-6512,76892,,-67102,-67102,0.37,0.37,,-67102,108281,,7842,21018,2016年第2季,,314870,247768,314870,247768,401393,21758,3930165,4727088,796923,796923,395530,217457,,,0.36,0.36,157055,314870,,423151,,,,56464,0,0
2016-11-10,3,2016,,,,-170690,52998,,-87315,-87315,0.30,0.30,,-87315,78312,,7098,19870,2016年第3季,,255060,167745,255060,167745,487465,-154093,4061227,5015601,954374,954374,466909,217221,,,0.30,0.30,229818,255060,,333372,,,,43499,0,0
