date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,51539,5057,96504,96504,0.31,0.31,,95014,29372,2013年01月01日至2013年03月31日,82066,178570,81328,173972,160878,16202,3062395,3488259,425864,425864,264986,,99554,,0.31,0.31,136060,82066,177080,,,,40394,738,4598
2013-05-09,1,2014,,27430,1207,-1551,-1551,-1.57,-1.57,,0,18870,2014年01月01日至2014年03月31日,-427926,-429477,-420853,-425169,-382995,-44931,1792757,1733029,-59728,-59728,323267,,150084,,-1.57,-1.57,154313,-427926,-427926,,,,73568,-7073,-4308
2013-08-13,2,2013,,-8046,3229,62653,62653,-1.59,-1.59,,41762,43146,2013年04月01日至2013年06月30日,-429854,-367201,-422403,-360943,-343360,-44732,2672258,2611549,-60709,-60709,282651,,101557,,0.0,0.0,137948,-429854,-388092,,,,39915,-7451,-6258
2013-11-12,3,2013,,-3063,2938,-43024,-43024,-1.39,-1.39,,-44012,25230,2013年07月01日至2013年09月30日,-384277,-427301,-372926,-413541,-385344,-42945,2112454,2068535,-43919,-43919,341425,,156039,,0.0,0.0,160156,-384277,-428289,,,,42820,-11351,-13760
2014-03-27,4,2013,,144318,14250,193110,193110,-4.74,-4.74,,47739,122453,2013年01月01日至2013年12月31日,-1289992,-1096882,-1265534,-1076109,-1238086,-4167,9914062,9978690,64628,64628,1302714,,567336,,0.0,0.0,612925,-1289992,-1242253,,0.0,,162735,-24458,-20773
2014-08-12,2,2014,,23152,3921,-63823,-63823,-1.63,-1.63,,460,22492,2014年第2季,-447050,-510873,-437090,-498596,-400926,-45664,1899559,1831205,-68354,-68354,332572,,183895,,0.0,0.0,126185,-447050,-446590,,,,72737,-9960,-12277
2014-11-11,3,2014,,41083,4367,87978,87978,-1.04,-1.04,,-8654,23110,2014年第3季,-288520,-200542,-279145,-193545,-265882,-31292,2230411,2331529,101118,101118,367000,,169359,,-1.04,-1.04,174531,-288520,-297174,,,,76742,-9375,-6997
2015-03-26,4,2014,,-350593,11511,109247,109247,-7.93,-7.93,,-3380,93817,2014年度,-2168973,-2059726,-2132341,-2029838,-1517936,-654417,8113133,7894843,-218290,-218290,1299646,,589980,,0.0,0.0,615849,-2168973,-2172353,,0.0,,315335,-36632,-29888
2015-03-29,4,2015,1397.0,-1999789,9170,-41840,-43237,-19.1,-19.1,-43237.0,-2133,94836,2015年度,-5164584,-5206424,-5131600,-5175162,-2876133,-2290584,7456034,5639338,-1816696,-1816696,1059437,,259297,1397.0,0.0,0.0,705304,-5164584,-5166717,,,0.0,299965,-32984,-31262
2015-05-12,1,2015,1397.0,406665,2768,-28541,-28356,-1.42,-1.42,-29938.0,0,22311,2015年01月01日至2015年03月31日,-393082,-421623,-382902,-411207,-727788,334706,1794417,1290563,-503854,-503854,223934,-1582.0,72025,1397.0,-1.42,-1.42,129598,-393082,-393082,0.0,,0.0,74727,-10180,-10416
2015-08-10,2,2015,0.0,-2046033,2140,-47862,-51049,-11.07,-11.07,-47862.0,1363,26003,2015年第2季,-2983628,-3031490,-2974756,-3021241,-866697,-2115568,1637900,964029,-673871,-673871,192826,3187.0,78219,0.0,-11.07,-11.07,88604,-2983628,-2982265,0.0,,0.0,71675,-8872,-10249
2015-11-12,3,2015,0.0,-12074,2325,52084,53689,-2.1,-2.1,52084.0,136,25233,2015年第3季,-570922,-518838,-564222,-515517,-484394,-86392,2050135,1769747,-280388,-280388,204006,-1605.0,63322,0.0,-2.1,-2.1,115451,-570922,-570786,0.0,,0.0,76643,-6700,-3321
2016-05-12,1,2016,0.0,703612,1331,1507,1507,0.06,0.06,1507.0,0,12989,2016年01月01日至2016年03月31日,10392,11899,16640,18601,-626564,636956,1112995,618383,-494612,-494612,131952,0.0,42851,0.0,0.06,0.06,76112,10392,10392,0.0,,0.0,67987,-6248,-6702
2016-08-09,2,2016,0.0,408520,2544,-8174,-8174,-0.01,,-8174.0,649,15332,2016年第2季,-5614,-13788,-3797,-12010,-347300,342335,740079,497554,-242525,-242525,104775,0.0,31144,0.0,,,58299,-5614,-4965,0.0,,0.0,68729,-1817,-1778
2016-11-09,3,2016,0.0,180127,1600,-12114,-12114,-1.1,,-12114.0,41,11586,2016年第3季,-190894,-203008,-185799,-197284,-331992,141139,858268,681724,-176544,-176544,155448,0.0,46595,0.0,,,97267,-190894,-190853,0.0,,0.0,40588,-5095,-5724
