date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,8205,4958,37168,37168,0.17,,10339,632,36869,2013年01月01日至2013年03月31日,14647,51815,14782,49681,15075,9911,796769,924986,128217,128217,113142,9917,,,0.17,66356,14647,24986,3884,796769,924986,-135,2134
2013-08-14,2,2013,,2476,5928,23665,23665,0.37,,14264,1430,38215,2013年04月01日至2013年06月30日,33105,56770,31034,53321,41598,5771,913245,1074852,161607,161607,120009,11482,,,0.37,70312,33105,47369,4063,913245,1074852,2071,3449
2013-11-13,3,2013,,-8482,6513,-12526,-12526,0.26,,9017,-492,38375,2013年07月01日至2013年09月30日,23506,10980,21905,10028,38958,-6435,911122,1068986,157864,157864,118906,10769,,,0.26,69762,23506,32523,3974,911122,1068986,1601,952
2014-03-26,4,2013,,6633,23434,73644,72923,1.07,,52195,1144,160500,2013年01月01日至2013年12月31日,96658,170302,91374,160732,133606,15247,3555687,4171620,615933,615933,482327,44246,,721.0,1.07,277581,96658,148853,15964,3555687,4171620,5284,9570
2014-05-09,1,2014,,1564,6273,13937,13937,0.24,,11667,-53,37686,2014年01月01日至2014年03月31日,21323,35260,20507,33692,30096,2894,807937,956183,148246,148246,118150,11997,,,0.24,68467,21323,32990,4890,807937,956183,816,1568
2014-08-13,2,2014,,-8436,8010,-24075,-24075,0.34,,17237,-1602,37922,2014年第2季,29997,5922,28700,5911,54217,-6983,945845,1131738,185893,185893,131676,15596,,,0.34,78158,29997,47234,4955,945845,1131738,1297,11
2014-11-12,3,2014,,6942,6377,21317,21317,0.5,,13109,1662,37241,2014年第3季,43750,65067,42672,62720,45581,11278,877334,1036844,159510,159510,113929,13277,,,0.5,63411,43750,56859,3703,877334,1036844,1078,2347
2015-03-25,4,2014,,28112,28496,78112,78355,1.21,,71953,2344,155499,2014年度,106778,184890,103186,177054,138399,40332,3462551,4107407,644856,644856,506457,57600,,-243.0,1.21,293358,106778,178731,18620,3462551,4107407,3592,7836
2015-05-13,1,2015,,-4052,7196,-35332,-35332,0.08,-35332.0,9819,-1116,44004,2015年01月01日至2015年03月31日,7231,-28101,6535,-27428,18665,-1615,706058,848446,142388,142388,123723,16244,,,0.08,63475,7231,17050,3643,706058,848446,696,-673
2015-08-11,2,2015,,-11098,8827,-9824,-9824,0.24,-9824.0,10984,-1701,40602,2015年第2季,20556,10732,20089,11063,39157,-7617,747860,911892,164032,164032,124875,17048,,,0.24,67225,20556,31540,3645,747860,911892,467,-331
2015-11-11,3,2015,,34662,7425,34426,34426,0.48,34426.0,19491,625,45202,2015年第3季,41653,76079,40753,73342,22220,38924,731035,886433,155398,155398,133178,17660,,,0.48,70316,41653,61144,3788,731035,886433,900,2737
2016-03-28,4,2015,-6627.0,-16601,32751,-47661,-41034,0.96,-41034.0,56002,-2711,180457,2015年度,85521,37860,82021,36447,142762,-1239,2939246,3602175,662929,662929,520167,69472,-6627.0,,0.96,270238,85521,141523,14678,2939246,3602175,3500,1413
2016-05-09,1,2016,,-26858,7203,-37032,-37032,-0.03,-37032.0,14358,-604,50570,2016年01月01日至2016年03月31日,-3231,-40263,-2645,-38514,34543,-23416,591832,761012,169180,169180,134637,15373,,,-0.03,68694,-3231,11127,3157,591832,761012,-586,-1749
2016-08-10,2,2016,,-2124,10346,-56623,-56623,0.55,-56623.0,14416,-1042,47943,2016年第2季,48742,-7881,47156,-7691,59248,3910,660665,851547,190882,190882,131634,9010,,,0.55,74681,48742,63158,3270,660665,851547,1586,-190
2016-11-10,3,2016,,-14595,6363,-79063,-79063,0.23,-79063.0,23053,-262,50329,2016年第3季,21020,-58043,18934,-57605,55642,-11569,680720,868220,187500,187500,131858,12400,,,0.22,69129,21020,44073,3075,680720,868220,2086,-438
