date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,0.0,32456,12182,24822,24807.0,0.78,,,,12789,,,-36,,,53855,2013年01月01日至2013年03月31日,3131.0,71530,96352,71530,96352,43475,40844,516639,656087,139448,136317,92842,13292,,,0.78,,25695,71530,84319,,-15.0,,3758,,656087.0,,
2013-08-07,2,2013,,0.0,17558,2235,7536,9080.0,0.54,,,,25797,,,-10,,,60491,2013年04月01日至2013年06月30日,-1561.0,49838,57374,49838,57374,59677,15958,638848,797501,158653,160214,100537,14543,,,0.54,,25503,49838,75635,,1544.0,,3825,,797501.0,0.0,0.0
2013-11-12,3,2013,,0.0,-10376,2550,-5427,-5427.0,0.37,,,,7396,,,775,,,64806,2013年07月01日至2013年09月30日,-927.0,34113,28686,34113,28686,52806,-11297,559981,720010,160029,160956,108150,17995,,,0.37,,25349,34113,41509,,,,4246,,,0.0,0.0
2014-03-18,4,2013,,,58103,18928,33764,33700.0,2.57,2.57,3503.0,,62961,,,4252,,,249165,2013年01月01日至2013年12月31日,,235978,269742,235978,269742,233598,65341,2338565,2992668,654103,657606,424008,63623,,64.0,2.56,2.56,111220,235978,298939,,,,15942,,,0.0,0.0
2014-05-13,1,2014,,,14285,1730,-297,-297.0,0.74,,2754.0,,12876,,,367,,,67714,2014年01月01日至2014年03月31日,,71518,71221,67768,67471,72901,11493,668793,855140,186347,189101,116200,18400,,,,,30086,71518,84394,,,,4889,668793.0,855140.0,3750.0,3750.0
2014-08-12,2,2014,,,-24299,5640,-8757,,0.44,,398.0,,19552,,-8757.0,859,,,85136,2014年第2季,,42022,33265,40498,31741,85183,-23609,777214,999573,222359,222757,137574,20055,,,0.44,,32383,42022,61574,,,,5809,,,1524.0,1524.0
2014-11-11,3,2014,,,12287,5592,11606,,0.75,,166.0,,14247,,11606.0,1326,,,83872,2014年第3季,,70210,81816,69209,80815,72253,12204,752329,959291,206962,207128,134875,20212,,,0.75,,30791,70210,84457,,,,7001,,,1001.0,1001.0
2015-03-11,4,2014,,,48808,19421,12665,18611.0,2.97,,3928.0,,82060,,0.0,9344,,,334105,2014年度,,279778,292443,272871,288065,308360,53478,3059319,3913307,853988,857916,549556,80396,,-5946.0,2.96,,135055,279778,361838,,,,24095,,,6907.0,4378.0
2015-05-13,1,2015,,,-59490,114179,-4837,-5828.0,0.73,,-2568.0,-4837.0,28103,,,-924,,,80831,2015年01月01日至2015年03月31日,,66214,61377,66809,61972,47448,46869,719464,911947,192483,189915,142467,20325,,,0.72,,41311,66214,94317,,,-991.0,6896,,,-595.0,-595.0
2015-08-07,2,2015,,,-16658,2901,-7444,,0.09,,1565.0,-7444.0,9472,,,1983,-8968.0,,75547,2015年第2季,0.0,9613,2169,8253,809,38801,-19716,800206,969531,169325,170890,132089,21475,,,0.01,,35067,9613,19085,,,-1524.0,7942,,,1360.0,1360.0
