date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,勞務收入合計,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,44821,17858,2207,2207.0,44821,,0.47,,9447,2097,2013年01月01日至2013年03月31日,49525,94346,49520,94331,1295907,1362546,1362546.0,37225,21747,1295907,1362546,66639,66639,29414,,,,,0.47,29414,49525,58972,,,415,5,15
2013-08-12,2,2013,,74701,11527,10272,10272.0,74701,6878.0,0.48,,5268,246,2013年04月01日至2013年06月30日,50820,125521,50818,125503,1203070,1259493,,34319,21769,1203187,1267607,64420,64420,30101,,,117.0,1236.0,0.48,30101,50820,56088,,,276,2,18
2013-11-12,3,2013,,-12449,-1272,21021,21021.0,-12449,2340.0,0.41,,6767,1159,2013年07月01日至2013年09月30日,43791,31342,43788,31341,1374286,1433474,,29858,20700,1374402,1437058,62656,62656,32798,,,116.0,1244.0,0.41,32798,43791,50558,,,208,3,1
2014-03-26,4,2013,,89632,30175,48078,,90502,2553.0,1.68,,29304,591,2013年01月01日至2013年12月31日,177827,268329,177817,268300,5706413,5965759,,129241,77890,5706880,5973224,266344,266344,137103,,870.0,467.0,4912.0,1.68,137103,177827,207131,,,954,10,29
2014-05-13,1,2014,,-19113,-5502,1884,,-19113,0.0,0.72,,16793,1113,2014年01月01日至2014年03月31日,76140,57027,76141,57032,1503542,1639133,,95614,-2681,1503659,1640362,136703,136703,41089,,,117.0,1229.0,0.72,41089,76140,92933,,,176,-1,-5
2014-08-12,2,2014,,-26105,-8012,6441,,-26105,0.0,0.49,,21910,-94,2014年第2季,52445,26340,52447,26348,1184700,1293907,,76176,-1821,1184817,1295143,110326,110326,34150,,,117.0,1236.0,0.49,34150,52445,74355,,,156,-2,-8
2014-11-12,3,2014,,-11487,530,20683,,-11487,0.0,0.34,,5337,1184,2014年第3季,35813,24326,35809,24325,971661,1025844,,18908,22242,971777,1027088,55311,55311,36403,,,116.0,1244.0,0.34,36403,35813,41150,,,155,4,1
2015-03-19,4,2014,,-52020,-7898,37069,,-47917,0.0,1.68,,46811,792,2014年度,177846,129929,177846,129941,5146920,5519908,,195372,29285,5147387,5524861,377474,377474,182102,,4103.0,467.0,4953.0,1.68,182102,177846,224657,,,678,0,-12
2015-05-12,1,2015,-119.0,6389,6885,5487,,6270,,0.21,6389.0,2967,2844,2015年01月01日至2015年03月31日,22349,28619,22347,28615,1106352,1163109,,10416,14900,1106469,1164338,57869,57869,47453,-119.0,,117.0,1229.0,0.21,47453,22349,25316,0.0,0.0,316,2,4
2015-08-11,2,2015,0.0,-61759,-9782,6191,,-61759,,0.29,-61759.0,4427,-760,2015年第2季,30521,-31238,30523,-31222,1136358,1215343,,39307,-4359,1136475,1216579,80104,80104,40797,0.0,,117.0,1236.0,0.29,40797,30521,34948,0.0,0.0,8,-2,-16
2015-11-11,3,2015,0.0,-34926,-18047,24879,,-34926,,0.81,-34926.0,21938,-1580,2015年第3季,86089,51163,86089,51172,1641101,1786211,,102833,5194,1641217,1787455,146238,146238,43405,0.0,,116.0,1244.0,0.81,43405,86089,108027,0.0,0.0,58,0,-9
2016-03-24,4,2015,-3031.0,-95832,-39241,37104,,-98863,0.0,1.27,-95832.0,30875,110,2015年度,134379,35516,134382,35540,5491603,5852512,,167782,-2528,5492069,5857465,365396,365396,197614,-3031.0,,466.0,4953.0,1.27,197614,134379,165254,0.0,0.0,501,-3,-24
2016-05-10,1,2016,0.0,-1704,-3224,304,,-1704,,0.45,-1704.0,12373,412,2016年01月01日至2016年03月31日,47690,45986,47691,45988,1801607,1912067,,62602,-2539,1801724,1913206,111482,111482,48880,0.0,,117.0,1139.0,0.45,48880,47690,60063,0.0,0.0,31,-1,-2
2016-08-09,2,2016,0.0,13629,446,779,,13629,,0.43,13629.0,10516,-37,2016年第2季,45122,58751,45122,58748,2135981,2229442,,54506,1132,2136097,2230768,94671,94671,40165,0.0,,116.0,1326.0,0.43,40165,45122,55638,0.0,0.0,56,0,3
2016-11-09,3,2016,0.0,-17888,3460,17123,,-17888,,0.88,-17888.0,16549,591,2016年第3季,93470,75582,93464,75579,2029330,2160196,,88859,21160,2029447,2161440,131993,131993,43134,0.0,,117.0,1244.0,0.88,43134,93470,110019,0.0,0.0,14,6,3
