date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,1514,,2935,14626,24083,22772,0.32,,,,4619,,0.0,103611,2013年01月01日至2013年03月31日,,36911,60994,,37419,61502,24738,16792,242752,461669,218917,218917,194179,45603,,,0.32,,44965,36911,,41530,,203.0,,,769,,-508,-508.0
2013-08-12,2,2013,,,4839,,33160,9426,12597,7415,0.48,,,,6244,,0.0,109300,2013年04月01日至2013年06月30日,,57439,70036,,58607,70907,21884,41799,297955,530761,232806,232806,210922,51185,,,0.48,,50437,57439,0.48,63683,,-343.0,,,787,,-1168,-871.0
2013-11-12,3,2013,,,68486,,-854,21499,58405,-10814,0.18,,,,20954,,0.0,109445,2013年07月01日至2013年09月30日,,20725,79130,,22564,81266,23238,18441,285731,519162,233431,233431,210193,48368,,,0.18,,52380,20725,0.18,41679,,-733.0,,,2204,,-1839,-2136.0
2014-03-27,4,2013,,,111707,,29255,54996,131207,33599,1.0,1.0,,,31207,,0.0,358981,2013年01月01日至2013年12月31日,,117895,249102,,122036,253149,70244,78858,1164617,2095978,931361,931361,861117,195716,,-17939.0,0.99,0.99,306420,117895,,149102,,-3840.0,,,5393,,-4141,-4047.0
2014-05-12,1,2014,,,0,,8233,18767,1874,2138,0.32,,,,17757,,0.0,71948,2014年01月01日至2014年03月31日,,38657,40531,,39151,41037,30646,25768,247515,474240,226725,226725,196079,42395,,,0.32,,81736,38657,0.32,56414,,264.0,,,1232,,-494,-506.0
2014-08-12,2,2014,,,-16590,,-1563,12559,-30444,-13867,0.38,,,,3616,,,77046,2014年第2季,,46527,16083,,47101,16850,40089,10054,295107,548586,253479,253479,213390,47865,,,0.38,,88479,46527,0.38,50143,,-13.0,,,942,,-574,-767.0
2014-11-11,3,2014,,0.0,-20000,,-3769,16856,-1308,18685,0.45,,0.0,,5707,,,79134,2014年第3季,0.0,59356,58048,,59414,57854,52945,12118,283656,545813,262157,262157,209212,42395,,,0.45,,87683,59356,0.45,65063,,-7.0,,,969,,-58,194.0
2015-03-20,4,2014,,0.0,-56591,,5145,65800,-33508,31865,1.35,,0.0,,39268,,,335690,2014年度,0.0,175134,141626,,177172,143321,147592,66810,1158308,2166790,1008482,1008482,860890,178520,,-10452.0,1.34,,346680,175134,1.34,214402,,-1670.0,,,4135,,-2038,-1695.0
2015-05-08,1,2015,0.0,0.0,33,,-9550,13329,-7927,-8114,0.36,,0.0,-7927.0,4424,0.0,,88008,2015年01月01日至2015年03月31日,0.0,46307,38380,0.0,46785,38948,48090,2641,225980,468113,242133,242133,194043,47013,0.0,,0.36,,59022,46307,0.36,50731,0.0,,-154.0,0.0,1138,0.0,-478,-568.0
2015-08-11,2,2015,0.0,0.0,0,,-10218,10964,-13662,-13749,0.31,,0.0,-13662.0,-1063,0.0,,108787,2015年第2季,0.0,40117,26455,0.0,40465,26927,39094,-40,259302,505099,245797,245797,206703,46281,0.0,,0.3,,51635,40117,0.3,39054,0.0,,-87.0,0.0,786,0.0,-348,-472.0
2015-11-11,3,2015,0.0,0.0,-62000,,31360,19992,-23313,38430,0.5,,0.0,-23313.0,13349,0.0,,103492,2015年第3季,0.0,68666,45353,0.0,68664,45009,31403,50612,273439,522651,249212,249212,217809,46624,0.0,,0.49,,67693,68666,0.49,82015,0.0,,-257.0,0.0,740,0.0,2,344.0
