date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,28048,8194,,6690,6690,2.21,,31893,,,45153,2013年01月01日至2013年03月31日,,227619,234309,225952,232642,226982,32530,623399,954260,330861,330861,103879,32120,,,1.99,26606,227619,259512,,0.0,,3712,1667,1667
2013-08-06,2,2013,,23169,7380,8.0,2027,2027,2.2,,40832,,,50469,2013年04月01日至2013年06月30日,,231563,233590,230429,232456,244486,27909,714421,1069785,355364,355364,110886,34088,,,2.01,26329,231563,272395,,0.0,,2640,1134,1134
2013-11-13,3,2013,,-17093,10049,,-3051,-3051,1.73,,29849,,,43092,2013年07月01日至2013年09月30日,,207211,204160,204932,201881,245874,-8814,708906,1049864,340958,340958,95084,30546,,,1.63,21446,207211,237060,,0.0,,1770,2279,2279
2014-03-19,4,2013,,64378,41188,,9582,8537,7.38,,136340,,,175872,2013年01月01日至2013年12月31日,,868192,877774,859686,869268,908785,95747,2734249,4065218,1330969,1330969,422184,140505,,1259.0,6.81,105807,868192,1004532,,214.0,,9819,8506,8506
2014-05-13,1,2014,,10722,10616,,2817,2817,1.61,,27054,,,57033,2014年01月01日至2014年03月31日,,195834,198651,193635,196452,203126,19762,671165,993304,322139,322139,119013,38697,,,1.53,23283,195834,222888,,0.0,,1576,2199,2199
2014-08-13,2,2014,,-19408,6467,,-4054,-4054,1.66,,34682,,,56852,2014年第2季,,199792,195738,198929,194875,248949,-14475,815369,1188586,373217,373217,124268,36615,,,1.57,30801,199792,234474,,0.0,,1534,863,863
2014-11-13,3,2014,,27233,8497,,4507,4507,2.27,,32619,,,59314,2014年第3季,,300574,305081,299778,304285,298987,34206,886241,1319412,433171,433171,134184,39830,,,2.15,35040,300574,333193,,0.0,,1524,796,796
2015-03-13,4,2014,,52225,37820,,13549,13771,7.25,,140103,-604.0,-604.0,228801,2014年度,,964902,978451,959324,972873,1021691,83314,3223533,4748478,1524945,1524945,503254,156637,,-268.0,6.88,117816,964902,1105005,,-46.0,,6127,5578,5578
2015-05-12,1,2015,,-9671,7677,,-2786,-2786,1.56,-2786.0,31547,,-1820.0,65864,2015年01月01日至2015年03月31日,,210049,207263,208931,205965,246517,-4921,779986,1178782,398796,398796,152279,52399,,,1.5,34016,210049,241596,,,0.0,1107,1118,1298
2015-08-13,2,2015,,-13163,6081,,-4131,-4131,1.77,-4131.0,42593,,0.0,71281,2015年第2季,,250253,246122,245550,241462,300076,-7230,927062,1397406,470344,470344,170268,49606,,,1.75,49381,250253,292846,,,0.0,148,4703,4660
2015-11-13,3,2015,,66395,4353,,15556,15556,1.98,15556.0,46912,,0.0,67056,2015年第3季,,305142,320698,289148,304820,281306,70748,824454,1268457,444003,444003,162697,48182,,,1.97,47459,305142,352054,,,0.0,0,15994,15878
2016-03-15,4,2015,-3364.0,46376,31917,,660,4024,7.02,4024.0,161182,-1820.0,-1820.0,268358,2015年度,,1042732,1043392,1016596,1017277,1128696,75218,3419309,5213056,1793747,1793747,665051,207163,-4053.0,,6.89,189530,1042732,1203914,-689.0,,0.0,1255,26136,26115
2016-05-10,1,2016,,-40371,2916,,-4261,-4261,1.51,-4261.0,36906,,0.0,77047,2016年01月01日至2016年03月31日,36906.0,217991,213730,220364,216130,292352,-37455,868996,1343824,474828,474828,182476,51296,,,1.5,54133,217991,254897,,,0.0,0,-2373,-2400
2016-08-09,2,2016,,20616,5123,,-15938,-15938,1.69,-15938.0,31974,,0.0,114294,2016年第2季,,244127,228189,247634,232113,250624,25477,931499,1420655,489156,489156,238532,55991,,,1.69,68247,244127,276101,,,0.0,262,-3507,-3924
2016-11-10,3,2016,,-47248,1799,,-17352,-17352,1.21,-17352.0,22523,,0.0,119905,2016年第3季,,174182,156830,176563,159817,242756,-46051,978184,1450869,472685,472685,229929,53526,,,1.2,56498,174182,196705,,,0.0,602,-2381,-2987
