date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）
2013-05-13,1,2013,,409,1824,-3903,-3903,0.87,0.87,,14658,27625,2013年01月01日至2013年03月31日,40788,36885,40788,36885,53213,2233,42081,250745,208664,208664,155451,96777,,,0.86,0.86,31049,40788,55446
2013-08-06,2,2013,,-387,2884,-2709,-2709,0.59,0.59,,16781,24305,2013年04月01日至2013年06月30日,27657,24948,27657,24948,41941,2497,6420,202142,195722,195722,153781,99147,,,0.59,0.59,30329,27657,44438
2013-11-04,3,2013,,-357,2356,-158,-158,0.78,0.78,,14457,66942,2013年07月01日至2013年09月30日,55233,55075,55233,55075,67691,1999,45865,328243,282378,282378,214687,104519,,,0.78,0.78,43226,55233,69690
2014-03-10,4,2013,,-2745,11656,-10892,-10272,4.25,4.25,,67320,164658,2013年01月01日至2013年12月31日,300334,289442,300334,289442,358743,8911,126820,1202961,1076141,1076141,717398,406390,,-620.0,4.25,4.25,146350,300334,367654
2014-05-12,1,2014,,1479,2193,2374,2374,1.75,1.75,,33144,28630,2014年01月01日至2014年03月31日,123855,126229,123855,126229,153327,3672,33222,373783,340561,340561,187234,120184,,,1.75,1.75,38420,123855,156999
2014-08-08,2,2014,,-908,3319,9,9,0.75,0.75,,24404,29875,2014年第2季,52707,52716,52707,52716,74700,2411,25883,296772,270889,270889,196189,122374,,,0.75,0.75,43940,52707,77111
2014-11-10,3,2014,,-692,2825,-8595,-8595,1.2,1.2,,32602,78157,2014年第3季,106257,97662,106257,97662,136726,2133,33213,430334,397121,397121,260395,131722,,,1.2,1.2,50516,106257,138859
2015-03-09,4,2014,,-711,31322,-9268,-11136,3.98,3.98,,127111,220638,2014年度,351444,342176,351444,342176,447944,30611,125341,1474037,1348696,1348696,900752,501885,,1868.0,3.97,3.97,178229,351444,478555
2015-05-04,1,2015,,-947,2617,-3976,-3976,0.26,0.26,-3976.0,24066,37490,2015年01月01日至2015年03月31日,23225,19249,23225,19249,45621,1670,25747,290972,265225,265225,219604,137757,,,0.26,0.26,44357,23225,47291
2015-08-03,2,2015,,-822,1822,-5584,-5584,-0.51,-0.51,-5584.0,29211,83885,2015年第2季,-45363,-50947,-45363,-50947,-17152,1000,30993,298422,267429,267429,284581,149857,,,-0.51,-0.51,50839,-45363,-16152
2015-11-02,3,2015,,-4278,6987,10721,10721,0.43,0.43,10721.0,10696,58451,2015年第3季,48051,58772,48051,58772,56038,2709,33933,366175,332242,332242,276204,163993,,,0.43,0.43,53760,48051,58747
2016-03-28,4,2015,-4818.0,-5925,14858,-3256,1562,0.27,0.27,1562.0,70336,255365,2015年度,29686,26430,29686,26430,91089,8933,114806,1239382,1124576,1124576,1033487,583747,-4818.0,,0.27,0.27,194375,29686,100022
2016-05-09,1,2016,,251,5042,7994,7994,-0.4,-0.4,7994.0,22473,65324,2016年01月01日至2016年03月31日,-44148,-36154,-44148,-36154,-26968,5293,21817,265157,243340,243340,270308,158435,,,-0.4,-0.4,46549,-44148,-21675
2016-08-01,2,2016,,176,6031,15094,15094,0.07,0.07,15094.0,3478,40310,2016年第2季,7904,22998,7904,22998,5175,6207,22306,256780,234474,234474,229299,142880,,,0.07,0.07,46109,7904,11382
2016-11-01,3,2016,,-1904,5540,-619,-619,-0.53,-0.53,-619.0,10462,34958,2016年第3季,-59029,-59648,-59029,-59648,-52203,3636,15584,191486,175902,175902,228105,144941,,,-0.53,-0.53,48206,-59029,-48567
