date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-4488,8508,34375,41403,-0.64,-0.64,,1977,83945,2013年01月01日至2013年03月31日,-257915,-223540,-257580,-223269,-246687,-9251,1362106,1462735,100629,100629,347316,212129,,,,,51242,-257915,-255938,7028.0,,13271,-335,-271
2013-08-14,2,2013,,,1496,63754,37853,45597,-0.27,-0.27,,9368,98585,2013年04月01日至2013年06月30日,-108649,-70796,-108350,-70537,-155812,56531,1739965,1941079,201114,201114,356926,202706,,,,,55635,-108649,-99281,7744.0,,8719,-299,-259
2013-11-12,3,2013,,,-3329,30576,-35106,-42294,-0.51,-0.51,,9704,90458,2013年07月01日至2013年09月30日,-202199,-237305,-202379,-237474,-209622,17127,1576636,1707213,130577,130577,340199,202907,,,,,46834,-202199,-192495,-7188.0,,10120,180,169
2014-03-26,4,2013,,,-55164,56017,62322,64900,-2.28,-2.28,,27571,368049,2013年01月01日至2013年12月31日,-912556,-850234,-912023,-849823,-846588,-38397,6266724,6807747,541023,541023,1387611,822813,,8434.0,,,196749,-912556,-884985,11012.0,,39250,-533,-411
2014-05-06,1,2014,,,-12612,6106,27074,32616,-0.4,-0.4,,6491,74244,2014年01月01日至2014年03月31日,-164129,-137055,-162221,-135162,-142813,-14825,1427702,1597816,170114,170114,312927,200150,,,,,38533,-164129,-157638,5542.0,,8319,-1908,-1893
2014-08-12,2,2014,,,-33121,10265,-35622,-42923,-0.34,-0.34,,414,55437,2014年第2季,-138977,-174599,-137196,-172842,-105948,-32615,1316705,1494569,177864,177864,283812,186453,,,,,41922,-138977,-138563,-7301.0,,9759,-1781,-1757
2014-11-06,3,2014,,,-3324,11236,27827,33537,-0.18,-0.18,,5476,63440,2014年第3季,-70293,-42466,-70442,-42567,-62563,-2254,1315057,1513835,198778,198778,261341,160438,,,,,37463,-70293,-64817,5710.0,,10166,149,101
2015-03-20,4,2014,,,-97052,35800,87836,103875,-1.35,-1.35,,19407,246415,2014年度,-540664,-452828,-538888,-451070,-421381,-99876,5586603,6263053,676450,676450,1097831,695494,,1617.0,-1.35,-1.35,155922,-540664,-521257,17656.0,,38624,-1776,-1758
2015-05-06,1,2015,,,6967,7378,-23297,-28068,0.01,0.01,-23297.0,6538,57396,2015年第1季,5357,-17940,5361,-17934,8836,3059,1368524,1624151,255627,255627,246791,155839,,,0.01,0.01,33556,5357,11895,,-4771.0,11286,-4,-6
2015-08-11,2,2015,,,2400,6909,-16959,-20433,-0.32,-0.32,-16959.0,645,50778,2015年第2季,-129574,-146533,-129574,-146533,-127904,-1025,1109939,1238251,128312,128312,256216,171040,,,-0.32,-0.32,34398,-129574,-128929,,-3474.0,10334,0,0
2015-11-11,3,2015,,,184753,6382,67085,80825,0.36,0.36,67085.0,7734,38281,2015年第3季,144767,211852,144767,211849,-28448,180949,1299153,1486691,187538,187538,215986,146472,,,0.36,0.36,31233,144767,152501,,13740.0,10186,0,3
2016-03-18,4,2015,-3658.0,,195600,28130,3616,8763,0.1,0.1,7274.0,34861,227317,2015年度,40900,44516,40904,44522,-106974,182735,5450654,6322854,872200,872200,979174,619517,-3658.0,,0.1,0.1,132340,40900,75761,,1489.0,40995,-4,-6
2016-05-04,1,2016,,4213.0,-1760,3397,-23038,-32832,0.13,0.13,-23038.0,19861,84662,2016年01月01日至2016年03月31日,52031,28993,52031,28994,77379,-5487,1663921,2025612,361691,361691,284312,168808,,,,,30842,52031,71892,,-5581.0,7124,0,-1
2016-08-02,2,2016,,-595.0,4764,5308,-19087,-22279,0.15,0.15,-19087.0,17885,61561,2016年第2季,30292,11205,30292,11208,44294,3883,1524672,1810508,285836,285836,241542,150372,,,0.15,0.15,29609,30292,48177,,-3787.0,6189,0,-3
2016-11-07,3,2016,,3738.0,-879,3926,-48644,-63117,0.18,0.18,-48644.0,13631,61392,2016年第3季,35358,-13286,35358,-13282,51515,-2526,1573868,1881074,307206,307206,255691,166768,,,0.18,0.18,27531,35358,48989,,-10735.0,5573,0,-4
