date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,其他費損,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,,,,14936,3133,,,44833,,44833,0.15,0.15,,,126,,,,15970,2013年01月01日至2013年03月31日,29006,73839,,29006,73839,11063,18069,350675,417752,67077,67077,56014,188,,0.0,0.15,0.15,39856,29006,29132,,,0,,,
2013-08-13,2,2013,,,,,,,55747,12149,,,19829,,19829,0.4,0.4,,,8392,,,,19857,2013年04月01日至2013年06月30日,77029,96858,,77029,96858,17525,67896,413623,494387,80764,80764,63239,0,,0.0,0.4,0.4,43382,77029,85421,,,0,,,
2013-11-08,3,2013,,,,,,,9869,4273,,,-16984,,-16984,0.24,0.24,,,420,,,,15543,2013年07月01日至2013年09月30日,32521,15537,,32521,15537,18799,14142,358160,416618,58458,58458,39659,1900,,0.0,0.24,0.24,22216,32521,32941,,,0,,,
2014-03-25,4,2013,,,,,,,529077,90415,,,79223,,78931,4.37,4.37,,,36472,,,,72311,2013年01月01日至2013年12月31日,593185,672408,,593185,672408,10165,619492,1472023,1750742,278719,278719,268554,2894,,292.0,4.34,4.34,193349,593185,629657,,,0,,,
2014-04-24,1,2014,,,,28918.0,,,24330,3285,,,26200,,-2718,0.25,0.25,,,15957,,,,15991,2014年01月01日至2014年03月31日,34505,60705,,34505,60705,22901,27561,332733,412286,79553,79553,56652,352,,,0.25,0.25,40309,34505,50462,,,54,,,
2014-08-07,2,2014,,,,-19100.0,0.0,0.0,38710,790,,,-55648,,-36548,0.22,0.22,,,27077,,,,21134,2014年第2季,29423,-26225,,29423,-26225,17051,39449,347508,424121,76613,76613,59562,716,,,0.22,0.22,37712,29423,56500,,,51,,0.0,0.0
2014-10-31,3,2014,,,,-22139.0,0.0,0.0,20867,10400,,,21632,,43771,0.35,,,,-1506,,,,15574,2014年第3季,43214,64846,,43214,64846,10441,31267,350502,408786,58284,58284,47843,661,,,0.35,,31608,43214,41708,,,0,,0.0,0.0
2015-02-17,4,2014,,,,-7399.0,,,68922,15902,,,56028,,63530,1.0,,,,38261,,,,64212,2014年度,122760,178788,,122760,178788,81308,79713,1356688,1632311,275623,275623,194315,2600,,-103.0,1.0,,127503,122760,161021,,,5111,,,
2015-04-17,1,2015,0.0,0.0,,-8023.0,,,2807,226,,0.0,-25398,0.0,-17375,0.16,,,-25398.0,-5528,,,,15740,2015年01月01日至2015年03月31日,15419,-9979,,15419,-9979,7551,2340,284236,341578,57342,57342,49791,1276,,,,,32775,15419,9891,0.0,,693,,,
2015-08-12,2,2015,0.0,0.0,,22574.0,0.0,0.0,6794,334,,,-3147,,-25721,0.17,,,-3147.0,-6327,0.0,0.0,,18507,2015年第2季,15632,12485,0.0,15632,12485,2905,6400,291043,344778,53735,53735,50830,1338,0.0,,0.16,,30985,15632,9305,0.0,0.0,728,0.0,0.0,0.0
2015-11-04,3,2015,,,,10290.0,,,-7314,10293,,,115326,,105036,0.06,,,115326.0,13134,,,,18456,2015年第3季,4313,119639,,4313,119639,15774,1673,322561,390943,68382,68382,52608,1635,,,0.06,,32517,4313,17447,,,1306,,,
2016-03-11,4,2015,,-186.0,,98006.0,,,8970,11045,,,120053,,22233,0.52,0.52,,120239.0,18817,,,,73786,2015年度,41289,161342,,41289,161342,44423,15683,1235084,1486806,251722,251722,207299,5662,-186.0,,0.52,0.52,127851,41289,60106,,,4332,,,
2016-04-19,1,2016,,,0.0,-89024.0,,,-49943,3606,,,-99766,,-10742,-0.67,,,-99766.0,1515,,,,16101,2016年01月01日至2016年03月31日,-40323,-140089,,-40323,-140089,9842,-48650,302606,356698,54092,54092,44250,1687,,,-0.67,,26462,-40323,-38808,,,2313,,,
2016-08-08,2,2016,,,,-1793.0,,,-64561,29555,3807.0,,-49257,,-47464,-0.35,,25748.0,-49257.0,8412,,,4051.0,42819,2016年第2季,-120271,-169528,,-20975,-60338,-79071,-32788,547260,601239,53979,53979,133050,3185,,,-0.35,,87046,-120271,-111859,,,1833,,-99296.0,-109190.0
2016-11-10,3,2016,,,,-1324.0,,,-34827,5168,5168.0,,-74380,,-73056,0.01,0.01,0.0,-74380.0,12661,,,0.0,41087,2016年第3季,3438,-70942,,822,-55981,47895,-31796,706985,859116,152131,152131,104236,5040,,,0.01,0.01,58109,3438,16099,,,2137,,2616.0,-14961.0
