date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,56684,3074,39459,47534,2.41,,115154,,180373.0,2013年01月01日至2013年03月31日,591523,630982,591959,631386,651895,54782,2632457,3673272,1040815,1040815,388920,22673.0,,,2.41,185874.0,591523,706677,8075.0,,4976,-436,-404
2013-08-09,2,2013,,18105,1695,10911,13145,2.58,,172732,,,2013年04月01日至2013年06月30日,634438,645349,634178,645084,792146,15024,2921940,4131190,1209250,1209250,417104,,,,2.58,,634438,807170,2234.0,,4776,260,265
2013-11-08,3,2013,,-62563,-2018,-24803,-29879,2.88,,139127,,236374.0,2013年07月01日至2013年09月30日,723275,698472,722920,698172,931626,-69224,3543859,4959113,1415254,1415254,483628,29611.0,,,2.88,217643.0,723275,862402,-5076.0,,4643,355,300
2014-03-21,4,2013,,43964,3686,41919,51058,10.91,,579442,,886394.0,2013年01月01日至2013年12月31日,2738737,2780656,2738095,2779986,3290391,27788,13021871,18141803,5119932,5119932,1829541,102368.0,,-464.0,,840779.0,2738737,3318179,8675.0,,19862,642,670
2014-05-09,1,2014,,72898,665,51511,51511,2.62,,145452,,318435.0,2014年01月01日至2014年03月31日,658566,710077,658346,709821,736590,67428,3280046,4478376,1198330,1198330,461740,23790.0,,,,119515.0,658566,804018,0.0,,6135,220,256
2014-08-08,2,2014,,4605,3606,-61936,-61936,2.22,,190824,,265871.0,2014年第2季,558392,496456,557910,506824,747966,1250,3664452,4886323,1221871,1221871,473905,27150.0,,,2.22,180884.0,558392,749216,0.0,,6961,482,-10368
2014-11-07,3,2014,,73357,1072,47401,47401,3.32,,187253,,267623.0,2014年第3季,865970,913371,865970,913371,985274,67949,4233748,5696793,1463045,1463045,477771,29691.0,,,3.32,180457.0,865970,1053223,0.0,,6480,0,0
2015-03-19,4,2014,,253689,6389,112735,142278,11.51,,734185,,1176395.0,2014年度,3004221,3116956,3003519,3127068,3507127,231279,15371616,20842752,5471136,5471136,1964009,106999.0,,-3518.0,,680615.0,3004221,3738406,26025.0,,28799,702,-10112
2015-05-07,1,2015,,-7262,1504,-29834,-29834,2.68,-29834.0,160892,872.0,255608.0,2015年01月01日至2015年03月31日,698150,668316,698150,668316,873160,-14118,3569665,4928213,1358548,1358548,485388,29175.0,,,,200605.0,698150,859042,,0.0,9232,0,0
2015-08-06,2,2015,,-25425,4477,-38669,-38669,3.8,-38669.0,273298,1497.0,287999.0,2015年第2季,991918,953249,991918,953249,1293700,-28484,4684129,6498372,1814243,1814243,520543,31607.0,,,,200937.0,991918,1265216,,0.0,9033,0,0
2015-11-05,3,2015,,312660,2612,168392,168392,4.93,168392.0,277072,-109.0,344684.0,2015年第3季,1287371,1455763,1287371,1455763,1258495,305948,4984506,6849175,1864669,1864669,606174,33178.0,,,,228312.0,1287371,1564443,,0.0,9215,0,0
2016-03-17,4,2015,-6731.0,306005,10133,73558,96734,15.99,80289.0,947255,2694.0,1298361.0,2015年度,4173780,4247338,4173780,4247338,4838471,282564,18367196,25520749,7153553,7153553,2315082,128393.0,-6731.0,,,888328.0,4173780,5121035,,16445.0,36268,0,0
2016-05-05,1,2016,,-130237,3579,-62420,-62420,2.47,-62420.0,148065,1572.0,300075.0,2016年01月01日至2016年03月31日,653130,590710,653130,590710,934279,-133084,4097528,5590471,1492943,1492943,558664,33717.0,,,,224872.0,653130,801195,,0.0,7998,0,0
2016-08-04,2,2016,,32995,8077,-2005,-2005,2.98,-2005.0,291062,146.0,322700.0,2016年第2季,801053,799048,801053,799048,1058761,33354,4193557,5827631,1634074,1634074,575313,39396.0,,,2.98,213217.0,801053,1092115,,0.0,7864,0,0
2016-11-03,3,2016,,-187753,14592,-111484,-111484,3.15,-111484.0,181293,494.0,326072.0,2016年第3季,846335,734851,846335,734851,1207369,-179741,4468017,6262052,1794035,1794035,586666,40181.0,,,3.15,220413.0,846335,1027628,,0.0,7074,0,0
