date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,基本每股盈餘合計,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,4668,7707,,,0.01,0,,1081,2013年01月01日至2013年03月31日,463,463,1284,1284,2934,-2471,764389,797789,33400,33400,30466,,,0.01,29385,463,463,,14846,-821,-821
2013-08-12,2,2013,,,12060,11891,0.0,,0.01,0,,1052,2013年04月01日至2013年06月30日,1239,1239,2808,2808,-5146,6385,724578,756256,31678,31678,36824,,,0.01,35772,1239,1239,,17566,-1569,-1569
2013-11-13,3,2013,,,9901,7691,0.0,,0.27,0,,1091,2013年07月01日至2013年09月30日,41612,41612,48855,48855,40925,687,713266,785996,72730,72730,31805,,,0.27,30714,41612,41612,,16905,-7243,-7243
2014-03-26,4,2013,,0.0,27765,240262,0.0,-2473.0,1.47,6504,,4662,2013年01月01日至2013年12月31日,248012,245539,263740,261230,51896,202620,3415256,3598060,182804,182804,130908,,-2473.0,1.47,126246,248012,254516,,65407,-15728,-15691
2014-05-13,1,2014,,,6352,19350,,,0.11,4077,,1361,2014年01月01日至2014年03月31日,20615,20615,20070,20070,14058,10634,865928,908483,42555,42555,28497,,,0.11,27136,20615,24692,,15068,545,545
2014-08-12,2,2014,,0.0,-222,38087,0.0,,0.26,-511,,982,2014年第2季,56487,56487,58350,58350,30555,25421,1039246,1094471,55225,55225,24670,,,0.26,23688,56487,55976,,12444,-1863,-1863
2014-11-13,3,2014,,0.0,3158,21138,0.0,,0.45,21698,,1006,2014年第3季,112412,112412,109022,109022,116651,17459,1502435,1652719,150284,150284,33633,,,0.45,32627,112412,134110,,6837,3390,3390
2015-03-30,4,2014,,,12180,89034,,-1684.0,1.31,43858,,4469,2014年度,305914,304230,290816,289039,290160,59612,5072770,5474793,402023,402023,111863,,-1684.0,1.31,107394,305914,349772,,41602,15098,15191
2015-05-12,1,2015,,,957,7388,,,0.21,9178,,1351,2015年01月01日至2015年03月31日,58234,58234,51167,51167,65087,2325,1345278,1437993,92715,92715,27628,,,0.21,26277,58234,67412,,6020,7067,7067
2015-08-12,2,2015,,0.0,2563,37675,0.0,,0.09,16066,,1257,2015年第2季,24888,24888,20701,20701,7230,33724,1389097,1482563,93466,93466,86236,,,0.09,84979,24888,40954,,6514,4187,4187
2015-11-12,3,2015,,0.0,2721,1545,0.0,,0.21,11154,,1374,2015年第3季,54762,54762,50852,50852,67285,-1369,1270571,1365171,94600,94600,27315,,,0.21,25941,54762,65916,,5635,3910,3910
2016-03-29,4,2015,-7057.0,,6421,116960,,-7057.0,0.49,33494,0.0,5269,2015年度,136189,129132,117924,110656,70384,99299,5235125,5468908,233783,233783,163399,-7057.0,,0.49,158130,136189,169683,0.0,24082,18265,18476
2016-05-12,1,2016,,,-183,11606,,,0.16,4045,,1604,2016年01月01日至2016年03月31日,39493,39493,39472,39472,36190,7348,1147607,1212272,64665,64665,28475,,,0.16,26871,39493,43538,,4075,21,21
2016-08-11,2,2016,,,-709,39751,,,0.14,13119,,1180,2016年第2季,33210,33210,34360,34360,11124,35205,1054264,1091648,37384,37384,26260,,,0.14,25080,33210,46329,,3837,-1150,-1150
2016-11-10,3,2016,,,-185,53092,,,0.09,-5555,,1319,2016年第3季,20757,20757,22679,22679,-33575,48777,1127767,1125180,-2587,-2587,30988,,,0.09,29669,20757,15202,,4130,-1922,-1922
