date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,11555,3112,0.0,0.0,26669,3112.0,177,32131,0.28,,1889,28605,2013年01月01日至2013年03月31日,24815,51484,24815,51484,12214,14490,691539,820134,128595,128595,116381,29757,,,0.28,58019,24815,0.28,26704,,5462.0,,177,0.0,0.0
2013-08-09,2,2013,,2419,3606,,,12750,,143,15361,0.3,,13312,28740,2013年04月01日至2013年06月30日,27177,39927,27177,39927,34607,5882,826190,978013,151823,151823,117216,30562,,,0.3,57914,27177,0.3,40489,,2611.0,,143,,
2013-11-08,3,2013,,-3781,3281,,,-8436,,95,-10163,0.11,,5080,28058,2013年07月01日至2013年09月30日,10245,1809,10245,1809,15920,-595,838137,977991,139854,139854,123934,33900,,,0.11,61976,10245,0.11,15325,,-1727.0,,95,,
2014-03-21,4,2013,,15762,13920,,,48987,,491,52901,1.15,,29111,116790,2013年01月01日至2013年12月31日,102790,151777,102790,151777,102710,29191,3054448,3642635,588187,588187,485477,131223,,6119.0,1.15,237464,102790,1.15,131901,,10033.0,,491,,
2014-04-24,1,2014,,-2840,3713,,,-3040,,203,-3663,0.17,,5447,26722,2014年01月01日至2014年03月31日,14833,11793,14833,11793,19610,670,727544,863529,135985,135985,116375,32471,,,0.17,57182,14833,0.17,20280,,-623.0,,203,,
2014-08-01,2,2014,,-4519,4058,,,-14581,,213,-17568,0.5,,9589,26624,2014年第2季,44825,30244,44825,30244,55088,-674,756817,919919,163102,163102,108014,30531,,,0.5,50859,44825,0.5,54414,,-2987.0,,213,,
2014-11-07,3,2014,,15093,6544,,,18224,,82,21957,0.55,,14394,27291,2014年第3季,48960,67184,48960,67184,41799,21555,750187,905832,155645,155645,113846,31378,,,0.55,55177,48960,0.55,63354,,3733.0,,82,,
2015-02-06,4,2014,,21179,21779,,,4406,,567,28958,1.74,,39040,112338,2014年度,155474,159880,155474,159880,152123,42391,2957798,3567149,609351,609351,457228,125609,,-23650.0,1.73,219281,155474,1.74,194514,,902.0,,567,,
2015-04-24,1,2015,,-1058,6287,,,-6758,,91,-8142,0.5,-6758.0,11503,32457,2015年01月01日至2015年03月31日,44564,37806,44564,37806,50929,5138,626058,794450,168392,168392,117463,29601,,,0.5,55405,44564,0.5,56067,,,-1384.0,91,,
2015-07-31,2,2015,,-2020,7769,,,-10210,,44,-12301,0.56,-10210.0,14399,27132,2015年第2季,49678,39468,49678,39468,58372,5705,660087,830509,170422,170422,112050,30658,,,0.55,54260,49678,0.56,64077,,,-2091.0,44,,
2015-11-06,3,2015,,45361,5154,,,28535,,16,34379,0.89,28535.0,18417,22223,2015年第3季,79383,107918,79383,107918,47301,50499,634003,795989,161986,161986,114685,29987,,,0.88,62475,79383,0.89,97800,,,5844.0,16,,
2016-03-03,4,2015,-15922.0,49897,27561,,,-31312,,170,-18542,2.24,-15390.0,55397,104051,2015年度,199883,168571,199883,168571,177992,77288,2505378,3135818,630440,630440,452448,123491,-19183.0,,2.22,224906,199883,2.24,255280,-3261.0,,-3152.0,170,,
2016-04-22,1,2016,,-9801,5279,,,-4246,,18,-5116,0.46,-4246.0,9370,21131,2016年01月01日至2016年03月31日,41009,36763,41009,36763,54919,-4540,620813,777724,156911,156911,101992,29339,,,0.46,51522,41009,0.46,50379,,,-870.0,18,,
2016-08-05,2,2016,,19418,6692,,,-20744,,21,-24992,1.1,-20744.0,23372,22175,2016年第2季,98019,77275,98019,77275,95302,26089,679116,882228,203112,203112,107810,31919,,,1.09,53716,98019,1.1,121391,,,-4248.0,21,,
2016-11-03,3,2016,,-6406,4895,,,-25056,,20,-30188,0.84,-25056.0,15862,19913,2016年第3季,74557,49501,74557,49501,91950,-1531,748570,946456,197886,197886,105936,33120,,,0.83,52903,74557,0.84,90419,,,-5132.0,20,,
