date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資損失,財務成本淨額,重估價之利益（損失）,重估增值,銷貨成本合計
2013-05-06,1,2013,,,,,-17653,772,,18134,,,18134,-0.53,,,,0,,,,14265,2013年01月01日至2013年03月31日,,-86100,-67966,,-86100,-67966,,-63709,-22391,139410,160876,21466,21466,85175,,,37595,,33315,-86100,-86100,,0.0,,,,,5510,,,
2013-08-12,2,2013,,,,,3338,816,-3.0,4974,,,4977,-0.29,,,,-4734,,,,13939,2013年04月01日至2013年06月30日,,-48141,-43167,,-48141,-43167,,-50844,-2031,178327,206559,28232,28232,79076,,,33481,,31656,-48141,-52875,,0.0,,,,,6185,,,
2013-11-07,3,2013,,,,,6193,874,0.0,-5503,,,-5503,-0.31,,,,1127,,,,13708,2013年07月01日至2013年09月30日,,-51450,-56953,,-51450,-56953,,-50909,586,200842,227925,27083,27083,77992,,,34138,,30146,-51450,-50323,,0.0,,,,,6481,,,
2014-03-25,4,2013,,,2871.0,,-230168,3350,,27839,,,27842,-2.83,,37829.0,,-3276,,,,53734,2013年01月01日至2013年12月31日,,-463348,-435509,,-463348,-435509,190631.0,-215479,-251145,677580,776387,98807,98807,314286,,-3276.0,136569,,123983,-463348,-466624,,0.0,,1163.0,0.0,,24327,-3.0,,
2014-05-08,1,2014,,,,,54441,588,-7441.0,-8848,,,-1407,0.15,,,,0,,,,12690,2014年01月01日至2014年03月31日,,24158,15310,,24158,15310,,-25639,49797,177647,205924,28277,28277,53916,,,8563,,32663,24158,24158,,0.0,,,,,5232,,,
2014-08-11,2,2014,,,,,18209,42,0.0,-10630,,,-10630,-0.03,,,,0,,,,13757,2014年第2季,,-4360,-14990,,-4360,-14990,,-18086,13726,192576,225516,32940,32940,51026,,0.0,9869,,27400,-4360,-4360,,0.0,,,,,4525,,,
2014-11-07,3,2014,,,,,-6446,49,0.0,14466,,,14466,-0.41,,,,0,,,,12473,2014年第3季,,-34250,-19784,,-34250,-19784,,-21477,-12773,197606,230259,32653,32653,54130,,0.0,10174,,31483,-34250,-34250,,0.0,,,,,6376,,,
2015-03-25,4,2014,,,4422.0,,56749,1484,,14120,,,21561,-0.64,4113.0,0.0,,0,,,,53338,2014年度,,-53203,-39083,,-53203,-39083,1496.0,-89467,36264,745796,865699,119903,119903,209370,,0.0,39116,,116916,-53203,-53203,,0.0,,58598.0,0.0,44.0,21969,-7441.0,,745796.0
2015-05-06,1,2015,,,,,-61989,50,,-4878,0.0,,-4878,-1.05,,,-4878.0,0,,,,10600,2015年01月01日至2015年03月31日,,-86971,-91849,,-86971,-91849,,-20322,-66649,161148,187057,25909,25909,46231,,,8491,,27140,-86971,-86971,,,0.0,,,,4710,,,
2015-08-11,2,2015,,,,,-54564,74,,-8583,0.0,,-8583,-0.9,,,-8583.0,0,,,,13062,2015年第2季,,-74537,-83120,,-74537,-83120,,-12824,-61713,200548,239292,38744,38744,51568,,,10347,,28159,-74537,-74537,,,0.0,,,,7223,,,
