date,season,year,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,3282,1308,405,5774,4353.0,5774,-0.5,-0.5,,-17,,2013年01月01日至2013年03月31日,-36323,-30549,-32415,-26641,-36577,237,211864,205616,-6248,-6248,30734,,,,,,,-36323,-36340,,4353,211864,205616,-3908,-3908
2013-08-13,2,2013,,,,-3329,1397,-17795,-5342,4715.0,-5342,-0.53,-0.53,,-1350,,2013年04月01日至2013年06月30日,-45149,-50491,-33987,-39329,-39852,-6647,205083,213059,7976,7976,30033,,,,,,,-45149,-46499,,4715,205083,213059,-11162,-11162
2013-11-12,3,2013,,,,-512,2137,496,-2927,4729.0,-2927,-0.13,-0.13,,0,,2013年07月01日至2013年09月30日,-7539,-10466,-8461,-11388,-4435,-3104,207443,232407,24964,24964,29895,,,,-0.13,-0.13,,-7539,-7539,,4729,207443,232407,922,922
2014-03-27,4,2013,,,,144,6079,-22320,-10033,17584.0,-8339,-1.37,-1.37,,-1359,58972.0,2013年01月01日至2013年12月31日,-105770,-115803,-90313,-100346,-95768,-11361,836601,882072,45471,45471,118919,22441.0,,-1694.0,,,37506.0,-105770,-107129,,17584,836601,882072,-15457,-15457
2014-05-12,1,2014,,,,2991,1111,1454,4071,3379.0,4071,-0.25,-0.25,,-8,9995.0,2014年01月01日至2014年03月31日,-18549,-14478,-17796,-13725,-19280,723,216401,217481,1080,1080,21814,3665.0,,,,,8154.0,-18549,-18557,0.0,3379,216401,217481,-753,-753
2014-08-12,2,2014,,0.0,0.0,-2094,1172,14741,-2819,3630.0,-2819,-0.25,-0.25,,0,10127.0,2014年第2季,-18160,-20979,-17502,-20321,-13608,-4552,271331,265295,-6036,-6036,22313,5830.0,,,,,6356.0,-18160,-18160,0.0,3630,271331,265295,-658,-658
2014-11-10,3,2014,,,,2265,1238,153,2843,3900.0,2843,-0.15,-0.15,,234,10359.0,2014年第3季,-11056,-8213,-10372,-7529,-10425,-397,287813,296342,8529,8529,19107,1735.0,,,,,7013.0,-11056,-10822,0.0,3900,287813,296342,-684,-684
2015-03-25,4,2014,,,,5843,4685,16399,8617,14811.0,7165,-0.89,-0.89,,732,41087.0,2014年度,-64673,-56056,-61835,-53218,-59658,-4283,976702,981564,4862,4862,80919,11360.0,,1452.0,,,28472.0,-64673,-63941,,14811,976702,981564,-2838,-2838
2015-05-11,1,2015,,,,-447,1095,0,-303,3803.0,-303,-0.41,-0.41,-303.0,131,7974.0,2015年01月01日至2015年03月31日,-29935,-30238,-29330,-29633,-26649,-3155,195372,186329,-9043,-9043,17606,1555.0,,,,,8077.0,-29935,-29804,,3803,195372,186329,-605,-605
2015-08-12,2,2015,,,,-2542,936,46324,-6755,3474.0,-6755,0.33,0.33,-6755.0,2908,8427.0,2015年第2季,22943,16188,23539,16784,30931,-5080,203052,203347,295,295,15688,888.0,,,,,6373.0,22943,25851,,3474,203052,203347,-596,-596
2015-11-12,3,2015,,,,1809,679,0,-1196,3424.0,-1196,-0.16,-0.16,-1196.0,472,9483.0,2015年第3季,-12295,-13491,-11597,-12793,-10887,-936,191462,199429,7967,7967,18854,1810.0,,,,,7561.0,-12295,-11823,,3424,191462,199429,-698,-698
2016-03-24,4,2015,-2346.0,,,-739,3908,46725,-9976,14106.0,-7630,-0.5,-0.5,-7630.0,647,37073.0,2015年度,-37843,-47819,-35412,-45388,-26259,-10937,750811,752040,1229,1229,74213,4787.0,-2346.0,,,,32353.0,-37843,-37196,,14106,750811,752040,-2431,-2431
2016-05-11,1,2016,,,,-351,390,142376,559,3146.0,559,1.13,1.13,559.0,13219,9404.0,2016年01月01日至2016年03月31日,83386,83945,83932,84491,99712,-3107,161197,137863,-23334,-23334,19330,555.0,,,,,9371.0,83386,96605,,3146,161197,137863,-546,-546
2016-08-11,2,2016,,,,762,4948,-174,104,,104,-0.31,-0.31,104.0,1070,10667.0,2016年第2季,-23786,-23682,-23273,-23169,-25153,2437,180488,173687,-6801,-6801,18178,2302.0,,,,,5209.0,-23786,-22716,,3273,180488,173687,-513,-513
2016-11-10,3,2016,,,,-2062,211,133,-2218,,-2218,-0.06,-0.06,-2218.0,-554,11148.0,2016年第3季,-4326,-6544,-4326,-6544,-325,-4555,216710,238122,21412,21412,21870,3006.0,,,-0.06,-0.06,7716.0,-4326,-4880,,2704,216710,238122,0,0
