date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,3514,18675,619,274,8057,4543,0.02,,6787,43949,2013年01月01日至2013年03月31日,4555,12612,4743,12663,-3244,14586,676652,771984,95332,95332,98850,22008,,,0.02,32893,4555,11342,,4708,771984.0,-188,-51
2013-08-09,2,2013,,-15259,13732,1125,273,-12569,2690,0.09,,7282,51493,2013年04月01日至2013年06月30日,19427,6858,19463,6792,16348,10361,752484,879084,126600,126600,110525,23828,,,0.09,35204,19427,26709,,4496,879084.0,-36,66
2013-11-06,3,2013,,3240,-8075,5137,311,1292,-1948,0.01,,3290,52832,2013年07月01日至2013年09月30日,825,2117,1231,2560,11991,-7876,768524,891866,123342,123342,111662,21610,,,0.01,37220,825,4115,,4938,891866.0,-406,-443
2014-03-06,4,2013,,-2379,39149,10758,1131,4617,7621,0.23,,11340,196706,2013年01月01日至2013年12月31日,49807,54424,50694,55017,30462,30685,3177366,3635599,458233,458233,428902,89196,,-625.0,0.23,143000,49807,61147,,19222,,-887,-593
2014-05-08,1,2014,,7037,16621,2256,274,8796,1759,0.21,,10905,45802,2014年01月01日至2014年03月31日,44380,53176,44663,53471,41655,13630,986323,1129340,143017,143017,101636,20663,,,0.21,35171,44380,55285,,5247,1129340.0,-283,-295
2014-08-07,2,2014,,11809,-4563,4188,273,8181,-3628,0.14,,8258,45852,2014年第2季,30445,38626,30445,38712,43814,-5111,850232,994470,144238,144238,100697,21398,,,0.14,33447,30445,38703,,4736,994470.0,0,-86
2014-11-04,3,2014,,-8617,33238,8558,273,-5456,3161,0.19,,7622,75195,2014年第3季,41289,35833,41372,35787,12127,36784,853944,1000580,146636,146636,134782,22220,,,0.19,37367,41289,48911,,5012,1000580.0,-83,46
2015-03-06,4,2014,,4220,99572,18753,1094,9283,8448,0.79,,43162,227503,2014年度,169993,179276,170881,180021,114402,98753,3352174,3919890,567716,567716,454408,85101,,-3385.0,0.79,141804,169993,213155,,19572,,-888,-745
2015-05-07,1,2015,,-445,1530,1528,274,-2799,-2354,0.27,-2799.0,13401,50327,2015年01月01日至2015年03月31日,58021,55222,58357,55648,72628,-1206,714570,897697,183127,183127,110773,24501,,,0.27,35945,58021,71422,,4264,897697.0,-336,-426
2015-08-03,2,2015,,-13495,-2610,1582,273,-16013,-2518,0.2,-16013.0,13492,51547,2015年第2季,42855,26842,42613,26956,61779,-5432,733090,906329,173239,173239,111733,22380,,,0.2,37806,42855,56347,0.0,4404,906329.0,242,-114
2015-10-29,3,2015,,-39496,77175,14756,273,-29726,9770,0.48,-29726.0,20936,61120,2015年第3季,103656,73930,103065,73442,36715,87877,722987,888001,165014,165014,128572,28125,,,0.47,39327,103656,124592,,4054,,591,488
2016-03-10,4,2015,794.0,-66938,79015,19137,1094,-62258,1316,1.25,-63052.0,50507,213551,2015年度,266637,204379,265977,204662,235128,82016,2782848,3476757,693909,693909,459875,100149,794.0,,1.24,146175,266637,317144,-2570.0,16136,,660,-283
2016-04-29,1,2016,,3605,-9744,1501,274,2479,-1800,0.31,2479.0,12112,48690,2016年01月01日至2016年03月31日,59509,61988,59148,61578,82762,-11141,697687,888289,190602,190602,108114,23380,,,0.31,36044,59509,71621,-674.0,2898,888289.0,361,410
2016-07-29,2,2016,,-10585,7809,5713,273,-11223,-1793,0.18,-11223.0,6370,53783,2016年第2季,33833,22610,33975,22717,29631,10572,677073,822467,145394,145394,116036,25643,,,0.18,36610,33833,40203,-1155.0,2950,822467.0,-142,-107
2016-11-03,3,2016,,18041,-27994,12002,274,10456,-6193,0.2,10456.0,11209,48350,2016年第3季,35971,46427,35977,46372,66744,-19564,608349,782064,173715,173715,107245,24203,,,0.2,34692,35971,47180,1392.0,3572,,-6,55
