date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,6502,18891,,0.24,0.24,34984,,20188,2013年01月01日至2013年03月31日,179913,179913,179771,179771,193681,21216,5836479,6141535,305056,305056,111375,29476,,,0.24,0.24,61711,179913,,214897,,,4177,142,142
2013-08-08,2,2013,,,12488,23646,,0.2,0.2,25199,,21406,2013年04月01日至2013年06月30日,152492,152492,150316,150316,145740,31951,5889207,6146797,257590,257590,111850,17775,,,0.2,0.2,72669,152492,,177691,,,4183,2176,2176
2013-11-07,3,2013,,,32979,23900,,0.06,0.06,8557,,17038,2013年07月01日至2013年09月30日,48372,48372,48101,48101,4236,52693,5970840,6085799,114959,114959,110723,26697,,,0.06,0.06,66988,48372,,56929,,,4186,271,271
2014-03-21,4,2013,,,84917,92285,38256.0,0.59,0.59,62602,,88888,2013年01月01日至2013年12月31日,439801,478057,436902,475158,341923,160480,24033879,24892573,858694,858694,516771,117669,,46092.0,0.59,0.59,310214,439801,,502403,,7836.0,16722,2899,2899
2014-05-09,1,2014,,,-35443,21285,,0.07,0.07,1836,,18089,2014年01月01日至2014年03月31日,52821,52821,52678,52678,72794,-18137,6990877,7169393,178516,178516,105722,19637,,,0.07,0.07,67996,52821,,54657,,,3979,143,143
2014-08-12,2,2014,,,19424,23283,,0.11,0.11,17374,,17701,2014年第2季,80249,80249,78419,78419,58842,38781,5200816,5366292,165476,165476,106634,21842,,,0.11,0.11,67091,80249,,97623,,,3926,1830,1830
2014-11-11,3,2014,,,1788,15057,,0.15,0.15,24456,,17914,2014年第3季,107539,107539,108820,108820,119284,12711,5639273,5883600,244327,244327,125043,32775,,,0.15,0.15,74354,107539,,131995,,,4134,-1281,-1281
2015-03-20,4,2014,,,-34194,73696,17237.0,0.61,0.61,75137,-93.0,70372,2014年度,454378,471615,450782,468019,506354,23161,24480596,25497653,1017057,1017057,510703,134296,,20768.0,0.61,0.61,306035,454378,,529515,,3531.0,16248,3596,3596
2015-05-08,1,2015,,0.17,5631,66522,,0.17,,26755,-284.0,17822,2015年01月01日至2015年03月31日,129179,129179,128636,128636,88552,67382,5576713,5803320,226607,226607,138055,47121,,,0.17,,73112,129179,0.17,155934,,,4487,543,543
2015-08-11,2,2015,,0.09,6437,14920,,0.09,,23921,-120.0,19105,2015年第2季,66972,66972,65682,65682,71349,19544,4835747,5030042,194295,194295,122946,21676,,,0.09,,82165,66972,0.09,90893,,,1693,1290,1290
2015-11-10,3,2015,,0.11,33877,13888,,0.11,,16059,-118.0,18424,2015年第3季,83911,83911,81775,81775,56056,43914,5137543,5327550,190007,190007,133951,38094,,,0.11,,77433,83911,0.11,99970,,,3733,2136,2136
2016-03-15,4,2015,9065.0,0.63,50187,106717,9065.0,0.63,,106241,-856.0,77537,2015年度,472784,481849,468154,477219,436634,142391,20463252,21457696,994444,994444,557810,155666,10921.0,,0.63,,324607,472784,0.63,579025,1856.0,,13657,4630,4630
2016-05-10,1,2016,,0.05,20908,13579,,0.05,,9084,-590.0,17999,2016年01月01日至2016年03月31日,41082,41082,40708,40708,19878,30288,4410452,4550410,139958,139958,120080,24997,,,0.05,,77084,41082,0.05,50166,,,3609,374,374
2016-08-09,2,2016,,-0.02,21297,8381,,-0.02,,2157,-147.0,18595,2016年第2季,-12722,-12722,-12554,-12554,-36487,25922,4470544,4546669,76125,76125,112612,21927,,,-0.02,,72090,-12722,-0.02,-10565,,,3609,-168,-168
2016-11-08,3,2016,,,5952,11283,,-1.14,-1.14,-167707,-11383.0,25093,2016年第3季,-846882,-846882,-847136,-847136,-1016693,2104,4590996,3694280,-896716,-896716,119977,23673,,,-1.14,-1.14,71211,-846882,,-1014589,,,3748,254,254
